1949	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
																	
VN	Úrazy a otravy podle vnější příčiny	4421	49	88	72	51	43	232	758	583	834	698	426	340	217	29	1
																	
D1	Úrazy na železnicích	201	-	3	1	1	3	4	27	37	55	41	12	12	5	-	-
E800	Úrazy na železnicích postihující železniční zaměstnance	106	-	-	-	-	-	-	9	28	40	25	2	1	1	-	-
E801	Úrazy na železnicích postihující cestující	29	-	1	-	1	1	2	5	3	4	7	2	2	1	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznačené osoby	66	-	2	1	-	2	2	13	6	11	9	8	9	3	-	-
																	
D2	Dopravní úrazy motorovými vozidly	648	3	2	3	9	9	52	142	127	144	73	49	20	14	1	-
E810	Dopravní úraz motorovými vozidly při srážce s vlakem	25	-	-	-	-	-	1	10	5	7	-	-	1	1	-	-
E811	Dopravní úraz motorovými vozidly při srážce s pouliční drahou	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly způsobený chodcům	154	3	2	3	8	7	33	17	6	18	19	22	8	8	-	-
E813	Dopravní úraz motorovými vozidly způsobený cyklistům	13	-	-	-	-	-	2	2	3	4	1	-	-	1	-	-
E814	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem	9	-	-	-	-	-	-	2	4	1	1	1	-	-	-	-
E815	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem 	35	-	-	-	-	-	-	6	13	11	1	3	-	1	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	3	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-
E817	Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
