1942	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	47774	5520	1225	1201	1651	2040	2716	3764	6233	10255	13168	1
													
I	Nemoci nakalivé a cizopasné	6775	373	580	698	973	948	860	717	715	617	294	-
1	Tyf bøišní	97	1	3	15	32	11	13	7	9	4	2	-
2	Paratyf	5	-	-	-	-	-	-	3	-	2	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	14	7	-	3	-	3	-	-	1	-	-	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	259	9	128	101	12	5	4	-	-	-	-	-
9	Kašel zádušnı	112	79	31	2	-	-	-	-	-	-	-	-
10	Záškrt	736	32	264	356	65	5	6	3	4	1	-	-
11	Rùe	107	22	-	1	4	2	5	14	15	17	27	-
12	Ztrnutí (tetanus)	50	21	-	4	2	1	5	3	7	4	3	-
13	Tuberkulosa ústrojí dıchacího	4024	24	38	106	762	845	690	532	504	383	140	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	186	18	56	60	27	5	6	8	2	4	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	5	-	-	2	-	1	1	-	1	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	36	1	1	2	4	9	3	5	2	8	1	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	35	-	3	2	6	4	4	4	6	2	4	-
16	Tuberkulosa páteøe	70	-	-	1	6	3	5	10	16	22	7	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	152	1	2	2	6	5	7	21	29	37	42	-
18	Tuberkulosa kùe a podkoního vaziva	21	-	-	-	1	1	1	1	6	6	5	-
19	Tuberkulosa soustavy mízní	16	-	1	-	2	1	1	3	2	3	3	-
