1940	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH MUÙ	50072	6365	999	997	1460	2284	3487	4717	8031	21729	3
												
I	Nemoci nakalivé a cizopasné	7208	376	343	437	664	1040	1233	1149	1067	899	-
1	Tyf bøišní	102	-	1	9	31	21	24	5	3	8	-
2	Paratyfy	9	-	1	2	1	-	3	1	1	-	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	22	9	12	1	-	-	-	-	-	-	-
8	Spála	59	3	30	19	3	1	2	1	-	-	-
9	Kašel zádušnı	62	52	8	2	-	-	-	-	-	-	-
10	Záškrt	406	20	140	217	25	2	-	2	-	-	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	155	47	7	2	3	4	6	13	20	53	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	89	35	2	-	2	3	4	6	6	31	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	1	-	1	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	12	-	-	-	-	1	3	1	3	4	-
15	Rùe	81	31	1	2	3	2	3	6	8	25	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	18	-	5	8	2	3	-	-	-	-	-
17	Zánìt mozku lethargickı neboli epidemickı	22	-	-	-	-	9	6	1	3	3	-
18	Epidemickı zánìt plen mozkovıch a míšních	85	17	12	18	16	11	7	1	2	1	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	1	-	-	-	-	-	1	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	95	15	3	16	4	9	11	11	14	12	-
23(4)	Tuberkulosa ústrojí dıchacího	5101	34	45	52	490	909	1063	981	888	639	-
24	Tuberkulosa plen a ústøední soustavy èivové	183	25	53	46	31	12	8	6	2	-	-
25	Tuberkulosa støev a pobøišnice	68	3	2	5	12	13	7	12	7	7	-
26	Tuberkulosa páteøe	63	1	2	6	5	8	3	13	15	10	-
27	Tuberkulosa kostí a kloubù	103	1	1	4	8	10	8	11	18	42	-
28	Tuberkulosa kùe a podkoního tuku	10	1	-	-	-	-	-	2	-	7	-
29	Tuberkulosa soustavy mízní	9	1	1	1	2	1	2	-	1	-	-
30	Tuberkulosa ústrojí pohlavního a moèového	18	-	-	1	2	5	4	1	3	2	-
31	Tuberkulosa jinıch míst	6	-	-	-	-	-	-	1	2	3	-
32	Tuberkulosa roztroušená	48	2	11	5	12	3	7	4	4	-	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Pøíjice vrozená	38	32	1	4	-	1	-	-	-	-	-
34b	Pøíjice získaná	83	-	-	-	-	1	13	26	25	18	-
34c	Pøíjice nerozlišená	111	-	-	1	1	5	27	35	26	16	-
35	Kapavka a jiné nemoci pohlavní	2	-	-	-	-	-	1	-	-	1	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	122	45	3	12	8	5	16	8	11	14	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	10	2	-	4	1	-	1	-	1	1	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	1	-	-	-	-	-	-	-	-	1	-
38a	Zimnice malarická	4	-	-	-	-	-	-	1	2	1	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	1	-	-	-	-	-	1	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	-	-	-	-	-	-	-	-	-	-	-
41b	Boubel mìchoilová jinıch míst	1	-	-	-	-	-	-	-	1	-	-
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	6	-	-	-	2	1	2	-	1	-	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	1	-	1	-	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	5426	7	8	32	37	88	298	694	1589	2673	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	190	-	1	-	-	1	8	21	49	110	-
												
46a	Rakovina a jiné zhoubné nádory: poeráku	309	-	-	-	-	-	5	32	96	176	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2290	-	-	-	5	17	108	266	691	1203	-
46c	Rakovina a jiné zhoubné nádory: koneèníku	350	-	-	-	4	3	23	37	105	178	-
46d	Rakovina a jiné zhoubné nádory: jater a luèovodù	353	-	-	-	-	4	12	42	92	203	-
46	Rakovina a jiné zhoubné nádory: slinivky bøišní	86	-	-	-	-	2	11	21	32	20	-
46f	Rakovina a jiné zhoubné nádory: pobøišnice	24	-	-	1	-	1	1	7	8	6	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zaívací a pobøišnice	314	-	-	1	1	5	20	38	86	163	-
47	Rakovina a jiné zhoubné nádory: ústrojí dıchacího	426	-	-	-	2	7	33	94	164	126	-
48	Rakovina a jiné zhoubné nádory: dìlohy	x	x	x	x	x	x	x	x	x	x	x
49	Rakovina a jiné zhoubné nádory: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	6	-	-	-	-	-	-	3	1	2	-
51	Rakovina a jiné zhoubné nádory: pohlavních a moèovıch ústrojù muskıch	354	-	1	1	-	2	9	34	85	222	-
52	Rakovina a jiné zhoubné nádory: kùe	100	-	-	-	1	2	1	8	18	70	-
53	Rakovina a jiné zhoubné nádory: jinıch ústrojù neb ústrojù nerozlišenıch	320	2	2	7	14	23	33	38	83	118	-
												
54a	Nádory nezhoubné: pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x
54b	Nádory nezhoubné: jinıch ústrojù	6	-	-	-	-	-	-	-	2	4	-
												
55a	Nádory, jich zhoubnı ráz není rozlišen: pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x
55b	Nádory, jich zhoubnı ráz není rozlišen: jinıch ústrojù	298	5	4	22	10	21	34	53	77	72	-
												
III	Nemoci rheumatické, nemoci vıivové, nemoci endokrinních láz a jiné nemoci celkové	775	82	20	20	28	19	37	64	173	332	-
56	Rheumatismus kloubní prudkı, horeènatı	48	-	2	16	13	5	4	1	2	5	-
57	Rheumatismus vleklı, osteoarthritis	68	-	-	-	-	1	3	5	10	49	-
58	Dna	3	-	-	-	-	-	-	-	1	2	-
