1931	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH MUŽŮ	73645	12716	2398	1909	3751	4139	4447	6651	10788	26837	9
												
I	Nemoci nakažlivé a cizopasné	12018	899	803	912	1627	1861	1691	1724	1457	1043	1
1	Tyf břišní	188	2	2	21	61	53	22	8	17	2	-
2	Paratyfy	5	-	-	-	1	2	-	1	-	1	-
3	Tyf skvrnitý	2	-	-	-	-	-	-	1	-	1	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	1	-	1	-	-	-	-	-	-	-	-
7	Spalničky	157	76	67	14	-	-	-	-	-	-	-
8	Spála	122	6	51	51	4	7	1	-	-	2	-
9	Kašel zádušný	161	119	40	1	-	-	-	-	-	1	-
10	Záškrt	765	32	267	460	3	3	-	-	-	-	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	283	62	25	8	10	8	19	22	38	91	-
11b	Chřipka neboli influenza bez údaje takových komplikací	189	29	9	13	11	8	9	12	21	77	-
13a	Úplavice střevní amoebová	1	-	-	-	-	-	1	-	-	-	-
13b	Úplavice střevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	1	-	-	-	-	-	-	-	1	-	-
15	Růže	237	95	5	2	6	9	16	20	28	56	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	22	2	6	7	4	1	1	-	-	1	-
17	Zánět mozku lethargický neboli epidemický	67	-	-	3	13	14	12	14	5	6	-
18	Epidemický zánět plen mozkových a míšních	37	7	5	8	6	5	3	2	1	-	-
19	Ozhřivka 	1	-	-	-	1	-	-	-	-	-	-
20	Uhlák	3	-	-	-	-	-	-	1	-	2	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	135	44	3	22	10	11	9	15	16	5	-
23(4)	Tuberkulosa ústrojí dýchacího	8053	123	93	107	1313	1625	1470	1465	1192	664	1
24	Tuberkulosa plen a ústřední soustavy čivové	508	86	178	122	51	33	11	17	6	4	-
25	Tuberkulosa střev a pobřišnice	128	9	12	12	22	15	14	16	17	11	-
26	Tuberkulosa páteře	87	-	1	8	12	10	12	14	19	11	-
27	Tuberkulosa kostí a kloubů	141	2	2	12	34	9	10	11	21	40	-
28	Tuberkulosa kůže a podkožního tuku	7	-	-	-	3	-	1	2	-	1	-
29	Tuberkulosa soustavy mízní	23	4	8	3	1	2	2	2	-	1	-
30	Tuberkulosa ústrojí pohlavního a močového	25	-	-	1	3	2	5	4	5	5	-
31	Tuberkulosa jiných míst	7	-	-	-	1	1	-	2	-	3	-
32	Tuberkulosa roztroušená	105	13	12	9	18	9	14	13	10	7	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Příjice vrozená	74	69	2	3	-	-	-	-	-	-	-
34b	Příjice získaná	33	-	-	-	1	1	7	18	6	-	-
34c	Příjice nerozlišená	124	-	-	-	4	9	29	30	33	19	-
35	Kapavka a jiné nemoci pohlavní	5	3	-	-	2	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	274	101	9	24	29	20	19	28	17	27	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	12	4	1	-	1	1	1	-	2	2	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová	-	-	-	-	-	-	-	-	-	-	-
38a	Zimnice malarická	4	-	-	-	-	-	1	2	-	1	-
38b	Kachexie malarická	1	-	-	-	-	1	-	-	-	-	-
39	Jiné nemoci, zaviněné cizopasnými prvoky	1	-	-	-	-	-	1	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel měchožilová jater	1	-	-	-	1	-	-	-	-	-	-
41b	Boubel měchožilová jiných míst	1	-	-	-	-	-	1	-	-	-	-
42	Jiné nemoci zaviněné červy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	11	-	-	-	1	2	-	4	2	2	-
44	Jiné nemoci nakažlivé nebo cizopasníky působené	16	11	4	1	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	7305	14	17	32	57	117	323	1000	2318	3427	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	294	-	-	2	2	2	7	36	84	161	-
												
46a	Rakovina a jiné zhoubné nádory: požeráku	510	2	-	-	1	1	12	60	183	251	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	3494	-	-	-	4	27	128	491	1166	1678	-
46c	Rakovina a jiné zhoubné nádory: konečníku	426	-	-	1	2	6	15	42	135	225	-
46d	Rakovina a jiné zhoubné nádory: jater a žlučovodů	534	-	1	2	1	5	15	57	193	260	-
46	Rakovina a jiné zhoubné nádory: slinivky břišní	50	-	-	-	-	3	6	10	20	11	-
46f	Rakovina a jiné zhoubné nádory: pobřišnice	43	-	1	-	2	3	3	6	11	17	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice	439	-	-	2	3	8	28	50	125	223	-
47	Rakovina a jiné zhoubné nádory: ústrojí dýchacího	295	-	1	1	5	8	25	74	105	76	-
48	Rakovina a jiné zhoubné nádory: dělohy	x	x	x	x	x	x	x	x	x	x	x
49	Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsů	-	-	-	-	-	-	-	-	-	-	-
51	Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských	385	-	4	1	1	1	9	35	107	227	-
52	Rakovina a jiné zhoubné nádory: kůže	140	-	-	1	2	4	4	9	28	92	-
53	Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených	387	4	3	5	14	16	29	73	100	143	-
												
54a	Nádory nezhoubné: pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x
54b	Nádory nezhoubné: jiných ústrojů	16	-	2	-	-	-	1	7	3	3	-
												
55a	Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x
55b	Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů	292	8	5	17	20	33	41	50	58	60	-
												
III	Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové	913	128	44	26	38	40	43	100	205	289	-
56	Rheumatismus kloubní prudký, horečnatý	23	-	2	9	5	1	3	-	3	-	-
57	Rheumatismus vleklý, osteoarthritis	74	-	-	-	3	1	4	9	12	45	-
58	Dna	4	-	-	-	-	-	-	-	-	4	-
59	Úplavice cukrová	577	-	4	10	22	31	26	75	180	229	-
	Kurděje	-	-	-	-	-	-	-	-	-	-	-
60a	Dětské kurděje	3	3	-	-	-	-	-	-	-	-	-
60b	Kurděje	2	-	-	-	-	-	1	-	-	1	-
62	Pellagra	-	-	-	-	-	-	-	-	-	-	-
63	Křivice	101	72	26	1	-	-	2	-	-	-	-
64	Měknutí kostí	3	1	-	2	-	-	-	-	-	-	-
65	Nemoci podvěsku mozkového	5	-	-	1	1	2	-	1	-	-	-
												
66a	Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté	14	1	-	-	1	1	-	5	3	3	-
66b	Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické	16	-	-	1	1	-	4	5	4	1	-
66c	Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus	5	1	1	1	1	1	-	-	-	-	-
66d	Nemoci žlázy štítné a přídavných žlázek štítných: tetanie	38	36	1	1	-	-	-	-	-	-	-
66	Nemoci žlázy štítné a přídavných žlázek štítných: jiné	3	-	-	-	-	-	1	-	-	2	-
67	Nemoci brzlíku	26	14	10	-	2	-	-	-	-	-	-
68	Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní 	10	-	-	-	1	3	2	1	3	-	-
69	Jiné nemoci rheumatické, výživové, endokrinních žláz	9	-	-	-	1	-	-	4	-	4	-
												
IV 	Nemoci krve a ústrojů krvetvorných	341	32	30	26	24	22	32	50	76	49	-
												
70a	Stavy krvácivé: purpury prvotní	18	5	-	2	3	2	2	-	2	2	-
70b	Stavy krvácivé: vrozená krvácivost	12	5	2	2	2	-	-	-	-	1	-
71a	Postupná zhoubná chudokrevnost	111	5	10	3	8	6	10	22	33	14	-
71b	Jiné chudokrevnosti	15	4	4	2	1	-	1	1	-	2	-
72a	Bělokrevnost pravá	117	10	7	9	5	7	11	18	29	21	-
72b	Bělokrevnost nepravá	45	-	4	7	3	5	6	6	7	7	-
73	Nemoci sleziny	18	-	1	1	2	2	2	3	5	2	-
74	Jiné nemoci krve a ústrojů krvetvorných	5	3	2	-	-	-	-	-	-	-	-
												
V	Otravy vleklé a prudké	138	-	-	-	3	5	13	35	44	38	-
75	Alkoholismus vleklý nebo prudký	130	-	-	-	2	5	10	34	41	38	-
												
76a	Vleklé otravy látkami anorganickými: živnostenské	-	-	-	-	-	-	-	-	-	-	-
76b	Vleklé otravy látkami anorganickými: jiné	3	-	-	-	1	-	1	-	1	-	-
												
77a	Vleklé otravy látkami organickými: živnostenské	4	-	-	-	-	-	2	-	2	-	-
77b	Vleklé otravy látkami organickými: jiné	1	-	-	-	-	-	-	1	-	-	-
												
DU		182	0	0	1	4	12	19	41	55	50	0
												
VI	Nemoci soustavy nervové a čidel	7158	1331	205	142	193	225	345	629	1163	2925	-
												
78a	Zánět mozku: hlíza mozková	38	-	2	4	10	5	5	5	4	3	-
78b	Zánět mozku: jiné záněty mozku	84	19	14	7	5	6	6	16	8	3	-
79	Prostý zánět plen mozkových	446	120	105	74	45	28	21	17	24	12	-
80	Úbyt míchy	186	-	-	-	3	6	9	50	67	51	-
81	Jiné nemoci míchy	181	2	2	4	11	19	18	31	51	43	-
82a	Krvácení mozkové 	3669	1	2	3	14	28	98	310	768	2445	-
