1995	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	3370	11	5	5	5	4	35	21	96	74	47	66	82	120	99	100	86	112	149	310	287	691	965
																								
DN	Dopravní nehody	476	-	1	2	2	2	17	12	51	32	26	23	28	32	28	28	22	29	20	38	25	41	17
																								
	Chodec zraněný při dopravní nehodě     V01-V09	124	-	-	1	1	-	4	2	4	2	4	4	7	7	6	11	10	6	7	21	8	14	5
V01	Chodec zraněný při srážce s jízdním kolem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	79	-	-	-	1	-	3	1	2	1	2	3	5	5	6	8	4	4	4	13	5	9	3
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	11	-	-	1	-	-	-	-	-	-	-	-	-	1	-	1	2	-	1	3	-	1	1
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	22	-	-	-	-	-	1	-	2	1	1	-	2	1	-	2	4	1	1	-	3	3	-
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	9	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-	1	1	3	-	1	-
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	21	-	-	-	-	-	-	-	6	1	2	1	1	-	-	1	1	3	1	1	-	3	-
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	9	-	-	-	-	-	-	-	2	-	2	-	1	-	-	1	1	1	1	-	-	-	-
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	2	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	7	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	1	-	1	-	3	-
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	5	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	1	1	-	1	-	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	5	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	1	1	-	1	-	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V26	Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V27	Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V28	Jezdec na motocyklu zraněný při dopravní nehodě bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V29	Jezdec na motocyklu zraněný při jiných a neurčených dopravních nehodách	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
	Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě     V30-V39	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V30	Člen osádky tříkolového motorového vozidla zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V31	Člen osádky tříkolového motorového vozidla zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V32	Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V33	Člen osádky tříkolového motorového vozidla zraněný při srážce s automobilem osobním, dodávkovým  nebo lehkým nákladním	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V34	Člen osádky tříkolového motorového vozidla zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V35	Člen osádky tříkolového motorového vozidla zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V36	Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V37	Člen osádky tříkolového motorového vozidla zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V38	Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V39	Člen osádky tříkolového motorového vozidla zraněný při jiných a neurčených dopravních nehodách	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
	Člen osádky osobního automobilu zraněný při dopravní nehodě     V40-V49	96	-	1	-	-	-	5	3	11	10	8	6	10	7	11	4	2	4	5	4	2	1	2
V40	Člen osádky osobního automobilu zraněný při srážce chodcem nebo zvířetem	3	-	-	-	-	-	-	-	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-
