1925	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH MUÙ	73662	16651	3091	1501	4329	5857	5342	13451	23418	22
											
I	Nemoci epidemické a endemické	1921	532	442	132	219	138	92	182	184	-
1a	Tyf støevní	257	1	2	17	107	56	29	33	12	-
1b	Paratyfy	10	-	-	2	3	1	1	1	2	-
2	Tyf skvrnitı	3	-	-	-	-	1	1	1	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	7	-	-	-	1	2	2	1	1	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	208	91	107	10	-	-	-	-	-	-
8	Spála	135	9	81	33	11	-	1	-	-	-
9	Zajíkavı kašel	324	240	81	3	-	-	-	-	-	-
10	Záškrt	163	25	103	33	-	1	1	-	-	-
11a	Chøipka s plicními komplikacemi	251	56	27	2	18	15	16	51	66	-
11b	Chøipka bez komplikací plic	218	53	22	9	20	10	16	26	62	-
13	Zánìt pøíušnic	2	1	-	-	-	-	-	1	-	-
15	Choleroidní zánìt støev	2	-	-	-	-	-	-	2	-	-
16	Úplavice	11	2	1	-	-	3	-	1	4	-
19	Spirochetosa ikterohaemor	5	-	-	1	1	1	1	-	1	-
21	Rùe	166	46	5	3	9	17	10	43	33	-
22	Prudkı zánìt pøedních rohù míšních	5	-	4	-	1	-	-	-	-	-
23	Lethargùv zánìt støev	110	1	5	11	31	28	14	17	3	-
24	Epidemické ztrnutí šíje	41	4	4	8	17	3	-	5	-	-
25	Ostatní nemoci epidemické	3	3	-	-	-	-	-	-	-	-
											
II	Nemoci infekèní	10362	650	542	368	1898	2646	1567	1951	740	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	2	-	-	-	-	1	1	-	-	-
28	Vzteklina	6	-	-	2	1	1	-	1	1	-
29	Ztrnutí ranné	186	72	12	37	17	14	7	18	9	-
30	Mykosy	10	4	-	-	1	2	2	1	-	-
31	Tuberkulosa ústrojí dıchacího	8315	222	203	157	1636	2423	1390	1683	601	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	572	89	242	89	56	40	27	26	3	-
33	Tuberkulosa støev neb pobøišnice 	186	13	18	11	37	37	27	29	14	-
34	Tuberkulosa obratlù	71	3	2	10	12	13	8	19	4	-
35	Tuberkulosa kloubù	46	1	5	5	5	4	1	10	15	-
36a	Tuberkulosa kùe nebo podkoního vaziva	15	1	5	1	2	2	-	2	2	-
36b	Tuberkulosa kostí	195	6	7	21	34	23	17	42	45	-
36c	Tuberkulosa lymfatického systému	42	16	11	3	6	2	1	2	1	-
36d	Tuberkulosa ústrojí urogenitálního	30	-	-	-	7	7	4	10	2	-
36	Tuberkulosa jinıch orgánù	16	4	-	-	1	1	6	2	2	-
37a	Tuberkulosa prudká	77	15	8	12	35	5	-	2	-	-
37b	Tuberkulosa vleklá	4	-	-	-	1	1	1	1	-	-
37c	Tuberkulosa bez blišího oznaèení	77	-	-	-	3	28	23	19	4	-
38	Pøíjice	207	105	14	2	3	17	26	36	4	-
40	Kapavka	2	1	-	-	-	-	1	-	-	-
41	Otrava krve	303	98	15	18	41	25	25	48	33	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		5962	14	24	20	50	180	523	2547	2604	0
KR		119	3	8	0	4	17	22	54	11	0
EN		750	152	68	28	40	49	61	166	186	0
DU		251	0	1	0	6	34	48	91	71	0
III	Celkové nemoci vıše nejmenované	7053	173	102	52	99	269	646	2858	2854	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	146	-	-	1	-	1	12	57	75	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3838	1	-	-	5	68	332	1728	1704	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	727	-	4	-	5	31	50	294	343	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kùe	73	-	2	-	2	1	4	19	45	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1036	2	10	6	26	63	110	404	415	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	42	3	3	4	2	5	3	11	11	-
51	Prudkı horeèatı hostec kloubní	13	-	-	5	3	2	-	3	-	-
52	Vleklı hostec, dna	83	-	-	3	1	2	5	32	40	-
53	Kurdìje	2	1	-	-	-	-	1	-	-	-
56	Køivice	173	111	59	3	-	-	-	-	-	-
57	Cukrovka	372	-	1	10	27	40	47	115	132	-
59	Nedokrevnost zhoubná	-	-	-	-	-	-	-	-	-	-
58a	Jiné nedokrevnosti a blednièka	115	3	8	-	3	16	22	52	11	-
58b	Nemoci hypophysy	23	6	3	4	1	2	3	2	2	-
60a	Basedowova nemoc	30	-	-	1	5	2	4	8	10	-
60b	Jiná onemocnìní štítné lázy	10	2	-	-	2	-	-	4	2	-
61	Nemoci lázek pøištítnıch	23	18	4	1	-	-	-	-	-	-
62	Nemoci brzlíku	16	14	1	1	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	5	-	-	-	1	1	1	2	-	-
64	Nemoci sleziny	4	-	-	-	1	1	-	2	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	100	8	5	9	10	11	12	34	11	-
66	Alkoholismus	195	-	-	-	1	22	39	82	51	-
67	Vleklé otravy nerostnımi látkami	7	-	-	-	-	-	1	5	1	-
68	Vleklé otravy ústrojnımi látkami	-	-	-	-	-	-	-	-	-	-
69	Ostatní celkové nemoci	20	4	2	4	4	1	-	4	1	-
											
IV	Choroby systému nervového a smyslovıch orgánù	8194	2456	410	217	219	420	542	1642	2287	1
70	Zánìt mozku	129	20	18	14	17	19	14	21	6	-
71	Zánìt mozkovıch blan	772	181	220	135	63	66	40	44	23	-
72	Úbytì míchy	178	-	-	-	1	12	43	82	40	-
73	Jiné choroby míchy	216	4	4	4	12	22	32	84	54	-
74a	Vılev krevní do mozku	3266	-	-	-	15	66	201	1056	1927	1
74b	Záha il mozkovıch	51	-	-	-	2	2	2	22	23	-
75a	Jednostranná obrna tìla	103	-	-	1	-	4	7	37	54	-
75b	Paralysis progressiva	283	-	-	-	1	52	72	136	22	-
75c	Jiné obrny	32	-	-	-	1	4	9	12	6	-
76	Ochrnutí spojené s duševní chorobou	5	-	-	-	-	-	1	2	2	-
77	Jiné duševní choroby	51	-	1	-	5	12	8	7	18	-
78	Padoucnice	195	3	4	17	43	64	21	28	15	-
79	Boec nepuerperální	5	-	-	5	-	-	-	-	-	-
80	Køeèe u dìtí	2345	2219	126	-	-	-	-	-	-	-
81	Posunèina	4	-	-	1	2	-	-	1	-	-
82b	Zánìt nervù	18	-	1	1	3	2	1	4	6	-
83	Zmìknutí mozku	97	-	-	-	1	5	7	31	53	-
84	Ostatní choroby systému nervového	342	9	25	20	34	83	77	59	35	-
86	Choroby ucha nebo dutin mastoideu	102	20	11	19	19	7	7	16	3	-
											
V	Choroby obìhu krevního	8406	46	52	121	267	526	723	2474	4196	1
87	Zánìt osrdce	21	-	-	1	4	7	3	5	1	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	234	10	9	24	47	90	54	-	-	-
89	Srdeèní angina	82	-	-	-	-	3	11	34	34	-
90	Jiné nemoci srdce	5874	26	40	92	209	397	566	1909	2634	1
91a	Vıdu	104	-	-	1	1	5	23	60	14	-
91b	Zkornatìní a jiné choroby tepen	1973	-	-	-	-	13	49	429	1482	-
92	Záha (nikoliv mozkovı)	67	2	-	1	2	7	11	29	15	-
93	Choroby il	20	1	-	-	-	4	2	4	9	-
94	Choroby systému mízního	23	7	3	-	2	-	3	2	6	-
95	Ostatní choroby obìhu krevního	8	-	-	2	2	-	1	2	1	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-
											
VI	Choroby ústrojí dıchacího	9761	2883	840	127	204	334	427	1627	3318	1
97	Choroby dutin nosních a jejich adnex	-	-	-	-	-	-	-	-	-	-
98	Choroby hrtanu	40	22	7	4	1	1	-	3	2	-
99a	Zánìt prùdušek prudkı	450	373	43	2	2	-	1	3	26	-
99b	Zánìt prùdušek vleklı	300	22	19	1	5	6	9	62	176	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	514	446	68	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	314	-	-	6	3	8	15	73	209	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1515	770	203	15	12	25	30	143	317	-
101a	Zánìt plic lalokovı	631	86	55	16	30	44	52	162	186	-
101b	Zánìt plic bez blišího oznaèení	3840	1122	407	64	109	177	191	601	1168	1
102	Zánìt pohrudnice	398	27	33	16	29	38	39	99	117	-
103	Pøekrvení nebo krvácení parenchymatosní plic	134	10	4	-	3	3	9	26	79	-
104	Snì plicní	68	-	1	1	-	8	14	25	19	-
105	Záducha	288	-	-	-	2	7	15	75	189	-
106	Rozedma plic	1192	1	-	2	2	10	41	336	800	-
107	Ostatní choroby ústrojí dıchacího	77	4	-	-	6	7	11	19	30	-
											
VII	Choroby ústrojí zaívacího	6919	4276	335	124	197	276	341	718	652	-
108b	Choroby ústní dutiny a jejich adnex	13	10	-	-	-	-	3	-	-	-
109	Choroby hltanu nebo mandlí	59	13	9	9	6	8	2	8	4	-
110	Choroby jícnu	19	-	1	-	-	-	3	7	8	-
111a	Vøed aludeèní	385	-	2	1	21	68	99	132	62	-
111b	Vøed dvanácterníku	57	1	-	1	3	17	12	14	9	-
112	Jiné choroby aludeèní	32	1	-	-	-	4	1	10	16	-
113	Prùjem a zánìt støev (pod 2 roky)	4425	4193	232	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	255	-	51	17	11	14	16	48	98	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	260	3	13	42	73	42	34	38	15	-
118a	Kıla 	211	16	3	2	5	8	12	47	118	-
118b	Záha støevní	244	11	5	8	17	22	20	87	74	-
119b	Jiné choroby støev	39	11	-	-	-	4	2	7	15	-
120	Prudká atrofie jater	21	-	-	-	2	2	3	8	6	-
121	Hydativní nádor jater	-	-	-	-	-	-	-	-	-	-
122a	Svraštìní jater alkoholické	-	-	-	-	-	-	-	-	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	305	-	-	-	2	17	50	147	89	-
123	luèové kaménky	39	-	-	-	1	7	3	11	17	-
124	Jiné choroby jater	182	1	3	4	9	13	31	68	53	-
125	Choroby mikteru	14	1	-	-	1	2	1	7	2	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	359	15	16	40	46	48	49	79	66	-
											
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	2150	26	42	52	77	187	258	627	881	-
128	Prudkı zánìt ledvin	113	17	34	27	6	8	4	6	11	-
129	Vleklı zánìt ledvin	1393	3	5	19	66	163	220	489	428	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	132	2	2	4	2	10	18	43	51	-
132	Moèové kaménky	21	-	-	-	-	-	6	2	13	-
133	Choroby mìchıøe	174	2	1	2	2	4	2	30	131	-
134	Choroby moèové roury	23	2	-	-	1	-	2	7	11	-
135	Choroby lázy pøedstojné	294	-	-	-	-	2	6	50	236	-
136	Nevenerické choroby muskıch pohlavních orgánù	-	-	-	-	-	-	-	-	-	-
137	Boubel a jiné nezhoubné nádory vajeèníku	x	x	x	x	x	x	x	x	x	x
138	Zánìt vejcovodu nebo vøed v pánvi	x	x	x	x	x	x	x	x	x	x
139	Nádory dìloní	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dìlohy	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x
											
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x
143b	Mimodìloní tìhotenství	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody tìhotenské	x	x	x	x	x	x	x	x	x	x
144	Krvácení tìhotnıch a v šestinedìlí	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody pøi porodu	x	x	x	x	x	x	x	x	x	x
146	Horeèka omladnic	x	x	x	x	x	x	x	x	x	x
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x
148	Albuminurie nebo boec v šestinedìlí	x	x	x	x	x	x	x	x	x	x
149	Následky porodu (bez blišího oznaèení)	x	x	x	x	x	x	x	x	x	x
150	Puerperální choroby prsu	x	x	x	x	x	x	x	x	x	x
											
X	Choroby kùe a vaziva	650	391	16	12	11	21	16	66	117	-
151	Snì	113	5	2	-	2	1	2	25	76	-
152	Neit	259	220	5	2	3	5	1	13	10	-
153	Zánìt podkoního vaziva, horeènatı vøed	167	85	8	6	5	12	10	20	21	-
155	Ostatní choroby kùe neb jejich adnex	111	81	1	4	1	3	3	8	10	-
											
XI	Choroby kostí a ústrojí pohybového	157	14	8	36	29	20	9	22	19	-
156	Choroby kostí	125	12	8	32	25	17	6	10	15	-
157	Choroby kloubù	26	2	-	4	3	1	3	10	3	-
158	Ostatní choroby kostí nebo ústrojí pohybového	6	-	-	-	1	2	-	2	1	-
											
XII	Zrùdnost vrozená	196	196	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	196	196	-	-	-	-	-	-	-	-
											
XIII	Ranı vìk	4770	4770	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	2974	2974	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1586	1586	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	207	207	-	-	-	-	-	-	-	-
163	Nedostatek péèe	3	3	-	-	-	-	-	-	-	-
											
XIV		7266	4	2	4	4	1	2	30	7219	0
164	Stáøí	7239	-	-	-	-	-	1	21	7217	-
											
XV	Zevní pøíèiny 	4813	61	251	245	1073	959	624	915	669	16
SE		2311	0	0	30	609	483	318	496	364	11
165	Sebevrada otravou jedy	67	 -	 -	 -	18	24	9	14	2	 -
166	Sebevrada otravou poitím íravin	36	 -	 -	 -	10	13	6	7	 -	 -
167	Sebevrada vdechováním jedovatıch plynù	5	 -	 -	 -	1	2	1	 -	1	 -
168	Sebevrada obìšením neb uškrcením	1266	 -	 -	19	189	215	197	348	293	5
169	Sebevrada utopením	139	 -	 -	 -	33	26	23	32	23	2
170	Sebevrada zastøelením	545	 -	 -	7	256	146	52	56	26	2
171	Sebevrada nástroji øeznımi neb bodnımi	29	 -	 -	 -	1	7	6	10	5	 -
172	Sebevrada skokem s vıše	12	 -	 -	 -	5	1	2	3	1	 -
173	Sebevrada rozdrcením	146	 -	 -	4	68	37	14	16	5	2
174	Sebevrada jinım zpùsobem	66	 -	 -	 -	28	12	8	10	8	 -
175	Otrava potravinami	15	 -	1	2	1	1	3	6	1	 -
176	Uštknutí neb štípnutí	5	1	1	2	 -	 -	 -	1	 -	 -
177	Jiné prudké otravy náhodné (vyjma plyny)	22	3	3	1	2	7	3	 -	3	 -
178	Úraz pøi poáru	8	 -	 -	 -	1	1	 -	2	4	 -
179	Náhodné popálení (vyjma pøi poáru)	171	15	97	7	15	11	7	11	8	 -
180	Náhodné mechanické udušení (vyjma pøi poáru)	59	10	9	3	5	6	9	10	7	 -
181	Vdechování plynù nedıchatelnıch neb jedovatıch	37	 -	4	1	15	8	2	5	2	 -
182	Náhodné utopení	437	3	87	97	116	27	25	46	33	3
183	Poranìní støelnou zbraní	80	2	4	9	20	27	9	8	1	 -
184	Poranìní nástroji øeznımi neb bodnımi	22	 -	 -	2	8	6	1	3	2	 -
185	Poranìní pádem	145	 -	10	10	14	22	15	31	41	2
186	Poranìní v dolech neb lomech	115	 -	 -	1	33	37	20	20	4	 -
187	Poranìní stroji	9	 -	 -	 -	4	 -	2	2	1	 -
DN		242	0	6	22	49	71	41	34	19	0
188a	Poranìní eleznicemi a tramvajemi	122	 -	2	3	20	43	29	15	10	 -
188b	Poranìní automobily	52	 -	2	13	11	13	4	8	1	 -
188c	Poranìní motocykly	10	 -	 -	 -	4	2	1	1	2	 -
188d	Poranìní aeroplány a balony	14	 -	 -	 -	11	3	 -	 -	 -	 -
188	Poranìní jinımi dopravními prostøedky	44	 -	2	6	3	10	7	10	6	 -
188f	Poranìní jinım zhmodìním	569	1	19	23	100	137	83	131	75	 -
189	Poranìní zpùsobená zvíøaty	30	 -	1	2	3	3	4	11	6	 -
192b	Hlad nebo ízeò	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
193	Pøílišnı chlad	33	 -	 -	1	1	2	6	12	11	 -
194	Pøílišnı ár	2	 -	 -	1	 -	1	 -	 -	 -	 -
195	Blesk	46	 -	1	6	7	12	9	9	2	 -
196	Jiné úrazy elektrickım proudem	76	 -	 -	9	28	23	11	4	1	 -
NA		98	24	3	4	11	14	18	13	11	0
197	Zabití støelnou zbraní	17	 -	2	 -	1	6	5	2	1	 -
198	Zabití nástroji øeznımi neb bodnımi	25	 -	1	1	9	4	4	6	 -	 -
199	Zabití jinımi prostøedky	24	 -	 -	2	1	4	9	4	4	 -
200	Zabití dítìte do 1 roku	24	24	 -	 -	 -	 -	 -	 -	 -	 -
201c	Zlomeniny (bez blišího oznaèení)	281	2	5	12	31	60	38	60	73	 -
202a	Ostatní násilná zevní poranìní	8	 -	 -	1	 -	 -	 -	1	6	 -
202b	Poprava legální	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
203	Násilná smrt neznáme pøíèiny	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
											
XVI	Nemoci špatnì definované	1071	177	51	15	36	61	96	348	284	3
204	Náhlé úmrtí	1	-	-	-	-	-	1	-	-	-
205	Nemoci nespecifikované nebo špatnì definované	1070	177	51	15	36	61	95	348	284	3
