1958;Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1955);Název;Celkem;0;1;2;3;4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85+;Nezjiš- tìno;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH EN;44 566;1 429;155;76;57;33;280;339;613;1 050;3 165;6 524;12 090;14 110;4 645;-;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nemoci infekèní a parasitární;1 491;23;13;12;3;4;37;22;54;80;145;282;476;315;25;-;"";"";"";"";"";"";""
1;Tuberkulosa ústrojí dıchacího (z povolání);6;-;-;-;-;-;-;-;1;-;1;3;1;-;-;-;"";"";"";"";"";"";""
2;Tuberkulosa plic;933;-;-;-;-;-;-;14;38;61;91;164;337;216;12;-;"";"";"";"";"";"";""
3;Tuberkuloda pohrudnice;29;-;-;-;-;-;-;-;-;1;1;3;14;10;-;-;"";"";"";"";"";"";""
4;Primární tuberkulosní komplex;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
5;Tuberkulosa prùdušnicovıch a prùduškovıch uzlin;7;-;-;-;-;-;-;-;-;-;-;3;2;2;-;-;"";"";"";"";"";"";""
6;Roentgenologickı nález podezøelı z aktivní tuberkulosy dıchacího ústrojí;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
7;Ostatní tuberkulosa dıchacího ústrojí;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;"";"";"";"";"";"";""
8;Tuberkulosa neoznaèeného umístìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
10;Tuberkulosa mozkomíšních plen a centrálního nervstva;20;1;-;-;-;-;2;1;1;2;3;9;1;-;-;-;"";"";"";"";"";"";""
11;Tuberkulosa støev, pobøišnice a uzlin okruí;8;-;-;-;-;-;-;-;3;-;1;-;3;1;-;-;"";"";"";"";"";"";""
12;Tuberkulosa kostí a kloubù, aktivní nebo blíe neurèená;67;-;-;-;-;-;-;1;-;-;-;6;29;28;3;-;"";"";"";"";"";"";""
13;Pozdní následky tuberkulosy kostí a kloubù;4;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;"";"";"";"";"";"";""
14;Tuberkulosa kùe a podkoního vaziva;4;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;"";"";"";"";"";"";""
15;Tuberkulosa soustavy mízní;15;-;-;-;-;-;-;2;-;-;-;3;5;4;1;-;"";"";"";"";"";"";""
16;Tuberkulosa ústrojí moèového a pohlavního;5;-;-;-;-;-;1;-;-;1;-;1;1;1;-;-;"";"";"";"";"";"";""
17;Tuberkulosa nadledvinek;3;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;"";"";"";"";"";"";""
18;Tuberkulosa jinıch orgánù;12;-;-;-;-;-;-;-;-;1;1;3;4;2;1;-;"";"";"";"";"";"";""
19;Tuberkulosa nìkolika orgánù;10;1;-;-;-;-;1;-;1;-;-;2;4;1;-;-;"";"";"";"";"";"";""
20;Pøíjice vrozená;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
