1957	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
																	
VN	Úrazy a otravy podle vnější příčiny	4714	139	44	42	33	28	274	620	678	541	819	608	400	396	92	-
																	
D1	Úrazy na železnicích	197	-	1	3	-	1	5	40	31	30	47	23	12	4	-	-
E800	Úrazy na železnicích postihující železniční zaměstnance	86	-	-	-	-	-	-	16	9	18	33	9	1	-	-	-
E801	Úrazy na železnicích postihující cestující	29	-	-	-	-	-	-	6	7	6	6	1	1	2	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznačené osoby	82	-	1	3	-	1	5	18	15	6	8	13	10	2	-	-
																	
D2	Dopravní úrazy motorovými vozidly	668	2	3	2	5	5	48	166	160	80	96	54	23	21	3	-
E810	Dopravní úraz motorovými vozidly při srážce s vlakem	16	-	-	-	-	-	-	3	3	4	2	4	-	-	-	-
E811	Dopravní úraz motorovými vozidly při srážce s pouliční drahou	3	-	-	-	-	-	-	-	2	-	1	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly způsobený chodcům	173	-	3	2	5	3	37	14	17	8	34	16	15	16	3	-
E813	Dopravní úraz motorovými vozidly způsobený cyklistům	12	-	-	-	-	-	4	-	1	1	1	3	2	-	-	-
E814	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem	16	-	-	-	-	-	1	6	6	2	1	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem 	60	-	-	-	-	-	-	14	19	9	11	7	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	12	-	-	-	-	-	-	1	3	2	3	2	1	-	-	-
E817	Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty	2	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-
E819	Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými	20	-	-	-	-	1	-	12	2	2	3	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly během sestupování a nastupování	2	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-
E821	Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku	70	-	-	-	-	1	1	25	23	10	8	2	-	-	-	-
E822	Dopravní úraz motorovými vozidly při převrhnutí na silnici	19	-	-	-	-	-	-	9	4	3	2	1	-	-	-	-
E823	Dopravní úraz motorovými vozidly při vybočení ze silnice	2	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	6	-	-	-	-	-	-	-	-	2	1	2	1	-	-	-
E825	Dopravní úraz motorovými vozidly neurčené povahy	253	2	-	-	-	-	5	82	78	36	29	14	4	3	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	107	-	3	1	-	3	10	29	19	13	18	9	-	2	-	-
E830	Nedopravní úraz motorovými vozidly  způsobený chodcům	9	-	2	-	-	2	1	-	-	-	2	-	-	2	-	-
E831	Nedopravní úraz motorovými vozidly  způsobený cyklistům	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech	3	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  při nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurčené povahy	16	-	1	1	-	-	1	6	1	1	2	3	-	-	-	-
E836	Úraz motorovými vozidly nedopravní způsobený	79	-	-	-	-	1	8	22	16	12	14	6	-	-	-	-
																	
D4	Úrazy jinými silničními vozidly	41	-	-	-	-	-	9	2	5	2	10	4	3	5	1	-
E840	Úraz způsobený chodcům vozy pouliční dopravy	8	-	-	-	-	-	2	-	2	-	2	-	-	1	1	-
E841	Ostatní druhy úrazu vozy pouliční dopravy , vyjma srážku s motorovým vozidlem 	3	-	-	-	-	-	-	1	-	1	-	-	-	1	-	-
E842	Úraz způsobený chodcům cyklisty	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-
E843	Úraz způsobený cyklistům, ne však při srážce  s motorovým  vozidlem 	20	-	-	-	-	-	4	1	3	-	7	2	1	2	-	-
E844	Úraz způsobený chodcům jinými nemotorovými silničními vozidly 	2	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-
E845	Jiný druh úrazu nemotorovými silničními vozidly 	6	-	-	-	-	-	2	-	-	1	1	2	-	-	-	-
																	
D5	Úrazy při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících na malých člunech způsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu při vodní dopravě způsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodů nebo žebříku při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovině při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznačený pád při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný označený úraz při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz při vodní dopravě neurčené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	30	-	-	-	-	-	1	5	17	6	1	-	-	-	-	-
E860	Úraz způsobený posádce vojenské letadla	22	-	-	-	-	-	-	5	13	4	-	-	-	-	-	-
E861	Poranění způsobené cestujícím při nehodách dopravních letadel	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E862	Jiné poranění v dopravních letadlech	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
E863	Poranění způsobené cestujícím při nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz způsobený na letišti osobám mimo letadlo	2	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-
E865	Letecký úraz způsobený jinde než na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznačený letecký úraz 	3	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	44	-	-	1	-	-	3	1	4	9	6	14	6	-	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	4	-	-	-	-	-	-	-	-	1	-	1	2	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostředky	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
