1953	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
																	
VN	Úrazy a otravy podle vnější příčiny	2127	68	36	39	33	23	67	128	142	183	258	255	335	413	146	1
																	
D1	Úrazy na železnicích	61	-	1	-	-	-	2	14	14	7	5	7	6	4	1	-
E800	Úrazy na železnicích postihující železniční zaměstnance	4	-	-	-	-	-	-	1	2	-	1	-	-	-	-	-
E801	Úrazy na železnicích postihující cestující	37	-	1	-	-	-	2	13	8	2	2	4	4	1	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznačené osoby	20	-	-	-	-	-	-	-	4	5	2	3	2	3	1	-
																	
D2	Dopravní úrazy motorovými vozidly	102	-	1	2	2	3	22	15	14	10	7	8	8	9	1	-
E810	Dopravní úraz motorovými vozidly při srážce s vlakem	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E811	Dopravní úraz motorovými vozidly při srážce s pouliční drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly způsobený chodcům	62	-	1	2	2	2	20	5	8	3	4	3	6	5	1	-
E813	Dopravní úraz motorovými vozidly způsobený cyklistům	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
E814	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem 	2	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-
