1957	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	2222	120	35	33	19	12	96	110	132	132	255	269	354	492	163	-
																	
D1	Úrazy na železnicích	57	-	2	-	-	-	4	4	6	5	8	6	11	9	2	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	8	-	-	-	-	-	-	-	2	2	2	2	-	-	-	-
E801	Úrazy na železnicích postihující cestující	22	-	-	-	-	-	3	4	3	1	2	2	6	1	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	27	-	2	-	-	-	1	-	1	2	4	2	5	8	2	-
																	
D2	Dopravní úrazy motorovými vozidly	164	1	1	3	4	2	24	17	16	14	14	17	28	20	3	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	2	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	109	-	1	2	4	2	21	4	3	9	7	14	22	17	3	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	2	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	3	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	3	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	4	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
