1956	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4733	181	55	39	39	31	238	586	667	563	794	610	479	367	81	3
																	
D1	Úrazy na železnicích	185	-	-	-	-	-	7	18	38	34	43	22	18	5	-	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	71	-	-	-	-	-	-	4	13	19	23	10	2	-	-	-
E801	Úrazy na železnicích postihující cestující	24	-	-	-	-	-	3	5	5	2	1	4	4	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	90	-	-	-	-	-	4	9	20	13	19	8	12	5	-	-
																	
D2	Dopravní úrazy motorovými vozidly	653	-	3	1	7	2	44	166	155	87	82	48	33	25	-	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	15	-	-	-	-	-	-	2	4	2	4	3	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	204	-	2	1	7	2	36	19	19	23	28	27	20	20	-	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	8	-	-	-	-	-	1	-	1	1	4	-	1	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	14	-	-	-	-	-	-	4	5	2	3	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	55	-	-	-	-	-	-	16	20	9	8	2	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	18	-	-	-	-	-	-	4	5	4	3	1	1	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	4	-	-	-	-	-	1	-	1	-	2	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	23	-	-	-	-	-	1	9	8	1	4	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	4	-	-	-	-	-	-	-	-	1	1	-	-	2	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	35	-	-	-	-	-	-	14	11	5	4	1	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	11	-	-	-	-	-	-	6	3	2	-	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	7	-	-	-	-	-	-	2	1	2	1	-	-	1	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	9	-	-	-	-	-	-	4	2	1	1	1	-	-	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	244	-	1	-	-	-	5	85	75	34	19	12	11	2	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	128	-	2	-	1	2	9	37	35	10	15	10	7	-	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	6	-	-	-	-	1	1	-	1	-	1	-	2	-	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	5	-	-	-	-	-	-	-	1	-	2	1	1	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	3	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	19	-	-	-	-	-	-	5	5	2	3	2	2	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	95	-	2	-	1	1	8	32	25	8	9	7	2	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	44	-	-	1	-	-	9	4	2	5	9	8	4	2	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	2	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	3	-	-	-	-	-	1	-	-	-	-	-	1	1	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	23	-	-	-	-	-	5	3	2	3	4	4	1	1	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	5	-	-	-	-	-	1	-	-	1	-	2	1	-	-	-
E845	Jiný druh úrazu nemotorovými silnièními vozidly 	10	-	-	-	-	-	2	1	-	-	4	2	1	-	-	-
																	
D5	Úrazy pøi vodní dopravì	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E850	Úraz cestujících na malých èlunech zpùsobený potopením	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu pøi vodní dopravì zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný oznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	51	-	-	-	-	-	-	16	24	8	3	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenské letadla	38	-	-	-	-	-	-	11	21	5	1	-	-	-	-	-
E861	Poranìní zpùsobené cestujícím pøi nehodách dopravních letadel	6	-	-	-	-	-	-	1	2	1	2	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E863	Poranìní zpùsobené cestujícím pøi nehodách jiných letadel	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz zpùsobený jinde než na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz 	5	-	-	-	-	-	-	4	-	1	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	49	-	-	2	-	1	1	2	6	8	12	7	6	3	1	-
E870	Náhodná otrava morfiem a jinými deriváty opia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	5	-	-	1	-	-	-	-	-	1	1	1	1	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E878	Náhodná otrava jinými a neurèenými léèivy	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E880	Náhodná otrava alkoholem	25	-	-	-	-	-	-	2	5	4	8	2	3	1	-	-
E881	Náhodná otrava naftovými produkty	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	2	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	10	-	-	-	-	1	1	-	1	3	1	1	1	1	-	-
																	
	Náhodné otravy plynem a parami	136	2	5	1	7	2	8	16	12	13	13	16	25	14	2	-
E890	Náhodná otrava svítiplynem	34	-	-	1	-	-	2	5	3	5	3	7	5	2	1	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	98	2	5	-	7	2	6	11	7	8	8	9	20	12	1	-
E893	Náhodná otrava kyanovodíkem	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny a parami	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E895	Náhodná otrava neurèenými plyny a parami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné pády	480	1	4	3	3	1	15	20	18	33	43	61	89	140	49	-
