1960	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1955)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Úrazy a otravy podle vnější příčiny	2369	76	20	16	19	12	35	39	81	64	82	85	89	59	140	151	161	179	182	209	237	238	195
																								
D1	Úrazy na železnicích	76	-	2	-	1	-	1	-	6	5	7	5	7	2	9	8	7	6	4	2	1	-	3
E800	Úraz na železnicích postihující železniční zaměstnance	4	-	-	-	-	-	-	-	-	1	-	1	1	1	-	-	-	-	-	-	-	-	-
E801	Úraz na železnicích postihující cestující	43	-	-	-	-	-	-	-	3	4	7	2	5	1	6	7	3	2	2	-	-	-	1
E802	Úraz na železnicích postihující jiné osoby	29	-	2	-	1	-	1	-	3	-	-	2	1	-	3	1	4	4	2	2	1	-	2
																								
D2	Dopravní úrazy motorovými vozidly	222	1	3	2	2	4	22	9	17	15	9	6	10	7	10	14	15	18	14	16	17	8	3
E810	Dopravní úraz   při srážce s vlakem	3	-	-	-	-	-	-	1	-	1	-	-	1	-	-	-	-	-	-	-	-	-	-
E811	Dopravní úraz   při srážce s pouliční drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz   způsobený chodcům	127	-	3	1	1	4	18	4	4	4	2	-	5	3	2	4	13	16	10	13	12	6	2
E813	Dopravní úraz   způsobený cyklistům	7	-	-	-	-	-	-	2	-	-	-	1	-	-	2	1	-	1	-	-	-	-	-
E814	Dopravní úraz  motocyklem při srážce s vozidlem nemotorovým a jinými předměty	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-
E815	Dopravní úraz motocyklem při srážce s motorovým vozidlem 	3	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	-	-	-	-	-
E816	Dopravní úraz při srážce  motorových vozidel 	9	-	-	1	-	-	-	1	-	2	-	1	-	1	1	1	1	-	-	-	-	-	-
E817	Dopravní úraz  posádky motorového vozidla při srážce s chodcem, cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz   při srážce se zvířaty nebo vozy taženými zvířaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz   při srážce s předměty pevnými nebo blíže neurčenými	2	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz  při nastupování nebo vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Dopravní úraz  řidiče motocyklu, nejde-li o srážku	25	-	-	-	-	-	-	-	9	4	1	3	1	-	1	3	-	-	-	1	2	-	-
E822	Dopravní úraz   při převrhnutí na silnici	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E823	Dopravní úraz   při vybočení ze silnice	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz   bez srážky	3	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	1	-	-
E825	Dopravní úraz   neurčené povahy	40	1	-	-	1	-	4	1	4	3	3	1	-	3	4	4	-	1	4	1	2	2	1
																								
D3	Nedopravní úrazy motorovými vozidly 	14	-	-	-	1	-	1	-	2	2	2	2	1	-	1	1	-	-	-	-	-	-	1
E830	Nedopravní úraz   způsobený chodcům	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
E831	Nedopravní úraz   způsobený cyklistům	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz   způsobený posádce motocyklu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Nedopravní úraz, jde-li o několik motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz    při nastupování a vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz    jiné nebo neurčené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E836	Úraz způsobený traktorem	13	-	-	-	1	-	1	-	2	2	2	2	1	-	1	1	-	-	-	-	-	-	-
																								
D4	Úrazy jinými silničními vozidly	29	-	-	-	1	1	-	-	1	1	-	1	-	2	-	2	3	3	8	1	1	3	1
E840	Úraz způsobený chodcům vozy pouliční dopravy	6	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	2	-
E841	Jiný úraz pouliční drahou , mimo srážku s motorovým vozidlem 	6	-	-	-	-	-	-	-	1	1	-	1	-	1	-	-	-	-	2	-	-	-	-
E842	Úraz způsobený chodcům cyklisty	7	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	2	-	1	1	1
E843	Úraz způsobený cyklistům, vyjma srážku  s motorovým  vozidlem 	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	-	-	-	-
E844	Úraz chodců nemotorovými silničními vozidly 	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-
E845	Jiný úraz nemotorovými silničními vozidly 	3	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-
																								
D5	Úrazy při vodní dopravě	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících potopením na malých člunech 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní úrazy při vodní dopravě způsobené potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodů nebo žebříku při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovině při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznačený pád při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji při vodní dopravě	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný neoznačený úraz při vodní dopravě	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz při vodní dopravě neurčené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
D6	Letecké úrazy 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E860	Úraz způsobený posádce vojenského letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
