1941	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	46808	5258	1050	973	1315	1957	2560	3726	6220	10373	13376	-
													
I	Nemoci nakalivé a cizopasné	6501	452	412	538	759	925	767	726	717	754	451	-
1	Tyf bøišní	85	-	-	8	22	17	12	12	5	9	-	-
2	Paratyf	8	1	1	-	2	1	2	-	1	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	23	4	7	4	2	1	1	2	2	-	-	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	140	2	54	73	9	1	1	-	-	-	-	-
9	Kašel zádušnı	126	85	37	4	-	-	-	-	-	-	-	-
10	Záškrt	443	15	138	257	20	8	2	1	1	1	-	-
11	Rùe	83	20	-	2	-	3	4	11	10	19	14	-
12	Ztrnutí (tetanus)	58	15	4	5	2	1	5	9	5	8	4	-
13	Tuberkulosa ústrojí dıchacího	3771	26	46	82	623	808	625	519	459	428	155	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	154	20	49	43	20	4	6	3	5	4	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	2	-	-	-	-	-	-	1	1	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	30	-	-	3	5	5	3	4	5	3	2	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	41	-	2	4	7	2	3	10	6	6	1	-
16	Tuberkulosa páteøe	69	-	-	5	4	5	3	5	16	24	7	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	153	-	1	1	5	6	4	11	29	55	41	-
18	Tuberkulosa kùe a podkoního vaziva	17	-	-	-	1	-	1	2	1	5	7	-
19	Tuberkulosa soustavy mízní	14	-	1	-	-	-	1	-	-	8	4	-
20	Tuberkulosa ústrojí moèového a pohlavního	10	-	-	-	-	4	3	-	2	1	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	-	-	-	-	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	6	-	-	-	-	-	1	-	2	1	2	-
22	Tuberkulosa miliární	57	10	5	10	9	3	3	6	8	3	-	-
24a	Otrava krve	134	60	3	6	7	8	10	15	16	7	2	-
24b	Snì plynová	2	-	-	-	-	-	-	-	2	-	-	-
25	Kapavka	2	1	-	-	1	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	11	-	-	-	-	1	2	3	3	-	2	-
28	Støídavka (malarie)	-	-	-	-	-	-	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	58	-	-	-	1	3	4	11	21	14	4	-
