1938	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	43093	4471	899	1014	1290	1999	2317	3435	6020	21645	3
												
I	Nemoci nakalivé a cizopasné	5164	351	322	495	679	828	622	479	621	765	2
1	Tyf bøišní	116	-	3	19	23	33	13	8	10	7	-
2	Paratyfy	5	-	-	-	1	1	1	-	2	-	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	41	13	19	8	1	-	-	-	-	-	-
8	Spála	75	3	40	27	3	1	-	1	-	-	-
9	Kašel zádušnı	158	118	35	5	-	-	-	-	-	-	-
10	Záškrt	403	10	109	254	21	1	3	1	2	2	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	126	32	7	3	2	4	3	3	20	52	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	94	13	1	2	2	1	3	4	10	57	1
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	4	-	1	-	-	1	-	-	1	1	-
15	Rùe	93	18	1	4	1	2	10	7	17	33	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	11	1	3	2	2	1	1	-	-	1	-
17	Zánìt mozku lethargickı neboli epidemickı	35	-	-	-	4	12	3	5	5	6	-
18	Epidemickı zánìt plen mozkovıch a míšních	35	7	4	7	7	3	7	-	-	-	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	1	-	1	-	-	-	-	-	-	-	-
22	Ztrnutí	39	7	1	4	3	5	5	3	5	6	-
23(4)	Tuberkulosa ústrojí dıchacího	3175	26	35	81	549	717	484	369	454	459	1
24	Tuberkulosa plen a ústøední soustavy èivové	169	22	47	51	23	6	8	3	8	1	-
25	Tuberkulosa støev a pobøišnice	67	1	6	3	9	11	12	12	9	4	-
26	Tuberkulosa páteøe	52	-	-	2	1	-	7	6	13	23	-
27	Tuberkulosa kostí a kloubù	114	-	-	2	4	3	10	12	23	60	-
28	Tuberkulosa kùe a podkoního tuku	15	-	-	1	2	2	1	1	3	5	-
29	Tuberkulosa soustavy mízní	7	1	1	-	1	-	2	-	1	1	-
30	Tuberkulosa ústrojí pohlavního a moèového	11	-	-	1	-	2	5	3	-	-	-
31	Tuberkulosa jinıch míst	4	-	-	1	-	-	-	-	1	2	-
32	Tuberkulosa roztroušená	44	5	7	8	14	1	4	1	2	2	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
