2000	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	2376	4	6	1	8	3	11	25	61	82	57	55	60	101	102	119	98	80	110	196	337	217	643
																								
DN	Dopravní nehody	401	2	2	1	4	2	3	11	34	46	31	15	20	17	25	33	27	21	17	28	39	11	12
																								
	Chodec zraněný při dopravní nehodě     V01-V09	120	1	1	-	2	-	2	7	4	6	2	1	4	4	6	12	8	8	9	12	18	7	6
V01	Chodec zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	3	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	70	1	-	-	1	-	2	5	1	5	1	-	1	4	4	9	4	4	7	7	7	4	3
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	8	-	-	-	-	-	-	1	-	-	-	1	1	-	-	-	-	-	-	1	2	1	1
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	25	-	1	-	-	-	-	1	2	-	1	-	1	-	1	2	4	3	1	2	5	-	1
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	1
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	11	-	-	-	1	-	-	-	-	1	-	-	1	-	1	1	-	-	1	1	2	2	-
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	30	-	-	-	-	-	-	3	3	1	3	1	-	2	2	2	3	2	2	1	3	-	2
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	21	-	-	-	-	-	-	3	1	1	2	1	-	1	2	2	2	2	2	1	1	-	-
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	3	-	-	-	-	-	-	-	1	-	1	-	-	1	-	-	-	-	-	-	-	-	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	2	-	2
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	5	-	-	-	-	-	-	-	2	1	1	-	-	-	-	-	-	-	-	1	-	-	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	2	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V26	Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
