1996	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	2955	15	5	10	4	6	18	13	69	84	51	66	71	93	110	100	89	90	137	277	280	524	843
																								
DN	Dopravní nehody	399	2	1	4	1	4	8	5	31	42	21	25	25	30	20	18	18	18	28	36	27	22	13
																								
	Chodec zraněný při dopravní nehodě     V01-V09	120	-	-	2	1	2	3	3	5	5	1	3	7	6	7	7	4	7	13	16	12	8	8
V01	Chodec zraněný při srážce s jízdním kolem	5	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	2	1
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	5	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	2	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	71	-	-	1	1	1	2	1	4	4	-	2	4	3	4	5	-	5	8	12	6	4	4
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	5	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	1	1	1	-	-
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	28	-	-	-	-	1	1	2	-	1	-	1	2	2	2	1	3	1	4	1	3	1	2
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	1
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	21	-	-	-	-	-	-	-	-	1	1	3	3	1	1	2	1	-	4	1	2	-	1
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	14	-	-	-	-	-	-	-	-	1	1	2	1	1	-	2	-	-	4	1	1	-	-
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	3	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	1	-	-
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
