1949	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	1599	26	59	43	31	20	70	164	147	219	250	219	181	133	35	2
																	
D1	Úrazy na železnicích	48	1	2	1	-	1	2	7	3	8	7	4	4	5	1	2
E800	Úrazy na železnicích postihující železnièní zamìstnance	2	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-
E801	Úrazy na železnicích postihující cestující	12	1	-	-	-	1	1	5	-	1	1	-	-	-	-	2
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	34	-	2	1	-	-	1	2	3	6	5	4	4	5	1	-
																	
D2	Dopravní úrazy motorovými vozidly	155	-	2	3	5	5	17	29	17	17	15	11	23	11	-	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	7	-	-	-	-	-	-	3	2	1	-	1	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	75	-	1	2	4	4	14	5	3	6	4	6	19	7	-	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	2	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	2	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
