1935	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH MUŽŮ	71478	9711	2048	2207	2710	3759	4611	6499	10682	29241	10
												
I	Nemoci nakažlivé a cizopasné	10926	705	765	1121	1009	1560	1571	1587	1388	1220	-
1	Tyf břišní	110	-	1	19	22	34	17	9	3	5	-
2	Paratyfy	6	-	-	-	1	-	3	1	-	1	-
3	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	94	38	46	8	1	1	-	-	-	-	-
8	Spála	160	7	78	64	5	3	2	1	-	-	-
9	Kašel zádušný	205	155	48	2	-	-	-	-	-	-	-
10	Záškrt	1084	38	318	700	20	1	1	2	1	3	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	401	59	23	13	14	23	37	37	58	137	-
11b	Chřipka neboli influenza bez údaje takových komplikací	261	40	16	9	6	7	19	11	21	132	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	9	1	-	-	1	1	-	-	3	3	-
15	Růže	235	73	3	3	4	16	22	18	36	60	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	17	1	4	3	2	1	2	2	-	2	-
17	Zánět mozku lethargický neboli epidemický	49	-	-	3	4	13	6	9	10	4	-
18	Epidemický zánět plen mozkových a míšních	27	5	4	2	8	4	1	2	-	1	-
19	Ozhřivka 	1	-	-	-	-	-	-	1	-	-	-
20	Uhlák	3	-	-	-	-	-	-	2	-	1	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	93	19	5	19	3	6	7	9	11	14	-
