1943	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	50756	8349	1419	1247	1999	2090	3499	4809	7486	9890	9967	1
													
I	Nemoci nakalivé a cizopasné	8825	541	632	609	1087	998	1355	1480	1258	679	186	-
1	Tyf bøišní	127	1	9	17	41	20	25	5	7	2	-	-
2	Paratyf	6	-	-	-	1	1	1	3	-	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	16	4	6	1	3	-	1	-	1	-	-	-
7	Uhlák	1	1	-	-	-	-	-	-	-	-	-	-
8	Spála	230	7	117	91	10	-	3	1	1	-	-	-
9	Kašel zádušnı	96	78	18	-	-	-	-	-	-	-	-	-
10	Záškrt	741	87	316	276	50	2	6	1	2	1	-	-
11	Rùe	134	38	3	1	3	6	11	15	11	24	22	-
12	Ztrnutí (tetanus)	93	22	3	15	7	2	12	13	9	9	1	-
13	Tuberkulosa ústrojí dıchacího	5747	32	40	69	825	873	1130	1214	982	493	89	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	217	21	55	65	42	10	11	6	6	1	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	5	-	-	-	2	-	1	1	1	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	18	1	-	1	1	3	3	5	2	2	-	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	20	-	1	1	7	3	2	1	3	2	-	-
16	Tuberkulosa páteøe	53	1	-	5	14	7	3	6	8	8	1	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	105	-	1	5	14	13	11	5	24	19	13	-
18	Tuberkulosa kùe a podkoního vaziva	5	-	-	-	-	-	-	2	1	2	-	-
19	Tuberkulosa soustavy mízní	11	-	1	2	2	-	1	-	3	2	-	-
20	Tuberkulosa ústrojí moèového a pohlavního	9	-	-	-	-	1	3	2	1	1	1	-
21a	Addisonova nemoc tuberkulosního pùvodu	2	-	-	-	-	1	-	-	-	1	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	5	-	-	-	-	-	1	1	2	1	-	-
22	Tuberkulosa miliární	36	4	7	3	11	6	1	4	-	-	-	-
24a	Otrava krve	233	97	8	15	14	10	15	25	29	12	8	-
24b	Snì plynová	3	-	-	-	1	-	-	-	1	1	-	-
25	Kapavka	1	1	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	9	-	-	2	2	1	-	2	2	-	-	-
28	Støídavka (malarie)	-	-	-	-	-	-	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	69	-	-	-	-	-	7	16	27	16	3	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	151	-	-	-	3	5	41	59	30	11	2	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	118	-	-	-	-	2	14	21	32	27	22	-
30d	Pøíjice: pøíjice vrozená	33	32	-	1	-	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	123	-	-	2	3	5	19	35	42	13	4	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	2	-	-	-	1	1	-	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	1	-	-	-	-	1	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	96	44	8	-	2	2	5	8	10	9	8	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	63	35	1	2	1	1	-	3	2	6	12	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	60	23	26	11	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	64	5	9	18	14	9	6	2	1	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	31	-	-	-	-	6	8	9	4	4	-	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	10	-	2	1	-	2	2	1	2	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	4	4	-	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	7	-	-	-	1	2	-	4	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	9	-	-	-	3	-	2	2	1	1	-	-
43b	Jiné mykosy	3	1	1	-	-	-	-	-	-	1	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	57	2	-	4	9	3	10	8	11	10	-	-
44c	Epidemickı zánìt pøíušnic	1	-	-	1	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	5427	12	19	29	39	69	265	709	1592	1889	804	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	32	-	-	-	-	-	-	-	3	15	14	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	44	-	-	-	-	-	1	6	13	16	8	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	79	-	-	1	-	-	5	5	31	26	11	-
46a	Rakovina a jiné zhoubné nádory: jícnu	315	-	-	-	-	-	10	18	108	129	50	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2102	-	-	-	1	8	92	260	613	812	316	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	308	-	1	1	2	6	11	38	91	97	61	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	338	-	-	-	2	6	21	26	99	127	57	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	360	-	-	-	1	2	12	44	110	137	54	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	97	-	3	6	1	2	3	17	26	25	14	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	58	-	-	-	-	1	5	8	22	20	2	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	38	-	1	1	-	2	2	4	10	14	4	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	10	-	-	-	-	-	-	2	5	3	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	96	-	-	-	2	-	4	11	32	39	8	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	423	-	-	-	1	7	30	100	161	95	29	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	-	1	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dìlohy	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	3	-	-	-	-	-	-	-	-	2	1	-
51a	Rakovina a jiné zhoubné nádory: šourku	6	-	-	-	-	-	-	2	1	1	2	-
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	227	-	-	-	-	-	1	10	43	121	52	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	33	-	-	-	-	8	2	11	1	8	3	-
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	168	-	2	-	-	1	4	20	58	52	31	-
53	Rakovina a jiné zhoubné nádory: kùe	76	-	-	-	-	-	6	8	13	19	30	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	30	-	2	1	2	3	3	7	7	4	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	31	-	-	1	1	-	3	9	12	5	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	76	2	-	3	6	2	9	10	19	20	5	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	18	-	1	-	-	-	-	4	4	4	5	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	165	3	2	4	4	6	10	26	31	50	29	-
55	Carcinomatosy, sarkomatosy	12	-	1	1	1	-	2	4	2	1	-	-
55f	Metastasy bez udání prvotního místa	3	-	-	-	-	-	-	2	-	1	-	-
56a	Nádory nezhoubné: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	4	-	-	-	1	-	-	1	2	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	9	1	2	-	-	1	-	1	2	2	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	114	4	3	10	11	10	21	21	24	9	1	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	151	2	1	-	3	4	8	34	49	34	16	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	595	55	30	62	23	22	21	64	114	143	61	-
