1994	Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	3432	39	14	3	9	10	31	30	88	77	55	72	86	104	145	106	94	107	188	326	289	710	849
																								
DN	Dopravní nehody	464	2	1	1	3	2	19	11	40	32	17	28	19	25	33	17	23	17	38	45	33	34	24
																								
	Chodec zraněný při dopravní nehodě     V01-V09	151	-	1	1	-	1	10	4	8	1	1	4	3	11	9	5	8	8	17	16	17	15	11
V01	Chodec zraněný při srážce s jízdním kolem	5	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	2	-	1
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	101	-	1	1	-	1	6	2	6	1	1	2	2	5	5	2	5	5	12	12	12	13	7
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	15	-	-	-	-	-	2	1	1	-	-	-	-	3	-	2	-	1	1	1	2	-	1
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	23	-	-	-	-	-	1	-	1	-	-	2	1	2	4	-	2	2	3	1	1	1	2
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	3	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	2	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	20	-	-	-	-	-	-	1	3	-	-	1	-	1	1	2	1	3	1	4	1	1	-
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	9	-	-	-	-	-	-	-	1	-	-	1	-	1	1	2	-	1	-	2	-	-	-
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	3	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	4	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	1	-	1	-	-	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	3	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-	-	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V26	Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V27	Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
