1972	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1966)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Úrazy, otravy a násilí (vnìjší pøíèina)	5589	63	30	21	14	16	102	85	345	529	466	305	323	364	367	338	325	439	456	356	287	225	133
																								
D1	Úrazy na železnicích	196	-	2	1	-	-	2	2	10	26	21	14	9	17	14	18	21	6	10	10	4	6	3
E800	Srážka se železnièními vozidly v pohybu	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E801	Náraz na nepohyblivý pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E802	Vykolejení bez pøedchozí srážky 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E803	Výbuch, oheò, popálení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E804	Pád ve vlaku nebo z vlaku	11	-	-	-	-	-	-	-	1	2	3	-	1	1	-	-	2	1	-	-	-	-	-
E805	Zachycení železnièním vozidlem v pohybu	176	-	2	1	-	-	2	2	9	22	16	13	7	16	14	17	19	5	9	9	4	6	3
E806	Jiný blíže popsaný úraz  na železnici	3	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	-	-	-	-	-
E807	Úraz na železnici NS	5	-	-	-	-	-	-	-	-	-	1	1	1	-	-	1	-	-	1	-	-	-	-
																								
D2	Dopravní úrazy motorovými vozidly	1395	4	2	6	3	6	46	24	150	193	133	79	92	75	78	68	87	99	102	61	51	29	7
E810	Srážka motorového vozidla s vlakem	21	-	-	-	-	-	-	-	2	5	4	1	2	1	1	3	1	-	1	-	-	-	-
E811	Srážka motorového vozidla s vozem poulièní dráhy	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Jiná srážka motorového vozidla s jiným motorovým vozidel	161	-	-	-	1	-	2	2	28	14	22	13	16	11	10	10	9	9	8	3	2	1	-
E813	Srážka motorového vozidla s jiným vozidlem	56	-	1	-	-	-	1	6	4	3	4	2	1	1	1	3	4	5	9	4	5	2	-
E814	Srážka motorového vozidla s chodcem	385	-	1	4	1	6	30	9	15	20	10	14	17	17	17	17	29	37	51	32	31	20	7
E815	Náraz motorového vozidla na nepohyblivý pøedmìt 	65	1	-	-	-	-	-	-	8	23	10	3	5	1	5	2	4	2	1	-	-	-	-
E816	Úraz beze srážky následkem ztráty vlády nad vozidlem	70	-	-	-	-	-	1	-	13	16	12	5	5	2	4	2	3	5	1	-	-	1	-
E817	Úraz motorovým vozidlem pøi nastupování nebo vystupování	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Jiný úraz motorovým vozidlem beze srážky	7	-	-	-	-	-	-	1	2	-	1	-	1	-	-	-	2	-	-	-	-	-	-
E819	Úraz motorovým vozidlem NS	628	3	-	2	1	-	12	5	78	111	70	41	45	42	40	31	35	41	31	22	13	5	-
																								
D3	Úrazy motorovými vozidly mimo dopravu	32	-	-	-	-	-	-	-	2	4	7	2	3	1	1	3	1	5	-	2	1	-	-
E820	Srážka s pohybujícím se pøedmìtem mimo dopravu	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	-	-
E821	Náraz na nepohyblivý pøedmìt mimo dopravu	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-
