1948	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
														
	CELKEM ZEMØELİCH EN	48500	6147	900	499	1211	1268	2305	3889	6342	11406	11097	3432	4
														
I	Nemoci nakalivé a cizopasné	4432	446	300	150	629	479	466	463	564	616	285	33	1
1	Tyf bøišní	79	1	1	2	17	18	14	13	8	4	1	-	-
2	Paratyf	5	-	-	2	1	1	-	1	-	-	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	1	1	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	12	1	2	2	1	1	-	-	-	3	1	1	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	38	3	20	12	2	-	-	-	1	-	-	-	-
9	Kašel zádušnı	117	85	29	2	-	-	-	1	-	-	-	-	-
10	Záškrt	88	24	44	6	3	3	2	2	4	-	-	-	-
11	Rùe	45	8	1	-	-	1	-	4	6	15	7	3	-
12	Ztrnutí (tetanus)	63	18	-	8	4	-	8	6	8	8	3	-	-
13	Tuberkulosa ústrojí dıchacího	2700	37	58	50	496	406	353	306	401	422	161	10	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	177	17	58	33	41	8	5	5	6	3	1	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	-	-	-	-	-	-	-	-	-	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	23	1	-	1	2	6	5	6	-	2	-	-	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	20	-	-	1	4	2	6	2	-	4	1	-	-
16	Tuberkulosa páteøe	59	-	2	2	5	2	3	9	9	22	4	1	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	87	-	-	-	3	3	3	9	9	28	25	7	-
18	Tuberkulosa kùe a podkoního vaziva	18	1	-	-	-	2	1	1	1	8	4	-	-
19	Tuberkulosa soustavy mízní	6	-	-	-	1	-	1	-	1	2	1	-	-
