1924	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	72576	13784	2946	557	943	1630	4402	4079	11625	25505	7086	19
													
I	Nemoci epidemické a endemické	1501	388	414	67	70	71	113	92	141	129	16	-
1a	Tyf støevní	240	-	5	9	18	44	67	42	39	15	1	-
1b	Paratyfy	8	-	-	1	-	2	1	1	3	-	-	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	1	-	-	-	-	-	-	-	1	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	1	-	-	-	-	-	-	-	1	-	-	-
7	Spalnièky	264	127	122	11	3	-	-	-	1	-	-	-
8	Spála	185	10	103	28	30	6	5	2	1	-	-	-
9	Zajíkavı kašel	197	126	66	3	-	-	-	-	1	1	-	-
10	Záškrt	111	15	81	9	4	1	1	-	-	-	-	-
11a	Chøipka s plicními komplikacemi	53	14	5	-	1	-	3	2	12	16	-	-
11b	Chøipka bez komplikací plic	157	39	14	2	5	4	10	9	25	41	8	-
13	Zánìt pøíušnic	1	-	1	-	-	-	-	-	-	-	-	-
15	Choleroidní zánìt støev	2	1	1	-	-	-	-	-	-	-	-	-
16	Úplavice	14	-	1	-	-	1	2	3	6	1	-	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Rùe	156	50	4	1	3	6	8	9	26	42	7	-
22	Prudkı zánìt pøedních rohù míšních	-	-	-	-	-	-	-	-	-	-	-	-
23	Lethargùv zánìt støev	93	2	8	2	4	6	15	23	20	13	-	-
24	Epidemické ztrnutí šíje	18	4	3	1	2	1	1	1	5	-	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekèní	10227	608	425	168	425	951	2362	1711	2327	1207	41	2
26	Ozhøivka	1	-	-	-	-	1	-	-	-	-	-	-
27	Uhlák a snì slezinná	3	-	-	-	-	-	-	1	2	-	-	-
28	Vzteklina	9	-	1	2	1	-	1	-	1	3	-	-
29	Ztrnutí ranné	117	31	4	6	10	6	12	9	27	12	-	-
30	Mykosy	-	-	-	-	-	-	-	-	-	-	-	-
31	Tuberkulosa ústrojí dıchacího	8078	198	183	70	299	827	2132	1491	1917	937	24	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	441	64	156	53	40	36	33	15	34	10	-	-
33	Tuberkulosa støev neb pobøišnice 	223	14	15	7	12	21	30	35	63	26	-	-
34	Tuberkulosa obratlù	88	2	4	2	6	5	13	10	28	18	-	-
35	Tuberkulosa kloubù	49	-	1	1	2	1	2	4	10	24	4	-
36a	Tuberkulosa kùe nebo podkoního vaziva	39	14	7	1	1	1	3	-	6	6	-	-
36b	Tuberkulosa kostí	230	2	5	7	12	12	22	14	64	86	6	-
36c	Tuberkulosa lymfatického systému	19	4	3	1	-	1	4	2	3	1	-	-
36d	Tuberkulosa ústrojí urogenitálního	17	-	1	-	1	-	5	2	6	2	-	-
36	Tuberkulosa jinıch orgánù	10	1	1	-	-	-	3	3	2	-	-	-
37a	Tuberkulosa prudká	72	7	11	8	9	18	17	2	-	-	-	-
37b	Tuberkulosa vleklá	1	-	-	-	-	-	1	-	-	-	-	-
37c	Tuberkulosa bez blišího oznaèení	63	-	1	-	-	1	15	23	22	1	-	-
38	Pøíjice	157	96	5	2	-	2	9	10	30	3	-	-
40	Kapavka	2	1	-	1	-	-	-	-	-	-	-	-
41	Otrava krve	607	173	27	7	32	19	60	90	112	78	7	2
42	Ostatní nemoci a infekèní	1	1	-	-	-	-	-	-	-	-	-	-
													
RA		6537	8	21	7	14	11	72	302	2442	3408	252	0
KR		219	10	10	3	10	11	29	23	87	36	0	0
EN		869	140	112	8	16	24	39	50	204	260	16	0
DU		86	0	0	0	1	3	10	13	36	21	2	0
III	Celkové nemoci vıše nejmenované	7670	161	146	19	42	49	141	381	2746	3716	269	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	15	-	-	-	-	1	-	1	1	8	4	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3009	3	1	-	-	1	16	66	946	1855	121	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	762	-	1	-	2	1	3	27	250	444	34	-
46	Rakovina neb jiné zhoubné nádory rodidel	1272	-	-	-	-	1	22	123	680	429	17	-
47	Rakovina neb jiné zhoubné nádory prsu	340	-	-	-	-	-	1	14	170	140	15	-
48	Rakovina neb jiné zhoubné nádory kùe	84	-	-	-	-	-	-	3	5	60	16	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	980	1	11	3	11	4	21	57	373	455	44	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	18	2	4	1	-	-	1	2	3	4	1	-
51	Prudkı horeèatı hostec kloubní	10	-	-	4	3	1	1	-	1	-	-	-
52	Vleklı hostec, dna	211	-	1	2	7	7	7	10	67	100	10	-
53	Kurdìje	5	1	-	-	-	-	1	2	-	-	1	-
56	Køivice	198	95	101	-	2	-	-	-	-	-	-	-
57	Cukrovka	296	-	3	1	3	10	18	24	96	137	4	-
58a	Nedokrevnost zhoubná	179	7	7	3	8	8	23	20	70	33	-	-
58b	Jiné nedokrevnosti a blednièka	34	3	1	-	2	3	5	3	14	3	-	-
59	Nemoci hypophysy	1	-	-	-	-	-	-	-	-	1	-	-
60a	Basedowova nemoc	85	-	1	1	1	4	10	13	34	21	-	-
60b	Jiná onemocnìní štítné lázy	8	1	1	-	-	2	1	1	1	-	1	-
61	Nemoci lázek pøištítnıch	38	35	3	-	-	-	-	-	-	-	-	-
62	Nemoci brzlíku	10	8	2	-	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	7	-	-	-	-	-	1	-	5	1	-	-
64	Nemoci sleziny	6	-	2	-	-	-	1	-	3	-	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	57	2	4	3	1	3	8	9	14	13	-	-
66	Alkoholismus	24	-	-	-	-	-	1	4	11	8	-	-
67	Vleklé otravy nerostnımi látkami	2	-	-	-	-	-	-	-	1	1	-	-
68	Vleklé otravy ústrojnımi látkami	1	-	-	-	-	-	-	-	-	1	-	-
69	Ostatní celkové nemoci	18	3	3	1	2	3	-	2	1	2	1	-
													
IV	Choroby systému nervového a smyslovıch orgánù	7600	2233	429	76	89	79	216	246	1241	2618	373	-
70	Zánìt mozku	171	22	21	4	10	7	22	20	42	22	1	-
71	Zánìt mozkovıch blan	701	188	219	64	44	26	44	29	57	29	1	-
72	Úbytì míchy	104	-	-	-	-	-	4	12	47	40	1	-
73	Jiné choroby míchy	220	1	9	-	4	5	17	20	76	83	5	-
74a	Vılev krevní do mozku	3344	-	-	-	-	-	29	43	734	2197	341	-
74b	Záha il mozkovıch	56	-	-	-	-	-	1	9	20	25	1	-
75a	Jednostranná obrna tìla	93	-	-	-	1	2	2	5	13	66	4	-
75b	Paralysis progressiva	56	-	-	-	-	-	1	6	31	15	3	-
75c	Jiné obrny	33	-	1	-	1	3	-	5	13	10	-	-
76	Ochrnutí spojené s duševní chorobou	-	-	-	-	-	-	-	-	-	-	-	-
77	Jiné duševní choroby	62	-	-	-	1	3	9	9	25	13	2	-
78	Padoucnice	148	3	6	4	6	13	33	27	35	21	-	-
79	Boec nepuerperální	34	-	-	2	3	1	14	6	5	3	-	-
80	Køeèe u dìtí	2165	2007	158	-	-	-	-	-	-	-	-	-
81	Posunèina	2	-	-	-	-	-	2	-	-	-	-	-
82b	Zánìt nervù	10	-	-	-	-	1	1	-	3	5	-	-
83	Zmìknutí mozku	60	-	-	-	-	-	2	3	14	35	6	-
84	Ostatní choroby systému nervového	318	7	10	1	15	18	31	50	125	53	8	-
86	Choroby ucha nebo dutin mastoideu	23	5	5	1	4	-	4	2	1	1	-	-
													
V	Choroby obìhu krevního	9936	104	53	45	120	131	332	469	2375	5626	679	2
87	Zánìt osrdce	20	-	1	1	3	-	2	1	7	5	-	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1954	6	4	13	22	14	52	54	390	1239	160	-
89	Srdeèní angina	18	-	-	-	1	-	-	-	4	13	-	-
90	Jiné nemoci srdce	5777	91	43	31	92	114	255	372	1773	2765	240	1
91a	Vıdu	48	-	-	-	-	-	2	3	18	22	3	-
91b	Zkornatìní a jiné choroby tepen	1949	-	-	-	-	1	-	6	138	1532	271	1
92	Záha (nikoliv mozkovı)	81	-	-	-	1	2	10	17	30	20	1	-
93	Choroby il	39	-	-	-	-	-	1	4	10	21	3	-
94	Choroby systému mízního	20	6	3	-	1	-	3	3	1	3	-	-
95	Ostatní choroby obìhu krevního	30	1	2	-	-	-	7	9	4	6	1	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	8727	2548	894	68	61	59	180	256	1006	3285	368	2
97	Choroby dutin nosních a jejich adnex	3	-	1	-	-	-	-	-	1	1	-	-
98	Choroby hrtanu	16	9	5	-	-	-	-	2	-	-	-	-
99a	Zánìt prùdušek prudkı	831	700	86	3	2	-	-	2	3	26	9	-
99b	Zánìt prùdušek vleklı	128	19	12	-	-	-	2	1	16	72	6	-
