1958	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1955)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš-tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4591	129	40	35	34	20	221	625	568	506	767	656	467	391	132	-
																	
D1	Úrazy na železnicích	195	-	3	-	1	-	5	23	26	38	42	24	15	16	2	-
E800	Úraz na železnicích postihující železnièní zamìstnance	90	-	-	-	-	-	-	11	16	25	25	10	2	-	1	-
E801	Úraz na železnicích postihující cestující	22	-	-	-	-	-	-	6	4	2	1	4	2	3	-	-
E802	Úraz na železnicích postihující jiné osoby	83	-	3	-	1	-	5	6	6	11	16	10	11	13	1	-
																	
D2	Dopravní úrazy motorovými vozidly	698	1	1	2	7	6	40	187	134	82	101	61	52	21	3	-
E810	Dopravní úraz   pøi srážce s vlakem	7	-	-	-	-	-	1	1	-	-	4	1	-	-	-	-
E811	Dopravní úraz   pøi srážce s poulièní drahou	4	-	-	-	-	-	2	-	-	-	-	1	-	1	-	-
E812	Dopravní úraz   zpùsobený chodcùm	226	-	1	2	6	6	33	24	18	22	35	31	28	17	3	-
E813	Dopravní úraz   zpùsobený cyklistùm	21	-	-	-	-	-	-	1	3	-	6	3	6	2	-	-
E814	Dopravní úraz  motocyklem pøi srážce s vozidlem nemotorovým a jinými pøedmìty	11	-	-	-	-	-	-	2	4	3	2	-	-	-	-	-
E815	Dopravní úraz motocyklem pøi srážce s motorovým vozidlem 	58	-	-	-	-	-	1	14	16	13	8	3	3	-	-	-
E816	Dopravní úraz pøi srážce  motorových vozidel 	10	-	-	-	-	-	-	-	3	2	3	1	1	-	-	-
E817	Dopravní úraz  posádky motorového vozidla pøi srážce s chodcem, cyklistou	2	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-
E818	Dopravní úraz   pøi srážce se zvíøaty nebo vozy taženými zvíøaty	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
E819	Dopravní úraz   pøi srážce s pøedmìty pevnými nebo blíže neurèenými	29	-	-	-	-	-	-	12	9	2	2	3	1	-	-	-
E820	Dopravní úraz  pøi nastupování nebo vystupování	3	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-
E821	Dopravní úraz  øidièe motocyklu, nejde-li o srážku	78	-	-	-	-	-	-	31	24	12	10	1	-	-	-	-
E822	Dopravní úraz   pøi pøevrhnutí na silnici	8	-	-	-	-	-	-	3	1	1	2	-	1	-	-	-
E823	Dopravní úraz   pøi vyboèení ze silnice	7	-	-	-	-	-	-	3	1	1	2	-	-	-	-	-
E824	Jiný dopravní úraz   bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E825	Dopravní úraz   neurèené povahy	232	1	-	-	1	-	2	95	55	25	25	16	11	1	-	-
																	
D3	Nedopravní úrazy motorovými vozidly 	99	-	1	1	-	-	6	33	27	7	6	10	7	1	-	-
E830	Nedopravní úraz   zpùsobený chodcùm	8	-	-	-	-	-	1	-	1	2	-	3	1	-	-	-
E831	Nedopravní úraz   zpùsobený cyklistùm	3	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-
E832	Nedopravní úraz   zpùsobený posádce motocyklu	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E833	Nedopravní úraz, jde-li o nìkolik motorových vozidel	2	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-
E834	Nedopravní úraz    pøi nastupování a vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz    jiné nebo neurèené povahy	13	-	-	-	-	-	-	4	3	-	1	3	2	-	-	-
E836	Úraz zpùsobený traktorem	72	-	1	1	-	-	5	27	22	5	5	2	3	1	-	-
																	
D4	Úrazy jinými silnièními vozidly	45	-	-	-	2	-	4	5	4	2	14	7	5	2	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	5	-	-	-	-	-	-	-	-	1	2	1	1	-	-	-
E841	Jiný úraz poulièní drahou , mimo srážku s motorovým vozidlem 	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	2	-	-	-	1	-	-	-	-	-	-	1	-	-	-	-
E843	Úraz zpùsobený cyklistùm, vyjma srážku  s motorovým  vozidlem 	24	-	-	-	-	-	3	5	3	-	6	3	2	2	-	-
E844	Úraz chodcù nemotorovými silnièními vozidly 	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E845	Jiný úraz nemotorovými silnièními vozidly 	11	-	-	-	1	-	-	-	1	1	5	1	2	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících potopením na malých èlunech 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní úrazy pøi vodní dopravì zpùsobené potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
