1929	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH MUÙ	79021	14548	2901	1983	4316	6512	5729	15092	27935	5
											
I	Nemoci epidemické a endemické	2804	468	580	571	235	169	127	262	392	-
1a	Tyf støevní	268	-	9	19	123	63	27	23	4	-
1b	Paratyfy	3	-	1	-	1	-	-	1	-	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	9	-	-	-	-	-	3	6	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	149	52	78	19	-	-	-	-	-	-
8	Spála	185	5	96	70	9	3	2	-	-	-
9	Zajíkavı kašel	122	80	39	2	-	-	-	1	-	-
10	Záškrt	729	38	265	415	1	3	2	2	3	-
11a	Chøipka s plicními komplikacemi	596	128	51	15	25	27	48	117	185	-
11b	Chøipka bez komplikací plic	299	55	21	17	19	19	12	33	123	-
13	Zánìt pøíušnic	10	3	1	1	-	-	-	1	4	-
15	Choleroidní zánìt støev	6	-	-	-	-	2	1	2	1	-
16	Úplavice	3	-	-	-	1	1	-	-	1	-
19	Spirochetosa ikterohaemor	4	-	-	-	1	2	-	1	-	-
21	Rùe	259	90	1	2	9	20	21	54	62	-
22	Prudkı zánìt pøedních rohù míšních	11	1	4	2	2	-	1	1	-	-
23	Lethargùv zánìt støev	91	1	6	5	25	18	8	19	9	-
24	Epidemické ztrnutí šíje	54	11	6	4	19	11	2	1	-	-
25	Ostatní nemoci epidemické	6	4	2	-	-	-	-	-	-	-
											
II	Nemoci infekèní	10170	510	364	360	1718	2682	1647	2099	790	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	5	-	-	-	-	2	1	-	2	-
28	Vzteklina	2	-	-	1	-	-	-	1	-	-
29	Ztrnutí ranné	165	42	9	28	16	17	13	27	13	-
30	Mykosy	7	-	-	-	1	-	1	2	3	-
31	Tuberkulosa ústrojí dıchacího	8341	162	102	122	1497	2484	1473	1860	641	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	539	81	186	139	61	36	20	13	3	-
33	Tuberkulosa støev neb pobøišnice 	117	11	15	13	17	17	18	21	5	-
34	Tuberkulosa obratlù	69	-	1	6	15	10	7	22	8	-
35	Tuberkulosa kloubù	56	-	4	6	7	7	6	4	22	-
36a	Tuberkulosa kùe nebo podkoního vaziva	5	-	-	-	1	-	2	2	-	-
36b	Tuberkulosa kostí	101	1	5	4	24	16	9	15	27	-
36c	Tuberkulosa lymfatického systému	28	12	5	4	2	3	1	1	-	-
36d	Tuberkulosa ústrojí urogenitálního	23	-	-	1	3	5	4	6	4	-
36	Tuberkulosa jinıch orgánù	15	-	-	1	3	4	2	3	2	-
37a	Tuberkulosa prudká	66	7	12	12	32	1	2	-	-	-
37b	Tuberkulosa vleklá	2	-	-	-	-	-	-	2	-	-
37c	Tuberkulosa bez blišího oznaèení	42	-	-	-	-	17	9	10	6	-
38	Pøíjice	225	64	9	3	7	34	47	50	11	-
40	Kapavka	3	1	-	-	1	-	-	1	-	-
41	Otrava krve	359	129	16	20	31	29	32	59	43	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		6801	10	15	18	57	230	544	2749	3178	0
KR		141	5	5	6	5	17	27	49	27	0
EN		883	148	49	23	38	49	43	226	307	0
DU		205	0	1	0	4	18	44	83	55	0
III	Celkové nemoci vıše nejmenované	8013	169	73	51	104	316	654	3094	3552	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	149	-	-	-	-	2	12	56	79	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	4267	-	-	-	3	96	331	1802	2035	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	880	-	1	1	4	19	61	343	451	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	2	-	-	-	-	-	-	1	1	-
48	Rakovina neb jiné zhoubné nádory kùe	106	-	-	2	-	4	8	26	66	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1096	2	7	10	33	62	102	408	472	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	188	6	2	1	12	24	14	72	57	-
51	Prudkı horeèatı hostec kloubní	24	1	1	8	6	4	-	3	1	-
52	Vleklı hostec, dna	82	-	-	-	1	2	6	16	57	-
53	Kurdìje	2	-	1	1	-	-	-	-	-	-
56	Køivice	125	88	36	1	-	-	-	-	-	-
57	Cukrovka	544	2	7	10	27	32	32	194	240	-
59	Nedokrevnost zhoubná	112	3	3	3	2	10	22	45	24	-
58a	Jiné nedokrevnosti a blednièka	16	1	1	1	2	4	2	2	3	-
58b	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	26	-	-	1	1	7	4	8	5	-
60b	Jiná onemocnìní štítné lázy	15	-	2	1	3	1	-	4	4	-
61	Nemoci lázek pøištítnıch	31	30	-	1	-	-	-	-	-	-
62	Nemoci brzlíku	30	27	2	-	-	1	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	4	-	-	-	-	2	1	1	-	-
64	Nemoci sleziny	13	1	1	2	1	3	3	2	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	113	2	5	4	5	23	16	41	17	-
66	Alkoholismus	145	-	-	-	-	12	33	64	36	-
67	Vleklé otravy nerostnımi látkami	6	-	-	-	-	2	2	1	1	-
68	Vleklé otravy ústrojnımi látkami	2	-	-	-	-	-	-	2	-	-
69	Ostatní celkové nemoci	35	6	4	4	4	6	5	3	3	-
											
IV	Choroby systému nervového a smyslovıch orgánù	7690	1620	258	151	193	403	520	1648	2897	-
70	Zánìt mozku	100	9	19	8	13	17	10	16	8	-
71	Zánìt mozkovıch blan	546	146	120	90	60	61	28	32	9	-
72	Úbytì míchy	184	-	-	-	1	11	38	87	47	-
73	Jiné choroby míchy	178	1	4	3	10	26	22	60	52	-
74a	Vılev krevní do mozku	3732	-	-	3	10	60	175	1072	2412	-
74b	Záha il mozkovıch	31	-	-	-	1	3	4	9	14	-
75a	Jednostranná obrna tìla	155	-	-	-	-	2	6	42	105	-
75b	Paralysis progressiva	362	-	-	-	2	92	108	113	47	-
75c	Jiné obrny	56	-	1	3	1	3	12	14	22	-
76	Ochrnutí spojené s duševní chorobou	6	-	-	-	-	-	2	2	2	-
