1934	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH MUŽŮ	69106	10415	2173	2317	2776	3907	4378	6343	10474	26306	17
												
I	Nemoci nakažlivé a cizopasné	10744	647	865	1213	1045	1651	1516	1512	1355	938	2
1	Tyf břišní	155	-	2	11	39	49	20	16	12	6	-
2	Paratyfy	10	-	1	-	-	1	-	6	2	-	-
3	Tyf skvrnitý	1	-	-	-	-	1	-	-	-	-	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	143	63	67	12	1	-	-	-	-	-	-
8	Spála	162	4	81	68	8	-	1	-	-	-	-
9	Kašel zádušný	143	111	32	-	-	-	-	-	-	-	-
10	Záškrt	1265	36	386	825	10	3	-	1	3	1	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	123	34	7	3	2	4	3	12	18	40	-
11b	Chřipka neboli influenza bez údaje takových komplikací	97	25	6	3	2	6	5	4	11	35	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	1	-	-	-	-	-	-	-	-	1	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	4	-	1	1	1	1	-	-	-	-	-
15	Růže	235	66	4	3	7	11	19	30	36	59	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	12	1	2	-	2	1	1	3	-	2	-
17	Zánět mozku lethargický neboli epidemický	39	1	-	-	6	9	4	7	7	5	-
18	Epidemický zánět plen mozkových a míšních	29	6	4	3	12	-	1	1	-	2	-
19	Ozhřivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	2	-	-	-	-	-	-	1	-	1	-
21	Vzteklina	1	-	-	-	-	1	-	-	-	-	-
22	Ztrnutí	127	26	4	26	7	12	7	9	16	20	-
23(4)	Tuberkulosa ústrojí dýchacího	6808	71	74	83	856	1420	1315	1276	1069	643	1
24	Tuberkulosa plen a ústřední soustavy čivové	378	62	132	96	24	28	17	8	9	2	-
25	Tuberkulosa střev a pobřišnice	103	2	14	12	11	18	15	7	15	9	-
26	Tuberkulosa páteře	61	1	5	8	8	9	6	4	16	4	-
27	Tuberkulosa kostí a kloubů	152	1	7	12	10	19	11	17	32	43	-
28	Tuberkulosa kůže a podkožního tuku	11	-	-	2	1	2	2	-	-	4	-
29	Tuberkulosa soustavy mízní	19	1	7	2	2	2	1	-	1	3	-
30	Tuberkulosa ústrojí pohlavního a močového	17	-	-	1	3	4	2	4	1	2	-
31	Tuberkulosa jiných míst	6	-	-	-	-	-	-	-	4	2	-
32	Tuberkulosa roztroušená	93	11	12	10	11	16	14	5	9	5	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Příjice vrozená	63	56	5	2	-	-	-	-	-	-	-
34b	Příjice získaná	70	-	-	-	-	3	15	23	24	5	-
34c	Příjice nerozlišená	138	-	-	-	4	13	26	46	41	8	-
35	Kapavka a jiné nemoci pohlavní	1	-	-	-	-	-	1	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	240	64	5	26	18	17	27	27	23	32	1
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	5	1	-	1	-	-	-	-	1	2	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová	-	-	-	-	-	-	-	-	-	-	-
38a	Zimnice malarická	7	-	-	-	-	-	1	3	2	1	-
38b	Kachexie malarická	1	-	-	-	-	-	-	-	1	-	-
39	Jiné nemoci, zaviněné cizopasnými prvoky	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel měchožilová jater	1	-	-	-	-	-	-	-	-	1	-
41b	Boubel měchožilová jiných míst	1	-	-	-	-	-	-	1	-	-	-
42	Jiné nemoci zaviněné červy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	6	-	-	-	-	1	2	1	2	-	-
44	Jiné nemoci nakažlivé nebo cizopasníky působené	14	4	7	3	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	7642	10	22	29	58	124	354	984	2274	3786	1
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	270	-	-	-	3	4	14	29	73	146	1
												
46a	Rakovina a jiné zhoubné nádory: požeráku	552	-	-	-	-	1	13	49	184	305	-
