1944	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	49197	6327	1024	823	1828	1855	2804	3891	6309	10655	13676	5
													
I	Nemoci nakalivé a cizopasné	6230	438	382	325	969	803	871	742	748	673	279	-
1	Tyf bøišní	91	1	4	7	25	12	15	14	9	3	1	-
2	Paratyf	8	-	1	-	-	1	3	2	1	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	1	-	-	-	-	-	-	-	-	-	1	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	37	9	7	6	3	-	4	3	2	-	3	-
7	Uhlák	1	-	-	-	-	-	-	-	-	-	1	-
8	Spála	120	4	65	39	9	2	1	-	-	-	-	-
9	Kašel zádušnı	86	69	15	2	-	-	-	-	-	-	-	-
10	Záškrt	355	47	149	84	38	12	9	6	6	4	-	-
11	Rùe	128	35	2	2	2	5	6	22	1	21	32	-
12	Ztrnutí (tetanus)	61	14	1	6	2	3	4	9	12	4	6	-
13	Tuberkulosa ústrojí dıchacího	3993	31	40	82	777	692	720	532	540	454	125	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	196	20	52	58	31	12	9	4	7	2	1	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	4	-	1	-	1	-	-	-	1	-	1	-
15a	Tuberkulosa støev a pobøišnice: støev	14	-	1	-	2	4	-	2	2	2	1	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	42	-	1	3	13	2	7	5	6	5	-	-
16	Tuberkulosa páteøe	72	-	1	3	5	3	5	13	22	17	3	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	113	-	1	1	5	2	6	12	20	39	27	-
18	Tuberkulosa kùe a podkoního vaziva	15	-	-	-	-	-	1	3	3	5	3	-
19	Tuberkulosa soustavy mízní	13	-	2	-	3	1	-	2	-	3	2	-
20	Tuberkulosa ústrojí moèového a pohlavního	10	-	-	-	2	1	4	2	1	-	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	1	-	-	-	-	1	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	4	-	-	-	-	1	1	1	-	1	-	-
22	Tuberkulosa miliární	50	4	7	5	20	2	1	3	5	3	-	-
24a	Otrava krve	184	89	1	4	6	10	16	15	18	17	8	-
24b	Snì plynová	-	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	1	-	-	-	-	-	-	-	1	-	-	-
27	Úplavice	13	1	-	1	1	2	1	1	-	3	3	-
28	Støídavka (malarie)	-	-	-	-	-	-	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	48	-	-	-	1	-	4	13	14	13	3	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	56	-	-	-	1	5	21	22	3	2	2	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	72	-	-	-	1	1	4	9	25	20	12	-
30d	Pøíjice: pøíjice vrozená	21	16	3	1	1	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	81	-	-	1	3	5	7	29	26	8	2	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	-	-	-	-	-	-	-	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	1	-	1	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	113	47	8	2	2	2	2	3	5	22	20	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	75	31	2	3	-	1	2	1	7	11	17	-
34	Neštovice	1	-	-	-	-	1	-	-	-	-	-	-
35	Spalnièky	34	16	12	5	1	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	29	-	4	8	7	9	1	-	-	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	28	-	-	-	1	2	7	5	4	5	4	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	10	2	1	2	-	-	4	1	-	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	1	1	-	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	1	-	-	-	-	-	-	1	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	2	-	-	-	-	-	2	-	-	-	-	-
43b	Jiné mykosy	1	1	-	-	-	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
