1942	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	51929	7128	1397	1277	1907	2551	4115	5371	7838	10188	10157	-
													
I	Nemoci nakalivé a cizopasné	9010	411	607	637	945	1098	1500	1512	1392	708	200	-
1	Tyf bøišní	92	-	3	13	23	15	22	6	9	1	-	-
2	Paratyf	1	-	-	-	-	-	1	-	-	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	22	5	5	4	1	2	3	1	1	-	-	-
7	Uhlák	2	-	-	-	-	-	-	-	1	1	-	-
8	Spála	226	9	132	75	4	-	4	1	1	-	-	-
9	Kašel zádušnı	70	53	15	2	-	-	-	-	-	-	-	-
10	Záškrt	758	48	289	364	49	5	3	-	-	-	-	-
11	Rùe	86	32	1	2	1	3	3	5	10	13	16	-
12	Ztrnutí (tetanus)	65	15	3	9	4	8	6	5	7	5	3	-
13	Tuberkulosa ústrojí dıchacího	6009	23	34	55	753	973	1266	1226	1076	494	109	-
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	203	24	58	48	40	10	8	8	3	4	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	3	-	1	1	-	-	-	1	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	20	-	-	1	4	2	1	3	7	2	-	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	35	-	3	1	10	2	8	7	2	2	-	-
16	Tuberkulosa páteøe	56	-	2	2	11	5	10	4	11	9	2	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	94	-	-	4	8	8	7	8	23	25	11	-
18	Tuberkulosa kùe a podkoního vaziva	9	-	-	1	2	-	2	-	1	2	1	-
19	Tuberkulosa soustavy mízní	17	-	1	2	2	1	-	3	3	3	2	-
20	Tuberkulosa ústrojí moèového a pohlavního	27	-	-	2	3	3	4	10	1	3	1	-
21a	Addisonova nemoc tuberkulosního pùvodu	1	-	-	-	-	-	1	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	6	-	-	-	1	-	2	1	-	1	1	-
22	Tuberkulosa miliární	44	3	6	8	5	6	2	7	3	2	2	-
24a	Otrava krve	208	76	4	15	10	10	28	17	22	17	9	-
24b	Snì plynová	1	-	-	-	-	-	1	-	-	-	-	-
25	Kapavka	1	-	-	-	-	-	-	-	1	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	3	-	-	-	-	-	-	1	1	1	-	-
28	Støídavka (malarie)	3	-	-	-	-	-	-	-	2	1	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	94	-	-	-	-	-	10	22	32	23	7	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	194	-	-	-	-	9	46	72	46	21	-	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	114	-	-	-	-	2	8	31	33	28	12	-
30d	Pøíjice: pøíjice vrozená	29	22	3	-	3	-	-	-	-	1	-	-
30	Pøíjice: jiné druhy pøíjice	158	-	-	-	1	7	24	44	59	18	5	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	2	-	-	-	-	-	2	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	1	-	-	1	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	111	58	8	5	3	1	3	6	5	11	11	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	40	24	1	-	-	-	1	3	2	5	4	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	42	10	27	5	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	26	2	4	12	1	4	1	2	-	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	44	-	-	-	1	11	9	5	12	4	2	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	4	-	-	-	-	2	-	-	2	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	1	-	-	-	-	1	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	10	5	4	1	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	1	-	-	-	-	-	-	1	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	3	-	1	-	-	-	-	-	1	1	-	-
43a	Actinomykosy	2	-	-	1	-	-	-	1	-	-	-	-
43b	Jiné mykosy	1	-	-	-	-	-	1	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	1	1	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	67	-	2	2	5	8	12	11	15	10	2	-
44c	Epidemickı zánìt pøíušnic	2	1	-	1	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	1	-	-	-	-	-	1	-	-	-	-	-
													
II	Rakovina a jiné nádory	5715	5	11	27	42	96	300	808	1628	1929	869	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	35	-	-	-	-	-	-	1	5	13	16	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	56	-	-	-	-	-	2	15	18	12	9	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	72	-	-	-	1	1	2	10	12	33	13	-
46a	Rakovina a jiné zhoubné nádory: jícnu	309	-	-	-	-	-	4	23	79	136	67	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2246	-	-	1	1	15	95	284	687	834	329	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	312	-	-	-	1	11	20	40	82	110	48	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	368	-	-	-	-	3	19	34	107	143	62	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	407	-	-	-	-	1	17	61	123	149	56	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	119	-	2	3	6	3	7	14	25	37	22	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	59	-	-	-	-	-	2	15	22	18	2	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	36	-	-	1	1	1	4	6	12	8	3	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	23	-	-	-	-	1	1	1	6	12	2	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	119	-	-	-	-	-	7	24	39	34	15	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	445	-	-	-	4	8	31	109	175	99	19	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	2	-	-	-	-	-	-	-	1	1	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dìlohy	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	6	-	-	-	-	-	-	-	1	2	3	-
51a	Rakovina a jiné zhoubné nádory: šourku	1	-	-	-	-	1	-	-	-	-	-	-
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	191	-	-	-	-	-	-	8	40	75	68	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	27	-	-	-	-	4	2	3	5	8	5	-
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	168	-	2	-	-	-	10	24	35	60	37	-
53	Rakovina a jiné zhoubné nádory: kùe	97	-	-	-	-	1	1	9	14	24	48	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	23	-	1	2	1	4	6	7	1	1	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	26	-	-	-	-	-	3	7	7	9	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	83	-	-	5	4	5	7	18	17	19	8	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	26	-	-	-	-	3	3	9	3	5	3	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	179	1	3	2	6	13	13	32	47	42	20	-
55	Carcinomatosy, sarkomatosy	13	1	-	-	1	-	4	1	4	1	1	-
55f	Metastasy bez udání prvotního místa	8	-	-	-	-	-	1	1	4	2	-	-
56a	Nádory nezhoubné: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	4	-	-	1	1	1	-	-	1	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	13	1	-	1	1	-	1	2	3	3	1	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	111	1	1	10	11	15	27	27	14	5	-	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	131	1	2	1	3	5	11	23	39	34	12	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	611	62	20	51	13	14	32	52	126	163	78	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	57	-	5	36	7	1	4	2	-	1	1	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	13	-	1	3	-	-	-	-	3	4	2	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	45	-	-	-	1	-	1	3	8	19	13	-
60	Dna	1	-	-	-	-	-	-	-	-	1	-	-
61	Úplavice cukrová	374	-	2	7	5	9	18	38	101	133	61	-
62	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	5	-	-	-	-	-	-	2	2	1	-	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	14	-	-	-	-	1	2	1	7	3	-	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	10	-	2	1	-	2	2	1	2	-	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	29	25	3	1	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	13	-	-	-	-	1	5	4	2	1	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	1	-	-	-	-	-	-	-	1	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	3	1	-	1	-	-	-	1	-	-	-	-
67	Kurdìje	1	-	-	-	-	-	-	-	-	-	1	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	45	36	7	2	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	218	10	10	12	21	16	29	22	58	32	8	-
72a	Stavy krvácivé: purpury prvotní	8	-	1	-	-	-	-	1	4	1	1	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	12	4	-	1	3	2	2	-	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	37	2	-	1	1	-	3	4	14	8	4	-
73b	Chudokrevnost: jiná anaemie	20	2	2	1	4	4	1	-	3	2	1	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	120	2	5	7	10	10	20	13	34	17	2	-
74b	Leukaemie a aleukaemie: aleukaemie	2	-	-	-	-	-	1	-	1	-	-	-
75	Nemoci sleziny	8	-	-	1	2	-	1	2	-	2	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	8	-	2	1	1	-	1	1	2	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	3	-	-	-	-	-	-	1	-	2	-	-
													
V	Otravy vleklé	17	-	-	-	-	-	1	7	4	1	4	-
77a	Alkoholismus prudkı	3	-	-	-	-	-	-	2	-	-	1	-
77b	Alkoholismus vleklı a bez blišího oznaèení	12	-	-	-	-	-	-	5	3	1	3	-
78a	Otrava olovem: oznaèená jako z povolání	1	-	-	-	-	-	1	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	1	-	-	-	-	-	-	-	1	-	-	-
													
DU		87	0	2	3	7	8	17	17	18	7	8	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3610	465	64	67	83	96	167	288	590	975	815	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	12	2	1	1	2	2	3	1	-	-	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	41	7	5	5	6	5	3	2	5	2	1	-
81	Zánìt plen mozkovıch prostı	160	42	22	21	18	17	8	12	15	3	2	-
82	Nemoci míchy	103	1	2	4	6	8	16	18	22	20	6	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2141	-	1	4	6	17	58	177	426	792	660	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	56	-	-	1	2	2	3	3	9	20	16	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	107	-	-	-	-	-	2	6	13	37	49	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	142	-	-	-	2	-	4	8	33	44	51	-
84a	Duševní nemoci a vady: slabomyslnost	19	-	2	1	5	4	1	4	-	2	-	-
84b	Duševní nemoci a vady: schoizophrenie	16	-	-	-	-	3	4	1	4	2	2	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	4	-	-	1	1	-	-	1	-	1	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	33	-	-	1	1	1	12	4	11	1	2	-
85	Padoucnice	84	1	-	7	15	17	16	9	9	4	6	-
86	Køeèe u dìtí do 5 let	377	361	16	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	-	-	-	-	-	-	-	-	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	4	-	-	-	-	-	-	-	-	3	1	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	19	-	1	-	-	1	-	7	2	5	3	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	130	-	-	-	1	12	17	21	32	31	16	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	22	-	2	6	3	2	3	3	2	1	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	136	50	11	15	15	5	16	11	6	7	-	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	4	1	1	-	-	-	1	-	1	-	-	-
													
VII	Nemoci ústrojí obìhu krevního	10737	24	47	100	117	189	437	918	1902	3355	3648	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	2	-	-	1	1	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	11	-	1	2	-	2	1	1	1	2	1	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	35	3	7	6	5	5	4	2	1	2	-	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	890	-	4	30	38	60	101	153	180	202	122	-
