1928	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH MUÙ	74569	15023	2969	1852	4222	6022	5337	14172	24962	10
											
I	Nemoci epidemické a endemické	2110	494	552	417	196	139	66	110	136	-
1a	Tyf støevní	253	-	11	27	93	71	21	22	8	-
1b	Paratyfy	9	-	1	-	4	1	1	1	1	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	7	-	-	-	-	3	3	1	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	188	79	93	16	-	-	-	-	-	-
8	Spála	184	2	80	85	12	5	-	-	-	-
9	Zajíkavı kašel	278	198	78	1	1	-	-	-	-	-
10	Záškrt	541	39	237	259	4	-	-	-	2	-
11a	Chøipka s plicními komplikacemi	160	47	16	9	10	7	7	25	39	-
11b	Chøipka bez komplikací plic	130	22	13	5	21	12	7	17	33	-
13	Zánìt pøíušnic	8	4	1	2	-	-	-	-	1	-
15	Choleroidní zánìt støev	2	-	1	-	-	-	1	-	-	-
16	Úplavice	7	1	2	-	-	-	2	-	2	-
19	Spirochetosa ikterohaemor	3	-	-	-	1	1	1	-	-	-
21	Rùe	219	89	10	2	5	18	14	35	46	-
22	Prudkı zánìt pøedních rohù míšních	9	2	-	3	2	1	1	-	-	-
23	Lethargùv zánìt støev	74	1	6	5	24	19	7	8	4	-
24	Epidemické ztrnutí šíje	33	7	1	3	19	1	1	1	-	-
25	Ostatní nemoci epidemické	5	3	2	-	-	-	-	-	-	-
											
II	Nemoci infekèní	9983	537	464	414	1660	2610	1581	1995	722	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	2	-	-	-	-	-	-	-	2	-
28	Vzteklina	1	-	-	-	-	1	-	-	-	-
29	Ztrnutí ranné	183	43	11	40	20	16	20	23	10	-
30	Mykosy	-	-	-	-	-	-	-	-	-	-
31	Tuberkulosa ústrojí dıchacího	8111	163	159	137	1460	2423	1433	1742	594	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	567	90	222	146	49	37	7	13	3	-
33	Tuberkulosa støev neb pobøišnice 	144	11	20	11	26	22	18	22	14	-
34	Tuberkulosa obratlù	66	-	2	6	13	12	7	14	12	-
35	Tuberkulosa kloubù	43	-	3	6	8	3	4	13	6	-
36a	Tuberkulosa kùe nebo podkoního vaziva	7	2	-	1	-	1	-	1	2	-
36b	Tuberkulosa kostí	109	1	9	10	20	13	7	29	20	-
36c	Tuberkulosa lymfatického systému	26	6	9	4	3	1	-	1	2	-
36d	Tuberkulosa ústrojí urogenitálního	24	-	1	1	2	9	6	4	1	-
36	Tuberkulosa jinıch orgánù	18	1	-	-	2	2	2	4	7	-
37a	Tuberkulosa prudká	65	8	13	18	23	3	-	-	-	-
37b	Tuberkulosa vleklá	1	-	-	-	-	1	-	-	-	-
37c	Tuberkulosa bez blišího oznaèení	55	-	-	-	-	12	17	20	6	-
38	Pøíjice	224	84	4	4	3	27	35	57	10	-
40	Kapavka	3	1	-	-	1	1	-	-	-	-
41	Otrava krve	334	127	11	30	30	26	25	52	33	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		6649	12	19	22	52	181	549	2717	3097	0
KR		117	11	9	2	7	7	16	50	15	0
EN		837	144	58	25	25	39	63	229	254	0
DU		223	0	1	1	5	11	42	99	64	0
III	Celkové nemoci vıše nejmenované	7814	176	89	53	89	238	666	3088	3415	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	183	-	1	-	-	6	12	66	98	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	4157	-	1	1	2	75	327	1798	1953	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	839	-	-	2	5	17	56	311	448	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	4	-	-	-	-	1	-	2	1	-
48	Rakovina neb jiné zhoubné nádory kùe	79	-	-	-	3	3	7	20	46	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1112	4	7	8	20	59	109	424	481	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	158	5	4	3	10	12	23	48	53	-
51	Prudkı horeèatı hostec kloubní	25	2	3	11	1	4	-	3	1	-
52	Vleklı hostec, dna	83	-	-	2	3	6	2	22	48	-
53	Kurdìje	2	-	1	-	1	-	-	-	-	-
56	Køivice	149	101	44	4	-	-	-	-	-	-
57	Cukrovka	488	1	2	8	15	25	54	185	198	-
59	Nedokrevnost zhoubná	91	5	7	2	5	4	14	41	13	-
58a	Jiné nedokrevnosti a blednièka	17	5	2	-	1	3	-	5	1	-
58b	Nemoci hypophysy	1	-	-	-	-	1	-	-	-	-
60a	Basedowova nemoc	13	-	1	-	-	-	1	9	2	-
60b	Jiná onemocnìní štítné lázy	15	1	1	-	2	1	2	4	4	-
61	Nemoci lázek pøištítnıch	29	26	3	-	-	-	-	-	-	-
62	Nemoci brzlíku	19	13	3	-	3	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	13	-	-	-	-	2	4	6	1	-
64	Nemoci sleziny	9	1	-	-	1	-	2	4	1	-
65	Bìlokrevnost neb Hodgkinova nemoc	117	3	6	8	12	8	15	48	17	-
66	Alkoholismus	175	-	-	-	1	8	37	84	45	-
67	Vleklé otravy nerostnımi látkami	6	-	-	-	1	-	-	3	2	-
68	Vleklé otravy ústrojnımi látkami	3	-	-	-	-	1	1	-	1	-
69	Ostatní celkové nemoci	27	9	3	4	3	2	-	5	1	-
											
IV	Choroby systému nervového a smyslovıch orgánù	7688	1843	261	162	215	408	459	1568	2770	2
70	Zánìt mozku	113	17	17	11	20	17	9	14	8	-
71	Zánìt mozkovıch blan	529	130	145	78	48	42	27	37	22	-
72	Úbytì míchy	191	-	-	-	3	16	37	89	46	-
73	Jiné choroby míchy	199	1	1	3	17	31	23	67	56	-
74a	Vılev krevní do mozku	3543	-	2	3	9	69	172	1004	2282	2
74b	Záha il mozkovıch	54	-	-	-	2	3	3	16	30	-
75a	Jednostranná obrna tìla	136	-	-	-	1	7	8	41	79	-
75b	Paralysis progressiva	332	-	-	1	7	80	92	110	42	-
75c	Jiné obrny	95	-	4	4	3	8	3	23	50	-
76	Ochrnutí spojené s duševní chorobou	4	-	-	-	-	-	1	2	1	-
77	Jiné duševní choroby	44	-	1	1	4	3	4	13	18	-
78	Padoucnice	167	5	3	13	50	52	14	21	9	-
79	Boec nepuerperální	9	-	-	6	2	-	-	-	1	-
80	Køeèe u dìtí	1703	1647	56	-	-	-	-	-	-	-
81	Posunèina	4	2	-	1	1	-	-	-	-	-
82b	Zánìt nervù	15	-	-	-	-	4	1	4	6	-
83	Zmìknutí mozku	85	-	-	-	-	5	1	22	57	-
84	Ostatní choroby systému nervového	323	12	13	21	23	54	52	95	53	-
86	Choroby ucha nebo dutin mastoideu	142	29	19	20	25	17	12	10	10	-
											
V	Choroby obìhu krevního	10348	64	51	132	237	492	815	3004	5553	-
87	Zánìt osrdce	19	1	2	2	3	1	3	3	4	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	169	3	6	32	24	61	37	3	3	-
89	Srdeèní angina	214	-	-	-	-	5	29	105	75	-
90	Jiné nemoci srdce	7687	48	38	94	203	395	677	2405	3827	-
91a	Vıdu	117	-	-	-	-	8	24	59	26	-
91b	Zkornatìní a jiné choroby tepen	1995	-	-	-	-	8	34	377	1576	-
92	Záha (nikoliv mozkovı)	90	1	1	1	4	8	8	39	28	-
93	Choroby il	17	-	-	1	1	1	2	5	7	-
94	Choroby systému mízního	35	11	3	1	2	4	-	7	7	-
95	Ostatní choroby obìhu krevního	5	-	1	1	-	1	1	1	-	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-
											
VI	Choroby ústrojí dıchacího	10125	3008	892	175	228	339	426	1562	3495	-
97	Choroby dutin nosních a jejich adnex	-	-	-	-	-	-	-	-	-	-
98	Choroby hrtanu	42	23	12	1	-	-	2	3	1	-
99a	Zánìt prùdušek prudkı	494	438	18	-	-	1	1	6	30	-
99b	Zánìt prùdušek vleklı	426	19	13	1	3	6	25	98	261	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	302	224	78	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	409	-	-	7	7	5	15	66	309	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	2002	1025	286	26	18	28	41	154	424	-
101a	Zánìt plic lalokovı	1036	158	95	30	63	79	81	237	293	-
101b	Zánìt plic bez blišího oznaèení	3588	1078	351	85	95	148	149	552	1130	-
102	Zánìt pohrudnice	434	28	30	23	36	43	40	109	125	-
103	Pøekrvení nebo krvácení parenchymatosní plic	105	13	2	2	-	1	2	6	79	-
104	Snì plicní	86	-	-	-	4	11	24	35	12	-
105	Záducha	245	1	-	-	1	3	10	75	155	-
106	Rozedma plic	901	-	1	-	1	10	27	201	661	-
107	Ostatní choroby ústrojí dıchacího	55	1	6	-	-	4	9	20	15	-
											
VII	Choroby ústrojí zaívacího	6905	4039	305	153	207	320	356	764	761	-
108b	Choroby ústní dutiny a jejich adnex	19	15	1	-	-	2	-	-	1	-
