1935	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	69400	7314	1728	2069	2307	3591	3769	5334	9205	34082	1
												
I	Nemoci nakalivé a cizopasné	9259	533	702	1197	1164	1557	1058	828	979	1241	-
1	Tyf bøišní	128	-	2	12	24	25	24	17	16	8	-
2	Paratyfy	5	-	-	1	1	-	-	1	1	1	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	78	26	36	16	-	-	-	-	-	-	-
8	Spála	193	3	84	87	7	6	4	1	1	-	-
9	Kašel zádušnı	197	131	61	5	-	-	-	-	-	-	-
10	Záškrt	1010	18	278	665	31	4	5	5	2	2	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	412	53	16	18	16	19	29	36	45	180	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	292	32	12	11	12	10	15	14	30	156	-
13a	Úplavice støevní amoebová	1	-	-	-	1	-	-	-	-	-	-
13b	Úplavice støevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	7	1	-	1	-	-	-	1	1	3	-
15	Rùe	250	66	6	7	6	17	22	27	33	66	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	11	-	5	4	-	-	1	1	-	-	-
17	Zánìt mozku lethargickı neboli epidemickı	51	-	-	8	4	15	13	7	-	4	-
18	Epidemickı zánìt plen mozkovıch a míšních	28	7	6	7	1	2	2	2	1	-	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	1	-	-	-	-	-	-	-	-	1	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
