1994;Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1993);Název;Celkem;0;1;2;3;4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85+
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH MUÙ;58 609;486;53;31;28;22;92;107;378;496;457;515;841;1 539;2 591;3 215;3 807;6 052;8 044;9 891;5 849;8 254;5 861
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nìkteré infekèní a parazitární nemoci;198;4;3;-;1;-;-;4;6;2;3;5;6;14;20;4;19;18;18;19;12;31;9
A02;Jiné infekce zpùsobené salmonelami;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;1;-
A03;Shigellosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A04;Jiné bakteriální støevní infekce;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-
A05;"Jiné bakteriální otravy (intoxikace) ";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -"
A06;Amoebiasis - amébóza;" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -"
A08;Virové a jiné specifikované støevní infekce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A09;Prùjem-diarrhoea a gastroenteritida pøedpokládaného infekèního pùvodu;4;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-
A15;"TBC dıchacího ústrojí bakteriologicky
a histologicky ovìøená ";42;-;-;-;-;-;-;-;-;-;-;-;1;4;8;-;5;8;5;1;2;7;1
A16;"TBC dıchacího ústrojí bakteriologicky 
a histologicky neovìøená ";19;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;2;4;2;1;5;1
A17;Tuberkulóza nervové soustavy;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
