1933	Zemřelé ženy podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH ŽEN	69963	8642	2154	2152	2686	3765	3957	5485	8995	32125	2
												
I	Nemoci nakažlivé a cizopasné	9936	636	837	1241	1372	1565	1115	904	990	1276	-
1	Tyf břišní	185	-	6	21	42	42	32	17	18	7	-
2	Paratyfy	6	-	-	2	1	1	-	-	-	2	-
3	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	142	69	58	14	1	-	-	-	-	-	-
8	Spála	163	5	66	82	4	5	1	-	-	-	-
9	Kašel zádušný	193	137	52	3	-	1	-	-	-	-	-
10	Záškrt	1123	22	334	737	14	5	2	7	1	1	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	463	40	25	7	18	20	36	35	50	232	-
11b	Chřipka neboli influenza bez údaje takových komplikací	309	39	15	13	6	12	15	5	28	176	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	5	-	1	-	-	2	1	-	-	1	-
15	Růže	274	64	4	3	7	21	22	38	36	79	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	19	-	6	5	3	2	1	1	1	-	-
17	Zánět mozku lethargický neboli epidemický	53	1	1	5	6	8	7	9	11	5	-
18	Epidemický zánět plen mozkových a míšních	21	7	2	2	1	3	2	1	1	2	-
19	Ozhřivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	1	-	-	-	-	-	-	-	1	-	-
22	Ztrnutí	71	21	4	6	3	6	10	7	8	6	-
23(4)	Tuberkulosa ústrojí dýchacího	5619	61	86	152	1167	1343	871	661	687	591	-
24	Tuberkulosa plen a ústřední soustavy čivové	364	39	137	125	28	12	11	6	5	1	-
25	Tuberkulosa střev a pobřišnice	113	1	5	10	10	16	20	18	17	16	-
26	Tuberkulosa páteře	71	-	1	3	7	3	8	10	18	21	-
27	Tuberkulosa kostí a kloubů	196	3	2	17	14	4	13	19	51	73	-
28	Tuberkulosa kůže a podkožního tuku	24	1	-	-	-	1	2	-	5	15	-
29	Tuberkulosa soustavy mízní	13	4	2	2	1	1	-	1	-	2	-
30	Tuberkulosa ústrojí pohlavního a močového	21	-	-	-	2	6	1	6	4	2	-
31	Tuberkulosa jiných míst	4	-	-	-	1	-	1	-	1	1	-
32	Tuberkulosa roztroušená	75	12	11	9	9	14	8	5	4	3	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Příjice vrozená	51	43	5	1	1	1	-	-	-	-	-
34b	Příjice získaná	27	-	-	-	2	2	6	5	7	5	-
34c	Příjice nerozlišená	82	-	-	-	4	8	21	29	12	8	-
35	Kapavka a jiné nemoci pohlavní	2	1	1	-	-	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	218	58	9	17	18	25	23	23	22	23	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	17	7	-	2	1	1	1	1	1	3	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová	1	-	1	-	-	-	-	-	-	-	-
38a	Zimnice malarická	-	-	-	-	-	-	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zaviněné cizopasnými prvoky	1	-	-	1	-	-	-	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel měchožilová jater	1	-	-	-	-	-	-	-	-	1	-
41b	Boubel měchožilová jiných míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zaviněné červy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	2	-	-	-	1	-	-	-	1	-	-
44	Jiné nemoci nakažlivé nebo cizopasníky působené	6	1	3	2	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	8394	8	19	26	55	199	670	1398	2208	3811	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	87	-	1	-	-	1	9	13	20	43	-
												
46a	Rakovina a jiné zhoubné nádory: požeráku	125	-	-	-	-	-	4	15	37	69	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	2955	1	-	-	1	28	103	334	808	1680	-
46c	Rakovina a jiné zhoubné nádory: konečníku	245	-	-	-	2	8	17	47	37	134	-
46d	Rakovina a jiné zhoubné nádory: jater a žlučovodů	869	1	2	-	2	3	26	102	261	472	-
46	Rakovina a jiné zhoubné nádory: slinivky břišní	50	-	-	-	-	2	3	4	22	19	-
46f	Rakovina a jiné zhoubné nádory: pobřišnice	119	-	-	1	-	3	10	20	41	44	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice	463	-	-	-	2	6	24	60	135	236	-
47	Rakovina a jiné zhoubné nádory: ústrojí dýchacího	137	1	-	1	3	8	13	29	34	48	-
48	Rakovina a jiné zhoubné nádory: dělohy	1360	-	-	-	3	61	201	398	345	352	-
49	Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských	267	-	-	1	2	15	39	60	74	76	-
50	Rakovina a jiné zhoubné nádory: prsů	585	-	-	-	-	16	68	124	165	212	-
51	Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: kůže	182	-	-	2	2	3	8	15	29	123	-
53	Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených	523	1	7	9	16	14	66	87	133	190	-
												
54a	Nádory nezhoubné: pohlavních ústrojů ženských	68	-	-	-	-	1	25	28	7	7	-
54b	Nádory nezhoubné: jiných ústrojů	17	-	1	1	1	1	1	5	3	4	-
												
55a	Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských	54	-	-	-	-	2	7	9	11	25	-
55b	Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů	288	4	8	11	21	27	46	48	46	77	-
												
III	Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové	1282	71	21	35	33	69	68	164	285	536	-
56	Rheumatismus kloubní prudký, horečnatý	60	-	3	13	9	14	7	7	3	4	-
57	Rheumatismus vleklý, osteoarthritis	205	-	-	2	1	3	9	24	40	126	-
58	Dna	20	-	-	-	-	1	-	-	2	17	-
59	Úplavice cukrová	744	-	6	13	12	24	23	101	205	360	-
	Kurděje	-	-	-	-	-	-	-	-	-	-	-
60a	Dětské kurděje	-	-	-	-	-	-	-	-	-	-	-
60b	Kurděje	-	-	-	-	-	-	-	-	-	-	-
62	Pellagra	1	-	-	-	-	1	-	-	-	-	-
63	Křivice	64	49	7	1	1	2	1	2	-	1	-
64	Měknutí kostí	5	-	1	-	-	-	1	-	1	2	-
65	Nemoci podvěsku mozkového	1	-	-	1	-	-	-	-	-	-	-
												
66a	Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté	30	-	-	1	5	-	3	3	9	9	-
66b	Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické	89	-	-	1	2	21	20	18	19	8	-
66c	Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus	8	-	1	1	-	2	2	1	1	-	-
66d	Nemoci žlázy štítné a přídavných žlázek štítných: tetanie	16	14	1	-	-	-	1	-	-	-	-
66	Nemoci žlázy štítné a přídavných žlázek štítných: jiné	4	-	-	-	-	1	-	3	-	-	-
67	Nemoci brzlíku	11	8	2	1	-	-	-	-	-	-	-
