1959;Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1955);Název;Celkem;0;1;2;3;4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85+;Nezjiš- tìno;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH EN;46 050;1 138;164;75;63;43;255;305;597;979;3 230;6 781;12 571;14 679;5 170;-;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nemoci infekèní a parasitární;1 248;23;23;12;6;6;16;14;41;62;112;256;376;256;45;-;"";"";"";"";"";"";""
1;Tuberkulosa ústrojí dıchacího (z povolání);3;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;"";"";"";"";"";"";""
2;Tuberkulosa plic;744;-;2;-;-;-;-;6;31;40;64;156;249;167;29;-;"";"";"";"";"";"";""
3;Tuberkuloda pohrudnice;6;-;-;-;-;-;-;-;-;-;-;1;4;1;-;-;"";"";"";"";"";"";""
4;Primární tuberkulosní komplex;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
5;Tuberkulosa prùdušnicovıch a prùduškovıch uzlin;12;-;-;-;-;-;-;-;-;1;-;1;4;6;-;-;"";"";"";"";"";"";""
6;Roentgenologickı nález podezøelı z aktivní tuberkulosy dıchacího ústrojí;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
7;Ostatní tuberkulosa dıchacího ústrojí;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
8;Tuberkulosa neoznaèeného umístìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
10;Tuberkulosa mozkomíšních plen a centrálního nervstva;11;1;-;1;-;-;-;1;-;1;1;2;3;1;-;-;"";"";"";"";"";"";""
11;Tuberkulosa støev, pobøišnice a uzlin okruí;12;-;-;-;-;-;-;1;-;1;-;3;3;4;-;-;"";"";"";"";"";"";""
12;Tuberkulosa kostí a kloubù, aktivní nebo blíe neurèená;57;-;-;-;-;-;1;-;-;2;5;5;17;20;7;-;"";"";"";"";"";"";""
13;Pozdní následky tuberkulosy kostí a kloubù;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;"";"";"";"";"";"";""
14;Tuberkulosa kùe a podkoního vaziva;4;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;"";"";"";"";"";"";""
15;Tuberkulosa soustavy mízní;14;-;-;-;-;-;1;-;-;-;-;2;7;4;-;-;"";"";"";"";"";"";""
16;Tuberkulosa ústrojí moèového a pohlavního;9;-;-;-;-;-;-;-;3;1;1;1;1;1;1;-;"";"";"";"";"";"";""
17;Tuberkulosa nadledvinek;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
18;Tuberkulosa jinıch orgánù;6;-;-;-;-;-;-;-;-;1;-;-;4;1;-;-;"";"";"";"";"";"";""
19;Tuberkulosa nìkolika orgánù;4;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;"";"";"";"";"";"";""
20;Pøíjice vrozená;3;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;"";"";"";"";"";"";""
