1923	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	71480	18483	3208	699	981	1873	4300	3432	12569	21344	4557	34
													
I	Nemoci epidemické a endemické	1650	489	453	84	73	78	111	63	167	115	16	1
1a	Tyf støevní	190	-	2	9	11	42	58	19	37	12	-	-
1b	Paratyfy	3	-	1	-	-	-	-	-	2	-	-	-
2	Tyf skvrnitı	1	1	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	13	-	1	-	-	-	2	3	7	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	2	1	1	-	-	-	-	-	-	-	-	-
7	Spalnièky	202	102	86	6	8	-	-	-	-	-	-	-
8	Spála	252	24	160	38	23	3	1	2	-	1	-	-
9	Zajíkavı kašel	278	202	73	3	-	-	-	-	-	-	-	-
10	Záškrt	131	31	84	11	1	2	1	-	1	-	-	-
11a	Chøipka s plicními komplikacemi	69	21	3	1	2	-	2	-	23	13	4	-
11b	Chøipka bez komplikací plic	213	41	23	-	12	11	11	19	39	51	6	-
13	Zánìt pøíušnic	-	-	-	-	-	-	-	-	-	-	-	-
15	Choleroidní zánìt støev	5	1	1	1	1	-	1	-	-	-	-	-
16	Úplavice	30	-	7	3	2	2	2	2	4	5	2	1
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Rùe	130	59	1	-	3	-	5	8	23	27	4	-
22	Prudkı zánìt pøedních rohù míšních	7	-	-	1	-	2	1	-	2	1	-	-
23	Lethargùv zánìt støev	83	1	7	8	6	10	12	10	25	4	-	-
24	Epidemické ztrnutí šíje	41	5	3	3	4	6	15	-	4	1	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekèní	10284	794	509	224	323	818	2192	1442	2710	1239	31	2
26	Ozhøivka	2	-	-	-	-	-	1	-	-	1	-	-
27	Uhlák a snì slezinná	1	-	-	-	-	-	-	-	-	1	-	-
28	Vzteklina	14	-	1	1	-	2	3	2	4	1	-	-
29	Ztrnutí ranné	221	78	17	22	34	11	18	8	17	14	2	-
30	Mykosy	7	-	-	-	-	1	-	1	4	1	-	-
31	Tuberkulosa ústrojí dıchacího	7978	282	214	70	154	662	1958	1281	2328	1009	19	1
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	560	99	192	78	46	43	38	23	31	10	-	-
33	Tuberkulosa støev neb pobøišnice 	185	12	19	8	10	11	24	23	44	34	-	-
34	Tuberkulosa obratlù	62	2	3	8	4	3	12	9	17	4	-	-
35	Tuberkulosa kloubù	50	1	4	2	4	5	6	6	12	9	1	-
36a	Tuberkulosa kùe nebo podkoního vaziva	31	5	5	3	5	4	3	1	3	2	-	-
36b	Tuberkulosa kostí	216	7	9	9	18	20	35	20	40	55	3	-
36c	Tuberkulosa lymfatického systému	26	5	3	2	1	-	5	3	4	3	-	-
36d	Tuberkulosa ústrojí urogenitálního	11	-	-	-	-	3	1	-	5	2	-	-
36	Tuberkulosa jinıch orgánù	23	2	2	-	3	-	4	1	7	4	-	-
37a	Tuberkulosa prudká	63	8	12	3	9	11	20	-	-	-	-	-
37b	Tuberkulosa vleklá	3	1	-	-	-	-	-	-	2	-	-	-
37c	Tuberkulosa bez blišího oznaèení	62	-	1	-	-	-	9	16	27	9	-	-
38	Pøíjice	185	103	4	-	-	1	7	15	45	9	-	1
40	Kapavka	2	1	-	-	-	-	1	-	-	-	-	-
41	Otrava krve	578	187	22	18	34	41	47	33	120	70	6	-
42	Ostatní nemoci a infekèní	4	1	1	-	1	-	-	-	-	1	-	-
													
RA		5379	17	19	5	17	28	54	129	1905	3091	112	2
KR		115	14	15	1	2	0	6	11	42	23	1	0
EN		772	183	90	13	24	28	49	45	141	191	8	0
DU		232	0	0	2	1	6	13	16	121	72	1	0
III	Celkové nemoci vıše nejmenované	6488	218	127	21	45	59	118	199	2207	3370	122	2
43	Rakovina neb jiné zhoubné nádory dutiny ústní	112	-	-	-	-	-	2	3	40	63	4	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3469	5	1	1	-	2	14	56	1243	2078	67	2
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	605	5	2	-	1	2	6	18	204	355	12	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kùe	51	-	-	-	1	1	1	-	12	32	4	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1040	4	6	1	8	14	20	41	377	545	24	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	20	-	1	1	1	2	2	1	6	5	1	-
51	Prudkı horeèatı hostec kloubní	26	-	1	2	9	4	4	2	3	1	-	-
52	Vleklı hostec, dna	126	-	1	2	3	7	12	14	30	50	7	-
53	Kurdìje	5	-	-	-	-	-	-	-	3	2	-	-
56	Køivice	239	147	85	4	3	-	-	-	-	-	-	-
57	Cukrovka	309	1	1	4	7	16	30	25	92	133	-	-
58a	Nedokrevnost zhoubná	92	11	9	-	2	-	6	7	39	17	1	-
58b	Jiné nedokrevnosti a blednièka	13	2	3	1	-	-	-	2	2	3	-	-
59	Nemoci hypophysy	1	-	-	-	-	-	-	-	1	-	-	-
60a	Basedowova nemoc	14	-	-	-	1	1	2	1	6	3	-	-
60b	Jiná onemocnìní štítné lázy	3	-	-	-	-	-	-	1	1	1	-	-
61	Nemoci lázek pøištítnıch	29	28	1	-	-	-	-	-	-	-	-	-
62	Nemoci brzlíku	9	7	1	-	1	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	11	-	-	1	-	-	1	2	5	1	1	-
64	Nemoci sleziny	10	1	3	-	-	-	-	2	1	3	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	82	3	9	2	6	7	9	10	23	13	-	-
66	Alkoholismus	188	-	-	-	-	-	8	13	108	59	-	-
67	Vleklé otravy nerostnımi látkami	-	-	-	-	-	-	-	-	-	-	-	-
68	Vleklé otravy ústrojnımi látkami	4	1	-	-	-	-	-	-	3	-	-	-
69	Ostatní celkové nemoci	30	3	3	2	2	3	1	1	8	6	1	-
													
IV	Choroby systému nervového a smyslovıch orgánù	8702	3238	481	97	134	129	229	322	1503	2309	258	2
70	Zánìt mozku	196	28	23	9	9	15	17	19	51	23	2	-
71	Zánìt mozkovıch blan	912	239	231	64	76	57	82	35	91	36	1	-
72	Úbytì míchy	135	-	-	-	-	-	-	11	76	47	1	-
73	Jiné choroby míchy	212	-	10	1	4	6	16	20	86	68	1	-
74a	Vılev krevní do mozku	2986	-	-	1	5	3	20	74	773	1881	227	2
74b	Záha il mozkovıch	55	2	-	-	1	2	4	5	17	22	2	-
75a	Jednostranná obrna tìla	68	-	-	1	-	-	3	6	16	40	2	-
75b	Paralysis progressiva	163	-	-	-	-	-	2	29	102	26	4	-
75c	Jiné obrny	42	-	-	-	-	1	1	5	23	10	2	-
76	Ochrnutí spojené s duševní chorobou	2	-	-	-	-	-	-	-	1	1	-	-
77	Jiné duševní choroby	42	-	-	2	1	6	5	3	12	12	1	-
78	Padoucnice	175	10	3	6	18	17	37	30	36	18	-	-
79	Boec nepuerperální	15	-	-	5	4	-	1	-	3	2	-	-
80	Køeèe u dìtí	3129	2938	191	-	-	-	-	-	-	-	-	-
81	Posunèina	2	1	1	-	-	-	-	-	-	-	-	-
82b	Zánìt nervù	8	1	-	-	1	1	-	-	3	1	1	-
83	Zmìknutí mozku	86	-	-	-	-	1	1	1	30	49	4	-
84	Ostatní choroby systému nervového	427	9	17	7	9	15	34	82	177	67	10	-
86	Choroby ucha nebo dutin mastoideu	47	10	5	1	6	5	6	2	6	6	-	-
													
V	Choroby obìhu krevního	7699	121	44	36	77	155	267	359	2169	4068	402	1
87	Zánìt osrdce	25	-	-	3	1	2	3	2	5	8	1	-
