1945	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	68294	10242	1682	1762	5087	4293	6265	7325	9055	11375	10957	251
													
I	Nemoci nakalivé a cizopasné	9730	665	569	291	1403	989	1476	1757	1466	861	234	19
1	Tyf bøišní	494	2	9	23	167	81	112	55	35	8	2	-
2	Paratyf	12	-	1	1	2	-	3	4	-	1	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	34	10	7	3	4	1	2	3	3	1	-	-
7	Uhlák	1	-	-	-	-	-	-	-	-	1	-	-
8	Spála	51	2	33	8	4	3	-	-	1	-	-	-
9	Kašel zádušnı	110	91	15	-	1	-	-	2	-	1	-	-
10	Záškrt	547	103	300	65	46	17	4	7	3	2	-	-
11	Rùe	169	45	1	-	4	3	12	25	31	27	21	-
12	Ztrnutí (tetanus)	133	29	5	20	13	11	15	10	12	15	2	1
13	Tuberkulosa ústrojí dıchacího	6174	48	43	58	984	760	1090	1340	1100	611	126	14
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	205	32	74	47	28	6	7	4	3	3	1	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	3	-	-	2	1	-	-	-	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	22	1	-	2	5	2	4	2	4	2	-	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	31	-	-	2	9	3	7	7	1	1	1	-
16	Tuberkulosa páteøe	63	-	1	3	15	5	4	11	15	6	3	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	98	-	2	10	11	13	7	7	18	20	10	-
18	Tuberkulosa kùe a podkoního vaziva	12	-	1	-	-	-	2	2	-	5	2	-
19	Tuberkulosa soustavy mízní	10	1	1	-	2	1	-	1	2	1	1	-
20	Tuberkulosa ústrojí moèového a pohlavního	14	-	-	-	1	2	2	5	3	1	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	1	-	-	-	-	-	1	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	4	-	-	-	-	-	-	-	-	3	1	-
22	Tuberkulosa miliární	44	5	3	5	15	3	5	4	2	2	-	-
24a	Otrava krve	274	127	6	14	23	10	19	25	22	19	8	1
24b	Snì plynová	2	-	1	-	-	1	-	-	-	-	-	-
25	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	80	8	12	4	3	2	9	14	9	9	9	1
28	Støídavka (malarie)	5	-	-	-	-	-	-	1	4	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	70	-	-	-	-	2	7	11	24	23	3	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	117	-	-	-	1	7	25	41	30	11	2	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	96	-	-	-	-	-	11	15	30	30	9	1
30d	Pøíjice: pøíjice vrozená	21	21	-	-	-	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	113	-	-	-	2	2	16	37	35	14	7	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	-	-	-	-	-	-	-	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	1	-	-	-	-	-	1	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	104	64	3	2	2	1	-	2	6	12	12	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	82	42	8	2	2	1	1	5	2	5	14	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	75	33	35	5	-	-	-	-	-	1	-	1
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	58	1	8	12	19	8	6	3	1	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
