2001;Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1993);Název;Celkem;0;1;2;3;4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85+
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH EN;53 983;148;13;11;8;7;32;44;95;130;152;153;258;485;923;1 553;2 033;2 324;3 794;6 706;10 846;8 425;15 843
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nìkteré infekèní a parazitární nemoci;153;-;1;-;1;-;-;1;1;1;-;-;2;3;7;4;9;11;10;34;27;13;28
A02;Jiné infekce zpùsobené salmonelami;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;1
A03;Shigellosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A04;Jiné bakteriální støevní infekce;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-
A05;"Jiné bakteriální otravy (intoxikace) ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A06;Amoebiasis - amébóza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A08;Virové a jiné specifikované støevní infekce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A09;Prùjem-diarrhoea a gastroenteritida pøedpokládaného infekèního pùvodu;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A15;"TBC dıchacího ústrojí bakteriologicky
a histologicky ovìøená ";15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;1;2;6
A16;"TBC dıchacího ústrojí bakteriologicky 
a histologicky neovìøená ";11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;3;3;-;1
A17;Tuberkulóza nervové soustavy;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
A18;TBC jinıch orgánù;5;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;2
A19;Miliární tuberkulóza;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-
A20;Mor-pestis;" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -";" -"
A21;Tularémie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A23;Brucellosis - vlnivá horeèka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A24;"Malleus - vozhøivka a pseudomalleus 
- meliodosis";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-
A26;Erysipeloid;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A27;Leptospiróza;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A31;Nemoci zpùsobené jinımi mykobakteriemi;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
A32;Listerióza - listeriosis;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
A33;Tetanus novorozencù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A35;Tetanus jinı;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-
A39;Meningokokové infekce;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A40;Streptokoková septikémie;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A41;Jiná septikémie;75;-;-;-;-;-;-;-;-;-;-;-;1;2;3;3;5;6;4;15;16;6;14
A42;Aktinomykóza - actinomycosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
