1929	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH EN	76472	11403	2525	1940	3718	6507	4611	12938	32830	-
											
I	Nemoci epidemické a endemické	2909	440	562	621	188	205	116	264	513	-
1a	Tyf støevní	277	1	4	30	80	79	23	46	14	-
1b	Paratyfy	12	-	-	-	5	1	2	3	1	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	-	-	-	-	-	-	-	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	146	61	73	11	-	1	-	-	-	-
8	Spála	193	12	77	78	12	14	-	-	-	-
9	Zajíkavı kašel	157	106	45	4	-	1	-	1	-	-
10	Záškrt	762	38	259	442	13	4	1	4	1	-
11a	Chøipka s plicními komplikacemi	623	106	54	19	14	37	34	105	254	-
11b	Chøipka bez komplikací plic	336	34	29	11	16	27	19	39	161	-
13	Zánìt pøíušnic	8	-	1	1	1	-	2	2	1	-
15	Choleroidní zánìt støev	4	1	-	-	2	-	-	1	-	-
16	Úplavice	11	-	-	1	1	1	-	1	7	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-
21	Rùe	236	67	8	4	6	15	21	47	68	-
22	Prudkı zánìt pøedních rohù míšních	12	1	4	4	1	-	-	1	1	-
23	Lethargùv zánìt støev	79	-	2	6	23	21	12	11	4	-
24	Epidemické ztrnutí šíje	41	3	5	9	14	4	2	3	1	-
25	Ostatní nemoci epidemické	12	10	1	1	-	-	-	-	-	-
											
II	Nemoci infekèní	8998	398	358	425	1942	2658	996	1440	781	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	2	-	-	-	-	1	-	-	1	-
28	Vzteklina	2	-	1	-	-	1	-	-	-	-
29	Ztrnutí ranné	98	23	4	14	8	18	7	14	10	-
30	Mykosy	3	-	-	-	1	2	-	-	-	-
31	Tuberkulosa ústrojí dıchacího	7390	103	124	229	1786	2467	869	1219	593	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	460	68	165	130	51	28	7	9	2	-
33	Tuberkulosa støev neb pobøišnice 	152	8	11	15	27	33	24	26	8	-
34	Tuberkulosa obratlù	87	-	4	2	8	12	7	29	25	-
35	Tuberkulosa kloubù	67	2	2	5	4	2	5	17	30	-
36a	Tuberkulosa kùe nebo podkoního vaziva	13	-	-	-	1	2	5	-	5	-
36b	Tuberkulosa kostí	140	4	3	7	5	4	9	49	59	-
36c	Tuberkulosa lymfatického systému	26	3	6	2	-	3	1	6	5	-
36d	Tuberkulosa ústrojí urogenitálního	16	-	-	2	2	4	3	5	-	-
36	Tuberkulosa jinıch orgánù	9	1	2	-	1	1	1	2	1	-
37a	Tuberkulosa prudká	66	12	15	14	19	6	-	-	-	-
37b	Tuberkulosa vleklá	2	-	-	-	-	1	-	1	-	-
37c	Tuberkulosa bez blišího oznaèení	37	-	-	-	-	15	8	9	5	-
38	Pøíjice	150	70	6	1	7	17	19	21	9	-
40	Kapavka	3	2	-	-	-	1	-	-	-	-
41	Otrava krve	275	102	15	4	22	40	31	33	28	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		7577	13	17	16	61	439	867	2815	3349	0
KR		194	5	9	2	13	30	34	56	45	0
EN		998	97	38	28	39	72	73	296	355	0
DU		121	0	0	2	5	12	15	43	44	0
III	Celkové nemoci vıše nejmenované	8831	122	66	48	120	546	980	3187	3762	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	38	-	-	-	-	1	4	6	27	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3579	-	-	1	6	80	249	1329	1914	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	844	1	2	3	9	53	66	301	409	-
46	Rakovina neb jiné zhoubné nádory rodidel	1507	-	-	-	16	167	319	642	363	x
47	Rakovina neb jiné zhoubné nádory prsu	489	-	-	-	2	39	105	184	159	-
48	Rakovina neb jiné zhoubné nádory kùe	92	-	-	-	1	3	4	15	69	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	769	4	6	2	16	63	83	267	328	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	157	5	4	2	6	15	25	37	63	-
51	Prudkı horeèatı hostec kloubní	33	2	3	10	7	9	-	1	1	-
52	Vleklı hostec, dna	194	-	-	-	1	2	14	43	134	-
53	Kurdìje	1	-	-	-	1	-	-	-	-	-
56	Køivice	81	51	29	1	-	-	-	-	-	-
57	Cukrovka	502	-	1	11	21	32	39	201	197	-
59	Nedokrevnost zhoubná	162	-	8	1	12	25	27	49	40	-
58a	Jiné nedokrevnosti a blednièka	24	4	-	1	1	4	7	4	3	-
58b	Nemoci hypophysy	3	-	-	-	-	-	-	2	1	-
60a	Basedowova nemoc	99	-	-	-	3	20	18	41	17	-
60b	Jiná onemocnìní štítné lázy	24	-	1	5	3	3	1	7	4	-
61	Nemoci lázek pøištítnıch	32	27	2	-	-	1	1	1	-	-
62	Nemoci brzlíku	21	17	2	1	1	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	8	-	-	-	2	5	-	-	1	-
64	Nemoci sleziny	8	1	1	-	-	1	-	3	2	-
65	Bìlokrevnost neb Hodgkinova nemoc	102	3	5	8	5	18	12	34	17	-
66	Alkoholismus	25	-	-	-	-	-	3	16	6	-
67	Vleklé otravy nerostnımi látkami	-	-	-	-	-	-	-	-	-	-
68	Vleklé otravy ústrojnımi látkami	-	-	-	-	-	-	-	-	-	-
69	Ostatní celkové nemoci	37	7	2	2	7	5	3	4	7	-
											
IV	Choroby systému nervového a smyslovıch orgánù	7024	1223	218	139	133	340	401	1367	3203	-
70	Zánìt mozku	73	5	11	6	15	18	7	5	6	-
71	Zánìt mozkovıch blan	411	100	109	83	37	33	18	23	8	-
72	Úbytì míchy	116	-	-	-	1	11	22	52	30	-
73	Jiné choroby míchy	225	-	3	6	13	32	40	70	61	-
74a	Vılev krevní do mozku	3879	-	2	1	9	50	162	954	2701	-
74b	Záha il mozkovıch	39	-	-	-	2	7	4	8	18	-
75a	Jednostranná obrna tìla	169	-	1	1	-	4	11	34	118	-
75b	Paralysis progressiva	155	-	-	-	-	42	34	51	28	-
75c	Jiné obrny	68	-	3	2	1	7	5	17	33	-
76	Ochrnutí spojené s duševní chorobou	2	-	-	-	-	-	-	-	2	-
77	Jiné duševní choroby	94	-	-	2	5	12	12	27	36	-
78	Padoucnice	127	1	4	5	22	47	22	13	13	-
79	Boec nepuerperální	12	-	-	3	3	4	1	-	1	-
80	Køeèe u dìtí	1165	1099	66	-	-	-	-	-	-	-
81	Posunèina	1	-	-	-	-	-	1	-	-	-
82b	Zánìt nervù	21	-	-	1	-	2	4	7	7	-
83	Zmìknutí mozku	87	-	-	-	-	3	5	20	59	-
84	Ostatní choroby systému nervového	299	7	8	16	13	57	51	75	72	-
86	Choroby ucha nebo dutin mastoideu	81	11	11	13	12	11	2	11	10	-
											
V	Choroby obìhu krevního	13834	55	41	151	248	607	913	3450	8369	-
87	Zánìt osrdce	18	-	-	3	-	3	-	3	9	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	163	3	6	22	34	57	37	2	2	-
89	Srdeèní angina	136	-	-	-	-	3	8	37	88	-
90	Jiné nemoci srdce	11218	37	33	125	205	509	807	3075	6427	-
91a	Vıdu	52	-	-	-	2	4	4	24	18	-
91b	Zkornatìní a jiné choroby tepen	2009	-	-	-	-	5	15	234	1755	-
92	Záha (nikoliv mozkovı)	133	-	-	1	3	15	25	45	44	-
93	Choroby il	79	2	-	-	4	10	15	28	20	-
94	Choroby systému mízního	21	13	2	-	-	-	1	2	3	-
95	Ostatní choroby obìhu krevního	5	-	-	-	-	1	1	-	3	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-
											
VI	Choroby ústrojí dıchacího	9693	2392	736	171	155	362	295	1307	4275	-
97	Choroby dutin nosních a jejich adnex	5	-	2	1	-	-	1	-	1	-
98	Choroby hrtanu	28	12	9	-	1	1	-	2	3	-
99a	Zánìt prùdušek prudkı	372	281	16	3	-	1	4	7	60	-
99b	Zánìt prùdušek vleklı	406	22	10	2	2	3	6	58	303	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	253	193	60	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	525	-	-	10	2	5	9	66	433	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	2245	959	271	32	22	58	47	180	676	-
101a	Zánìt plic lalokovı	1085	155	66	27	31	83	60	239	424	-
101b	Zánìt plic bez blišího oznaèení	3160	739	265	85	63	157	122	456	1273	-
102	Zánìt pohrudnice	330	16	34	10	27	30	24	68	121	-
103	Pøekrvení nebo krvácení parenchymatosní plic	177	5	2	-	3	3	5	22	137	-
104	Snì plicní	33	-	-	1	3	6	2	12	9	-
105	Záducha	206	3	-	-	-	5	6	50	142	-
106	Rozedma plic	817	-	-	-	1	3	3	137	673	-
107	Ostatní choroby ústrojí dıchacího	51	7	1	-	-	7	6	10	20	-
											
VII	Choroby ústrojí zaívacího	5691	3024	282	180	160	369	239	614	823	-
