1924	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	73522	17850	3328	636	955	1729	4357	3540	13201	22847	5052	27
													
I	Nemoci epidemické a endemické	1519	439	433	74	44	77	122	52	163	107	8	-
1a	Tyf støevní	196	1	4	5	7	44	63	15	44	13	-	-
1b	Paratyfy	8	-	-	-	2	-	1	2	3	-	-	-
2	Tyf skvrnitı	1	-	-	-	1	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	9	-	-	-	-	-	1	1	7	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	3	3	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	278	114	146	11	4	2	1	-	-	-	-	-
8	Spála	180	15	108	33	17	6	-	-	-	1	-	-
9	Zajíkavı kašel	207	151	53	1	1	-	1	-	-	-	-	-
10	Záškrt	127	27	79	15	4	2	-	-	-	-	-	-
11a	Chøipka s plicními komplikacemi	59	11	7	-	1	3	3	4	12	16	2	-
11b	Chøipka bez komplikací plic	141	37	16	1	3	3	6	8	30	33	4	-
13	Zánìt pøíušnic	1	1	-	-	-	-	-	-	-	-	-	-
15	Choleroidní zánìt støev	4	1	-	-	-	-	1	-	1	1	-	-
16	Úplavice	16	-	4	1	2	-	1	1	5	2	-	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Rùe	170	66	8	4	1	3	14	5	29	38	2	-
22	Prudkı zánìt pøedních rohù míšních	3	1	-	-	-	1	-	-	-	1	-	-
23	Lethargùv zánìt støev	91	7	3	3	1	9	20	15	31	2	-	-
24	Epidemické ztrnutí šíje	25	4	5	-	-	4	10	1	1	-	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekèní	10368	767	507	179	333	751	2109	1504	2871	1315	30	2
26	Ozhøivka	2	-	-	-	-	-	-	1	1	-	-	-
27	Uhlák a snì slezinná	1	-	-	1	-	-	-	-	-	-	-	-
28	Vzteklina	12	-	2	2	1	-	2	3	1	1	-	-
29	Ztrnutí ranné	183	58	14	22	23	13	10	9	14	20	-	-
30	Mykosy	1	-	-	-	-	-	-	-	1	-	-	-
31	Tuberkulosa ústrojí dıchacího	7991	252	205	63	146	588	1870	1331	2475	1040	20	1
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	524	87	188	47	45	32	46	25	47	7	-	-
33	Tuberkulosa støev neb pobøišnice 	192	15	18	7	12	17	26	19	54	23	1	-
34	Tuberkulosa obratlù	69	1	5	1	5	6	9	7	25	10	-	-
35	Tuberkulosa kloubù	35	2	2	2	3	3	4	1	8	10	-	-
36a	Tuberkulosa kùe nebo podkoního vaziva	42	18	7	3	-	3	1	3	2	5	-	-
36b	Tuberkulosa kostí	206	-	13	7	29	16	27	15	38	58	3	-
36c	Tuberkulosa lymfatického systému	30	6	7	-	2	2	3	1	4	5	-	-
36d	Tuberkulosa ústrojí urogenitálního	18	-	-	-	-	1	6	4	5	2	-	-
36	Tuberkulosa jinıch orgánù	18	1	-	1	-	2	1	4	5	4	-	-
37a	Tuberkulosa prudká	65	7	14	3	8	16	16	-	1	-	-	-
37b	Tuberkulosa vleklá	-	-	-	-	-	-	-	-	-	-	-	-
37c	Tuberkulosa bez blišího oznaèení	80	-	1	-	3	2	22	13	36	3	-	-
38	Pøíjice	193	115	3	-	3	1	8	14	38	11	-	-
40	Kapavka	2	1	-	1	-	-	-	-	-	-	-	-
41	Otrava krve	703	203	28	19	53	49	58	54	116	116	6	1
42	Ostatní nemoci a infekèní	1	1	-	-	-	-	-	-	-	-	-	-
													
RA		5755	8	18	9	9	14	58	123	1982	3359	175	0
KR		125	9	15	2	2	2	7	6	56	26	0	0
EN		935	247	138	13	23	25	44	35	156	246	8	0
DU		220	0	0	0	1	3	6	20	114	69	7	0
III	Celkové nemoci vıše nejmenované	7013	267	172	26	35	43	113	186	2305	3682	184	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	89	-	-	-	-	-	-	3	28	50	8	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3752	2	1	-	1	2	13	63	1323	2248	99	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	673	3	2	-	-	1	7	18	218	403	21	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kùe	67	-	-	-	-	-	-	1	12	48	6	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1080	1	7	5	5	7	25	33	372	585	40	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	24	1	2	1	2	1	3	1	5	7	1	-
51	Prudkı horeèatı hostec kloubní	16	-	1	2	8	-	1	1	1	2	-	-
52	Vleklı hostec, dna	113	-	2	3	2	8	9	4	30	53	2	-
53	Kurdìje	4	-	-	-	-	1	-	-	2	1	-	-
56	Køivice	292	171	118	3	-	-	-	-	-	-	-	-
57	Cukrovka	380	-	8	5	12	13	27	27	106	176	6	-
58a	Nedokrevnost zhoubná	96	7	10	2	2	1	5	4	44	21	-	-
58b	Jiné nedokrevnosti a blednièka	20	1	3	-	-	-	2	1	9	4	-	-
59	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	32	1	-	-	1	3	4	2	12	9	-	-
60b	Jiná onemocnìní štítné lázy	7	5	1	-	-	-	-	-	1	-	-	-
61	Nemoci lázek pøištítnıch	57	54	3	-	-	-	-	-	-	-	-	-
62	Nemoci brzlíku	20	16	4	-	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	14	-	1	-	-	-	3	1	4	5	-	-
64	Nemoci sleziny	9	1	2	-	-	1	-	1	3	1	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	70	1	6	3	1	3	10	4	24	18	-	-
66	Alkoholismus	176	-	-	-	-	-	2	19	105	49	1	-
67	Vleklé otravy nerostnımi látkami	3	-	-	-	-	-	-	-	2	1	-	-
68	Vleklé otravy ústrojnımi látkami	-	-	-	-	-	-	-	-	-	-	-	-
69	Ostatní celkové nemoci	19	3	1	2	1	2	2	3	4	1	-	-
													
IV	Choroby systému nervového a smyslovıch orgánù	8542	3000	496	86	119	112	266	272	1437	2459	295	-
70	Zánìt mozku	183	25	23	12	16	13	21	13	38	22	-	-
71	Zánìt mozkovıch blan	904	267	287	56	62	34	65	31	69	33	-	-
72	Úbytì míchy	165	-	-	-	2	1	3	7	91	60	1	-
73	Jiné choroby míchy	200	2	4	-	4	13	19	17	71	69	1	-
74a	Vılev krevní do mozku	3079	-	-	-	-	1	42	58	732	1978	268	-
74b	Záha il mozkovıch	47	-	-	-	-	1	4	4	19	15	4	-
75a	Jednostranná obrna tìla	72	-	-	-	-	-	-	1	20	50	1	-
75b	Paralysis progressiva	174	-	-	-	-	-	1	32	106	30	5	-
75c	Jiné obrny	51	-	-	-	-	1	4	8	25	12	1	-
76	Ochrnutí spojené s duševní chorobou	-	-	-	-	-	-	-	-	-	-	-	-
77	Jiné duševní choroby	44	-	-	-	1	3	4	1	9	20	6	-
78	Padoucnice	195	7	7	5	14	17	58	24	34	29	-	-
79	Boec nepuerperální	11	-	-	4	1	1	-	1	2	1	1	-
80	Køeèe u dìtí	2834	2677	157	-	-	-	-	-	-	-	-	-
81	Posunèina	2	-	-	-	1	-	-	1	-	-	-	-
82b	Zánìt nervù	12	-	-	-	-	1	1	-	7	3	-	-
83	Zmìknutí mozku	97	-	-	-	-	2	5	6	29	51	4	-
84	Ostatní choroby systému nervového	432	16	15	9	11	15	35	65	177	86	3	-
86	Choroby ucha nebo dutin mastoideu	40	6	3	-	7	9	4	3	8	-	-	-
													
V	Choroby obìhu krevního	8666	132	57	47	108	136	296	394	2321	4699	475	1
87	Zánìt osrdce	27	-	2	1	1	1	6	3	6	6	1	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1506	5	9	13	14	22	59	59	396	826	103	-
89	Srdeèní angina	31	-	-	-	1	-	-	1	13	16	-	-
90	Jiné nemoci srdce	4300	115	43	32	89	106	219	303	1442	1811	140	-
91a	Vıdu	124	-	-	-	-	1	3	8	76	36	-	-
91b	Zkornatìní a jiné choroby tepen	2564	-	-	-	-	1	3	9	358	1962	230	1
92	Záha (nikoliv mozkovı)	49	2	-	-	1	1	1	7	16	21	-	-
93	Choroby il	21	1	-	-	1	-	-	1	6	11	1	-
94	Choroby systému mízního	16	6	1	-	-	2	2	-	-	5	-	-
95	Ostatní choroby obìhu krevního	28	3	2	1	1	2	3	3	8	5	-	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	9613	3139	928	69	54	103	178	225	1370	3212	335	-
97	Choroby dutin nosních a jejich adnex	-	-	-	-	-	-	-	-	-	-	-	-
98	Choroby hrtanu	30	18	7	3	-	-	-	-	1	1	-	-
99a	Zánìt prùdušek prudkı	976	835	91	-	-	-	3	2	10	28	7	-
99b	Zánìt prùdušek vleklı	127	24	8	1	-	1	3	2	17	67	4	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	126	54	72	-	-	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	160	-	-	9	-	1	2	6	34	87	21	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1013	557	153	7	8	4	20	12	66	156	30	-
101a	Zánìt plic lalokovı	344	66	28	7	2	8	19	13	70	117	14	-
101b	Zánìt plic bez blišího oznaèení	4329	1527	537	35	35	67	90	125	602	1163	148	-
102	Zánìt pohrudnice	390	26	21	6	5	13	31	25	120	133	10	-
103	Pøekrvení nebo krvácení parenchymatosní plic	153	17	4	-	1	4	4	2	42	68	11	-
104	Snì plicní	56	-	-	-	-	-	-	6	32	16	2	-
105	Záducha	282	-	-	-	-	-	2	1	68	199	12	-
106	Rozedma plic	1533	3	4	-	1	1	1	23	289	1136	75	-
107	Ostatní choroby ústrojí dıchacího	94	12	3	1	2	4	3	8	19	41	1	-
													
VII	Choroby ústrojí zaívacího	6740	4183	358	46	74	98	182	217	783	750	48	1
108b	Choroby ústní dutiny a jejich adnex	19	17	1	-	1	-	-	-	-	-	-	-
109	Choroby hltanu nebo mandlí	41	6	13	3	2	-	4	1	5	6	1	-
110	Choroby jícnu	4	-	1	-	-	-	-	-	2	1	-	-
111a	Vøed aludeèní	310	2	1	-	4	4	21	56	152	68	2	-
111b	Vøed dvanácterníku	33	-	-	-	1	1	6	8	12	4	1	-
112	Jiné choroby aludeèní	39	1	-	-	-	-	5	3	9	21	-	-
113	Prùjem a zánìt støev (pod 2 roky)	4315	4099	216	-	-	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	245	-	69	8	13	5	9	10	39	87	5	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	201	1	15	14	18	30	35	21	43	23	1	-
118a	Kıla 	197	11	8	3	1	3	10	7	60	83	11	-
118b	Záha støevní	275	12	10	4	3	7	13	10	73	127	15	1
119b	Jiné choroby støev	34	1	1	-	-	2	3	4	8	14	1	-
120	Prudká atrofie jater	1	-	-	-	-	-	-	-	-	1	-	-
121	Hydativní nádor jater	1	-	-	-	-	-	-	-	-	1	-	-
122a	Svraštìní jater alkoholické	2	-	-	-	-	-	-	-	1	1	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	254	-	-	1	-	-	4	11	131	105	2	-
123	luèové kaménky	50	-	-	-	-	-	2	4	19	22	3	-
124	Jiné choroby jater	204	7	4	1	2	3	8	9	82	85	3	-
125	Choroby mikteru	8	-	-	-	-	-	-	4	3	1	-	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	507	26	19	12	29	43	62	69	144	100	3	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1927	25	47	21	28	29	116	156	567	845	93	-
128	Prudkı zánìt ledvin	72	9	28	11	3	1	4	5	6	4	1	-
129	Vleklı zánìt ledvin	1316	13	16	10	24	27	102	137	489	471	27	-
130	Chylurie	1	1	-	-	-	-	-	-	-	-	-	-
131	Jiné choroby ledvin a jejich adnex	90	2	-	-	1	1	6	8	34	34	4	-
132	Moèové kaménky	8	-	2	-	-	-	-	-	2	3	1	-
133	Choroby mìchıøe	172	-	1	-	-	-	1	3	16	126	25	-
134	Choroby moèové roury	7	-	-	-	-	-	1	-	2	4	-	-
135	Choroby lázy pøedstojné	261	-	-	-	-	-	2	3	18	203	35	-
136	Nevenerické choroby muskıch pohlavních orgánù	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
137	Boubel a jiné nezhoubné nádory vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
138	Zánìt vejcovodu nebo vøed v pánvi	x	x	x	x	x	x	x	x	x	x	x	x
139	Nádory dìloní	x	x	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x	x	x
143b	Mimodìloní tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody tìhotenské	x	x	x	x	x	x	x	x	x	x	x	x
144	Krvácení tìhotnıch a v šestinedìlí	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146	Horeèka omladnic	x	x	x	x	x	x	x	x	x	x	x	x
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148	Albuminurie nebo boec v šestinedìlí	x	x	x	x	x	x	x	x	x	x	x	x
149	Následky porodu (bez blišího oznaèení)	x	x	x	x	x	x	x	x	x	x	x	x
150	Puerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
X	Choroby kùe a vaziva	475	332	6	2	3	3	3	7	32	72	15	-
151	Snì	77	3	-	1	-	1	-	2	10	47	13	-
152	Neit	188	177	3	1	-	-	-	2	2	3	-	-
153	Zánìt podkoního vaziva, horeènatı vøed	109	54	3	-	3	2	3	3	19	20	2	-
155	Ostatní choroby kùe neb jejich adnex	101	98	-	-	-	-	-	-	1	2	-	-
													
XI	Choroby kostí a ústrojí pohybového	67	3	7	7	10	12	7	3	4	13	1	-
156	Choroby kostí	58	2	7	7	10	8	5	3	3	12	1	-
157	Choroby kloubù	5	1	-	-	-	1	2	-	-	1	-	-
158	Ostatní choroby kostí nebo ústrojí pohybového	4	-	-	-	-	3	-	-	1	-	-	-
													
XII	Zrùdnost vrozená	129	123	6	-	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	129	123	6	-	-	-	-	-	-	-	-	-
													
XIII	Ranı vìk	5254	5254	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	3750	3750	-	-	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1454	1454	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	49	49	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péèe	1	1	-	-	-	-	-	-	-	-	-	-
													
XIV		8180	3	1	2	1	2	2	3	13	4653	3499	1
164	Stáøí	8158	-	-	-	-	-	-	-	7	4651	3499	1
													
XV	Zevní pøíèiny 	4265	57	231	70	131	354	934	496	1173	743	59	17
SE		2096	0	0	0	23	171	502	237	643	468	42	10
165	Sebevrada otravou jedy	72	-	-	-	-	8	26	11	16	11	-	-
166	Sebevrada otravou poitím íravin	7	-	-	-	-	1	-	-	3	3	-	-
167	Sebevrada vdechováním jedovatıch plynù	7	-	-	-	-	1	-	1	2	3	-	-
168	Sebevrada obìšením neb uškrcením	1112	-	-	-	17	66	162	112	391	331	29	4
169	Sebevrada utopením	155	-	-	-	-	17	24	17	57	30	6	4
170	Sebevrada zastøelením	531	-	-	-	4	51	223	68	118	64	2	1
171	Sebevrada nástroji øeznımi neb bodnımi	31	-	-	-	-	-	3	3	14	10	1	-
172	Sebevrada skokem s vıše	7	-	-	-	-	-	2	1	2	2	-	-
173	Sebevrada rozdrcením	94	-	-	-	2	16	37	15	20	2	2	-
174	Sebevrada jinım zpùsobem	80	-	-	-	-	11	25	9	20	12	2	1
175	Otrava potravinami	23	16	1	1	1	-	-	1	2	1	-	-
176	Uštknutí neb štípnutí	1	-	-	1	-	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	23	1	3	-	1	-	3	-	12	3	-	-
178	Úraz pøi poáru	2	-	-	-	-	1	1	-	-	-	-	-
179	Náhodné popálení (vyjma pøi poáru)	143	9	72	7	3	2	10	9	14	14	2	1
180	Náhodné mechanické udušení (vyjma pøi poáru)	56	6	8	-	3	3	9	6	13	7	1	-
181	Vdechování plynù nedıchatelnıch neb jedovatıch	39	2	7	-	-	-	8	6	10	5	1	-
182	Náhodné utopení	398	-	98	30	47	55	78	20	34	29	3	4
183	Poranìní støelnou zbraní	60	1	3	2	2	8	18	10	10	6	-	-
184	Poranìní nástroji øeznımi neb bodnımi	15	-	-	1	1	1	2	1	8	1	-	-
185	Poranìní pádem	90	-	2	1	3	6	28	11	24	14	1	-
186	Poranìní v dolech neb lomech	51	-	-	-	-	1	21	11	18	-	-	-
187	Poranìní stroji	10	-	-	-	-	2	3	1	3	1	-	-
188	Poranìním pohmodìním jiného druhu	842	6	28	22	35	56	172	129	256	129	7	2
189	Poranìní zpùsobená zvíøaty	14	-	1	-	1	1	4	2	4	1	-	-
190	Zranìní váleèná	-	-	-	-	-	-	-	-	-	-	-	-
192b	Hlad nebo ízeò	1	-	-	-	-	-	-	-	1	-	-	-
193	Pøílišnı chlad	53	-	-	-	1	2	5	6	27	12	-	-
194	Pøílišnı ár	2	-	-	-	-	-	1	-	1	-	-	-
195	Blesk	26	-	-	-	3	4	2	6	4	7	-	-
196	Jiné úrazy elektrickım proudem	70	-	1	2	4	22	19	11	7	4	-	-
NA		60	16	4	1	1	7	10	2	15	4	0	0
197	Zabití støelnou zbraní	12	-	2	-	-	1	5	1	2	1	-	-
198	Zabití nástroji øeznımi neb bodnımi	13	-	-	1	-	3	2	1	5	1	-	-
199	Zabití jinımi prostøedky	35	16	2	-	1	3	3	-	8	2	-	-
201c	Zlomeniny (bez blišího oznaèení)	190	-	3	2	2	12	38	27	67	37	2	-
202a	Ostatní násilná zevní poranìní	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé pøíèiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XVI	Nemoci špatnì definované	786	129	80	9	16	11	31	28	168	299	10	5
204	Náhlé úmrtí	-	-	-	-	-	-	-	-	-	-	-	-
205	Nemoci nespecifikované nebo špatnì definované	786	129	80	9	16	11	31	28	168	299	10	5
