1919	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH MUÙ	85973	15547	4359	2310	1501	3430	6487	5495	16018	25358	5328	140
													
I	Nemoci epidemické a  endemické	4728	645	833	506	203	321	552	462	701	474	28	3
1a	Tyf støevní	414	2	4	27	45	88	87	61	71	27	2	-
1b	Paratyfy	12	-	1	2	-	2	-	4	3	-	-	-
2	Tyf skvrnitı	132	-	-	1	-	-	47	52	28	4	-	-
3	Tyf zvratnı	3	-	-	-	-	-	2	1	-	-	-	-
5a	Malarie	147	-	-	-	-	3	68	49	27	-	-	-
5b	Malarická sešlost	14	-	-	-	-	-	7	5	2	-	-	-
6	Neštovice	716	139	180	154	39	32	33	34	76	27	1	1
7	Spalnièky	235	60	131	39	4	-	-	-	-	1	-	-
8	Spála	55	5	29	16	3	-	-	-	2	-	-	-
9	Zajíkavı kašel	356	228	121	4	1	-	-	-	1	1	-	-
10	Záškrt	349	40	201	87	13	5	-	1	1	-	1	-
11a	Chøipka s plicními komplikacemi	683	30	27	17	15	65	136	122	150	114	7	-
11b	Chøipka bez komplikací plic	894	83	68	56	26	81	101	82	204	181	10	2
13	Zánìt pøíušnic	1	1	-	-	-	-	-	-	-	-	-	-
15	Choleroidní zánìt støev	3	-	-	-	1	1	-	1	-	-	-	-
16	Úplavice	500	12	68	93	48	29	54	35	94	66	1	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Rùe	180	42	3	1	1	9	13	14	39	52	6	-
22	Prudkı zánìt pøedních rohù míšních	-	-	-	-	-	-	-	-	-	-	-	-
23	Lethargùv zánìt støev	-	-	-	-	-	-	-	-	-	-	-	-
24	Epidemické ztrnutí šíje	34	3	-	9	7	6	4	1	3	1	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci  infekèní	17064	595	717	649	513	1908	3636	2604	4558	1825	44	15
26	Ozhøivka	5	-	-	-	-	1	3	-	-	1	-	-
27	Uhlák a snì slezinná	2	-	-	-	-	-	-	-	1	1	-	-
28	Vzteklina	14	-	2	3	2	-	3	1	2	1	-	-
29	Ztrnutí ranné	190	73	4	24	17	12	10	9	30	11	-	-
30	Mykosy	6	-	-	-	-	-	1	-	3	2	-	-
31	Tuberkulosa ústrojí dıchacího	14526	312	454	362	297	1666	3368	2385	4085	1546	36	15
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	628	53	164	142	65	59	53	34	46	11	1	-
