1970;Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1966);Název;Celkem;0;1;2;3;4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85+
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH MUÙ;65 003;1 729;93;57;55;48;167;176;536;773;632;625;856;1 348;2 341;2 180;5 390;8 551;10 911;10 481;8 394;5 724;3 936
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nemoci infekèní a parazitární;701;16;2;3;1;-;2;-;2;3;2;5;10;20;38;32;67;81;131;120;104;46;16
0;Cholera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;Bøišní tyfus;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
2;Paratyfus;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-
3;Jiné infekce zpùsobené salmonelami;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-
4;Bacilární úplavice;4;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-
5;Alimentární intoxikace;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6;Úplavice amébová;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
7;Jiná støevní onemocnìní protozoární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
8;Støevní zánìt zpùsobenı jinım urèenım mikroorganismem;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
9;Prùjmová onemocnìní;13;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;-;-
10;Koniotuberkulóza;70;-;-;-;-;-;-;-;-;-;-;-;2;2;5;1;4;7;15;18;11;4;1
