1955	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	2107	94	26	28	32	17	81	87	147	150	259	268	348	429	141	-
																	
D1	Úrazy na železnicích	36	-	-	-	-	-	-	3	6	7	3	6	5	5	1	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	8	-	-	-	-	-	-	1	2	5	-	-	-	-	-	-
E801	Úrazy na železnicích postihující cestující	7	-	-	-	-	-	-	-	3	1	-	1	2	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	21	-	-	-	-	-	-	2	1	1	3	5	3	5	1	-
																	
D2	Dopravní úrazy motorovými vozidly	124	-	-	2	6	2	18	11	10	11	16	18	16	12	2	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	9	-	-	-	-	-	-	4	-	-	4	1	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	2	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	74	-	-	1	6	2	11	3	4	5	8	13	9	10	2	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	5	-	-	-	-	-	2	-	-	-	1	1	1	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	5	-	-	-	-	-	-	-	1	-	-	1	2	1	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	2	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	22	-	-	1	-	-	4	2	2	6	3	1	2	1	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	20	-	-	-	1	-	4	6	2	1	-	2	3	1	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	4	-	-	-	-	-	1	-	-	-	-	-	2	1	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	5	-	-	-	-	-	1	2	1	-	-	1	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	10	-	-	-	1	-	2	4	1	-	-	1	1	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	9	-	-	-	-	-	-	-	1	1	1	3	3	-	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	3	-	-	-	-	-	-	-	-	1	-	1	1	-	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	2	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E845	Jiný druh úrazu nemotorovými silnièními vozidly 	2	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících na malých èlunech zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu pøi vodní dopravì zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný oznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenské letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E861	Poranìní zpùsobené cestujícím pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní zpùsobené cestujícím pøi nehodách jiných letadel	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz zpùsobený jinde než na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	42	1	-	2	2	1	3	4	5	6	8	9	1	-	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	2	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	8	-	-	-	-	-	-	-	1	1	3	2	1	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	6	1	-	1	-	-	-	1	1	1	-	1	-	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
