1933	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH MUŽŮ	70943	11020	2344	2177	3044	4036	4439	6397	10401	27078	7
												
I	Nemoci nakažlivé a cizopasné	11279	713	869	1135	1176	1703	1581	1516	1379	1207	-
1	Tyf břišní	154	3	4	16	36	47	18	12	15	3	-
2	Paratyfy	7	1	1	-	-	1	-	3	-	1	-
3	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	136	48	78	10	-	-	-	-	-	-	-
8	Spála	181	5	79	87	3	4	3	-	-	-	-
9	Kašel zádušný	140	104	33	3	-	-	-	-	-	-	-
10	Záškrt	1066	33	344	674	8	3	1	2	1	-	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	470	68	27	14	14	19	35	33	47	213	-
11b	Chřipka neboli influenza bez údaje takových komplikací	303	47	23	11	14	8	16	15	27	142	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	2	-	-	-	-	1	1	-	-	-	-
15	Růže	242	58	7	6	4	12	31	22	37	65	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	11	2	3	2	1	1	1	1	-	-	-
17	Zánět mozku lethargický neboli epidemický	39	1	-	4	7	10	9	4	2	2	-
18	Epidemický zánět plen mozkových a míšních	30	6	2	7	8	3	1	2	1	-	-
19	Ozhřivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	1	-	-	-	-	-	-	-	1	-	-
22	Ztrnutí	121	22	9	20	8	11	9	16	11	15	-
23(4)	Tuberkulosa ústrojí dýchacího	6921	93	67	96	934	1461	1303	1258	1079	630	-
24	Tuberkulosa plen a ústřední soustavy čivové	391	60	132	107	30	26	16	8	8	4	-
25	Tuberkulosa střev a pobřišnice	102	7	7	12	16	16	17	8	11	8	-
26	Tuberkulosa páteře	81	1	5	7	14	12	4	8	15	15	-
