1920	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	89566	18192	2831	1812	1581	2716	6466	5802	14079	28823	7199	65
													
I	Nemoci epidemické a  endemické	4863	669	561	342	233	317	679	510	762	729	60	1
1a	Tyf støevní	407	4	2	17	39	70	126	67	67	15	-	-
1b	Paratyfy	15	-	2	2	-	-	5	3	3	-	-	-
2	Tyf skvrnitı	8	-	-	-	-	-	1	-	4	3	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	1	-	-	-	-	-	-	1	-	-	-	-
5b	Malarická sešlost	1	-	-	-	-	-	-	-	1	-	-	-
6	Neštovice	305	60	63	42	15	12	25	34	47	7	-	-
7	Spalnièky	283	134	111	30	5	1	-	-	1	1	-	-
8	Spála	34	3	10	14	2	-	2	2	1	-	-	-
9	Zajíkavı kašel	216	156	55	3	-	-	1	-	1	-	-	-
10	Záškrt	306	55	152	72	14	3	3	3	2	2	-	-
11a	Chøipka s plicními komplikacemi	894	31	33	27	25	80	204	126	160	197	11	-
11b	Chøipka bez komplikací plic	1616	131	73	75	78	105	238	200	315	367	34	-
13	Zánìt pøíušnic	4	1	-	-	-	-	-	3	-	-	-	-
15	Choleroidní zánìt støev	1	-	-	-	-	1	-	-	-	-	-	-
16	Úplavice	371	29	42	51	26	20	23	30	74	69	7	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-		
21	Rùe	182	59	2	1	-	1	11	13	37	50	7	1
22	Prudkı zánìt pøedních rohù míšních	2	-	-	-	-	-	2	-	-	-	-	-
23	Lethargùv zánìt støev	195	2	12	6	27	24	33	25	48	17	1	-
24	Epidemické ztrnutí šíje	22	4	4	2	2	-	5	3	1	1	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-		
													
II	Nemoci  infekèní	14524	728	422	546	695	1527	3269	2401	3303	1579	45	9
26	Ozhøivka	2	-	-	-	-	1	-	-	1	-	-	-
27	Uhlák a snì slezinná	2	-	-	-	-	1	-	-	1	-	-	-
28	Vzteklina	7	-	-	1	-	4	-	-	1	1	-	-
29	Ztrnutí ranné	151	64	2	10	10	7	13	8	24	12	1	-
