1952	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	2138	59	51	43	35	16	90	146	149	187	273	252	292	392	152	1
																	
D1	Úrazy na železnicích	53	-	1	2	1	1	2	8	8	5	7	7	7	2	1	1
E800	Úrazy na železnicích postihující železnièní zamìstnance	10	-	-	-	-	-	-	3	3	3	1	-	-	-	-	-
E801	Úrazy na železnicích postihující cestující	25	-	-	1	-	1	1	2	4	2	3	7	2	1	-	1
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	18	-	1	1	1	-	1	3	1	-	3	-	5	1	1	-
																	
D2	Dopravní úrazy motorovými vozidly	108	-	1	3	4	2	21	11	10	11	11	12	12	9	1	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	6	-	-	-	-	-	1	1	-	2	1	1	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	65	-	1	2	4	1	15	5	4	3	5	9	10	6	-	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	4	-	-	-	-	-	-	-	-	-	1	1	-	1	1	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	2	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	4	-	-	-	-	-	-	-	1	2	-	-	1	-	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	25	-	-	1	-	1	5	5	4	3	3	-	1	2	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	22	-	-	2	-	3	2	4	2	1	4	1	1	2	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	8	-	-	2	-	2	1	1	-	-	-	-	1	1	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	3	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	9	-	-	-	-	1	1	1	1	1	3	-	-	1	-	-
																	
D4	Úrazy jinými silnièními vozidly	5	-	-	-	1	-	-	1	-	1	-	2	-	-	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E845	Jiný druh úrazu nemotorovými silnièními vozidly 	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících na malých èlunech zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu pøi vodní dopravì zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný oznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenské letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E861	Poranìní zpùsobené cestujícím pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní zpùsobené cestujícím pøi nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz zpùsobený jinde než na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz 	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	40	1	2	2	1	-	2	7	3	6	3	5	7	1	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	3	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	7	-	-	-	-	-	-	-	1	2	1	2	1	-	-	-
