1934	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	66808	8016	1937	2206	2463	3592	3799	5136	8883	30774	2
												
I	Nemoci nakalivé a cizopasné	9205	518	772	1340	1302	1482	1044	810	944	993	-
1	Tyf bøišní	164	1	4	20	41	38	22	16	13	9	-
2	Paratyfy	7	-	-	2	1	-	1	2	-	1	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	126	47	60	17	1	1	-	-	-	-	-
8	Spála	167	2	69	86	3	4	2	1	-	-	-
9	Kašel zádušnı	152	110	37	4	-	1	-	-	-	-	-
10	Záškrt	1236	34	319	850	19	5	6	2	1	-	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	93	14	3	3	3	4	2	9	13	42	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	103	14	6	6	1	9	8	9	12	38	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	2	-	-	1	-	-	-	-	1	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	6	-	-	2	1	1	-	-	1	1	-
15	Rùe	279	76	7	3	3	12	18	28	40	92	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	10	-	2	3	1	1	1	2	-	-	-
17	Zánìt mozku lethargickı neboli epidemickı	56	-	1	1	5	19	10	10	5	5	-
18	Epidemickı zánìt plen mozkovıch a míšních	10	1	-	2	-	-	4	-	1	2	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	82	22	3	6	7	10	11	7	10	6	-
23(4)	Tuberkulosa ústrojí dıchacího	5446	53	81	170	1126	1272	830	618	697	599	-
24	Tuberkulosa plen a ústøední soustavy èivové	343	32	138	100	28	16	13	5	6	5	-
25	Tuberkulosa støev a pobøišnice	118	2	7	15	17	16	17	17	17	10	-
26	Tuberkulosa páteøe	83	1	3	5	2	5	9	10	20	28	-
27	Tuberkulosa kostí a kloubù	183	1	3	13	12	10	12	13	36	83	-
