1938	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH MUŽŮ	46072	5886	1099	1119	1681	2397	3003	4288	7217	19379	3
												
I	Nemoci nakažlivé a cizopasné	6253	361	393	463	564	904	956	994	890	728	-
1	Tyf břišní	89	-	1	10	27	20	16	7	5	3	-
2	Paratyfy	9	1	1	-	3	1	1	-	1	1	-
3	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	38	10	23	5	-	-	-	-	-	-	-
8	Spála	89	7	51	23	6	1	1	-	-	-	-
9	Kašel zádušný	108	80	26	2	-	-	-	-	-	-	-
10	Záškrt	445	18	154	256	16	-	-	1	-	-	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	128	31	9	1	6	-	4	6	21	50	-
11b	Chřipka neboli influenza bez údaje takových komplikací	98	32	6	6	2	2	2	6	4	38	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	1	-	-	1	-	-	-	-	-	-	-
15	Růže	111	32	1	3	6	7	11	10	12	29	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	12	1	3	3	3	-	1	1	-	-	-
17	Zánět mozku lethargický neboli epidemický	29	-	-	-	4	5	4	3	11	2	-
18	Epidemický zánět plen mozkových a míšních	29	7	2	6	10	3	1	-	-	-	-
19	Ozhřivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	3	-	-	-	-	1	-	-	-	2	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	86	18	4	18	4	10	3	10	8	11	-
23(4)	Tuberkulosa ústrojí dýchacího	4207	34	36	50	421	787	818	823	737	501	-
24	Tuberkulosa plen a ústřední soustavy čivové	174	20	54	46	17	17	11	5	2	2	-
25	Tuberkulosa střev a pobřišnice	55	1	-	6	9	8	15	6	5	5	-
26	Tuberkulosa páteře	44	-	1	3	4	9	4	7	5	11	-
27	Tuberkulosa kostí a kloubů	89	-	1	6	4	11	6	14	14	33	-
28	Tuberkulosa kůže a podkožního tuku	6	-	-	-	-	1	-	1	2	2	-
29	Tuberkulosa soustavy mízní	9	1	2	-	-	1	2	-	-	3	-
30	Tuberkulosa ústrojí pohlavního a močového	15	-	-	1	-	4	4	4	2	-	-
31	Tuberkulosa jiných míst	5	-	1	1	-	1	1	-	-	1	-
32	Tuberkulosa roztroušená	46	3	6	5	8	6	2	8	5	3	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Příjice vrozená	34	25	5	2	2	-	-	-	-	-	-
34b	Příjice získaná	129	-	-	-	-	-	24	52	38	15	-
34c	Příjice nerozlišená	32	-	-	-	-	2	15	12	2	1	-
35	Kapavka a jiné nemoci pohlavní	3	2	-	-	1	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	117	37	4	9	9	6	8	15	14	15	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	5	-	-	-	2	1	-	1	1	-	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová	-	-	-	-	-	-	-	-	-	-	-
38a	Zimnice malarická	2	-	-	-	-	-	-	1	1	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zaviněné cizopasnými prvoky	1	-	-	-	-	-	-	1	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel měchožilová jater	-	-	-	-	-	-	-	-	-	-	-
