1953	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4752	98	52	62	45	52	226	667	660	649	798	545	442	369	87	-
																	
D1	Úrazy na železnicích	255	-	1	1	2	1	8	37	47	55	55	27	11	9	1	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	107	-	-	-	-	-	-	2	18	34	38	13	2	-	-	-
E801	Úrazy na železnicích postihující cestující	66	-	-	-	-	-	6	27	11	5	10	4	1	2	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	82	-	1	1	2	1	2	8	18	16	7	10	8	7	1	-
																	
D2	Dopravní úrazy motorovými vozidly	459	-	3	7	6	6	32	104	103	74	49	35	21	17	2	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	13	-	-	-	-	-	-	3	1	5	2	2	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	122	-	3	7	5	5	24	5	9	9	13	14	15	12	1	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	7	-	-	-	-	-	-	3	-	-	-	2	1	1	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	7	-	-	-	-	-	-	-	3	1	3	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	27	-	-	-	-	-	-	5	9	8	3	2	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	2	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	3	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	11	-	-	-	-	-	-	5	1	3	2	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	4	-	-	-	-	-	1	-	-	-	1	1	-	1	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	39	-	-	-	-	-	-	17	14	5	2	-	1	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	6	-	-	-	-	-	-	3	2	-	-	1	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	8	-	-	-	-	-	-	2	5	1	-	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	17	-	-	-	1	-	-	2	5	3	3	2	-	1	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	191	-	-	-	-	1	6	56	52	38	20	11	4	2	1	-
																	
D3	Úrazy motorovými vozidly nedopravní	100	-	2	-	1	2	4	32	26	13	11	3	4	2	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	7	-	-	-	-	1	-	1	1	-	2	1	-	1	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	6	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	10	-	1	-	-	1	1	3	-	3	1	-	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	75	-	1	-	1	-	3	28	21	7	7	2	4	1	-	-
																	
D4	Úrazy jinými silnièními vozidly	29	-	-	1	-	-	3	2	3	7	3	4	5	1	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
