1928	Zemřelé ženy podle podrobného seznamu příčin smrti a věku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- těno
											
	CELKEM ZEMŘELÝCH ŽEN	72495	11541	2623	1753	3838	6194	4431	12261	29847	7
											
I	Nemoci epidemické a endemické	2121	430	465	474	161	185	97	131	178	-
1a	Tyf střevní	302	-	9	23	94	92	36	32	16	-
1b	Paratyfy	7	-	-	2	1	1	-	2	1	-
2	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratný	-	-	-	-	-	-	-	-	-	-
5a	Malarie	1	-	-	-	-	-	-	1	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalničky	182	77	91	13	1	-	-	-	-	-
8	Spála	193	5	66	93	17	10	1	1	-	-
9	Zajíkavý kašel	309	219	84	4	-	-	1	1	-	-
10	Záškrt	507	19	174	305	5	3	1	-	-	-
11a	Chřipka s plicními komplikacemi	147	30	12	3	7	11	17	22	45	-
11b	Chřipka bez komplikací plic	144	13	7	9	6	21	13	25	50	-
13	Zánět příušnic	2	1	-	-	-	-	1	-	-	-
15	Choleroidní zánět střev	1	-	-	-	-	-	-	1	-	-
16	Úplavice	8	-	2	-	1	1	1	2	1	-
19	Spirochetosa ikterohaemor	3	1	-	-	-	1	-	1	-	-
21	Růže	195	53	7	4	13	17	13	32	56	-
22	Prudký zánět předních rohů míšních	16	1	5	6	4	-	-	-	-	-
23	Lethargův zánět střev	73	1	3	6	10	25	12	7	9	-
24	Epidemické ztrnutí šíje	25	6	4	5	2	3	1	4	-	-
25	Ostatní nemoci epidemické	6	4	1	1	-	-	-	-	-	-
											
II	Nemoci infekční	9063	467	419	469	1980	2603	983	1365	777	-
26	Ozhřivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a sněť slezinná	1	-	-	-	1	-	-	-	-	-
28	Vzteklina	2	-	-	-	1	-	1	-	-	-
29	Ztrnutí ranné	100	24	11	13	4	11	9	18	10	-
30	Mykosy	-	-	-	-	-	-	-	-	-	-
31	Tuberkulosa ústrojí dýchacího	7300	127	128	247	1819	2412	861	1121	585	-
32	Tuberkulosa mozkových blan nebo centrálního systému nervového	537	102	202	136	50	24	12	9	2	-
33	Tuberkulosa střev neb pobřišnice 	181	16	15	16	25	41	21	34	13	-
34	Tuberkulosa obratlů	91	-	5	13	9	4	12	32	16	-
35	Tuberkulosa kloubů	56	1	-	3	3	3	1	19	26	-
36a	Tuberkulosa kůže nebo podkožního vaziva	19	3	1	-	3	1	1	3	7	-
36b	Tuberkulosa kostí	160	3	4	8	11	18	13	42	61	-
36c	Tuberkulosa lymfatického systému	33	5	10	2	5	3	3	5	-	-
36d	Tuberkulosa ústrojí urogenitálního	14	-	-	-	3	5	1	3	2	-
36	Tuberkulosa jiných orgánů	15	2	4	-	2	2	1	1	3	-
37a	Tuberkulosa prudká	53	11	15	9	18	-	-	-	-	-
37b	Tuberkulosa vleklá	3	-	-	-	-	1	-	2	-	-
37c	Tuberkulosa bez bližšího označení	36	1	1	-	-	10	7	15	2	-
38	Příjice	147	73	9	2	2	17	17	21	6	-
40	Kapavka	3	1	-	-	1	1	-	-	-	-
41	Otrava krve	312	98	14	20	23	50	23	40	44	-
42	Ostatní nemoci a infekční	-	-	-	-	-	-	-	-	-	-
											
RA		7490	6	19	13	48	348	921	2809	3326	0
KR		165	8	9	3	14	23	29	53	26	0
EN		968	111	37	21	39	56	64	283	357	0
DU		90	0	0	1	1	7	20	29	32	0
III	Celkové nemoci výše nejmenované	8673	129	70	37	103	431	1024	3163	3716	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	34	-	-	-	-	4	3	12	15	-
44	Rakovina neb jiné zhoubné nádory žaludku, jater	3546	-	-	1	6	58	293	1303	1885	-
45	Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku	840	-	-	2	4	34	83	306	411	-
46	Rakovina neb jiné zhoubné nádory rodidel	1478	-	-	-	11	141	336	637	353	x
47	Rakovina neb jiné zhoubné nádory prsu	464	-	-	-	-	31	89	171	173	-
48	Rakovina neb jiné zhoubné nádory kůže	120	1	-	-	-	-	4	10	105	-
