1955	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4554	126	39	39	43	36	243	558	656	536	800	576	415	380	105	2
																	
D1	Úrazy na železnicích	171	-	1	-	2	-	2	19	35	29	39	23	10	9	2	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	72	-	-	-	-	-	-	4	16	17	23	10	1	1	-	-
E801	Úrazy na železnicích postihující cestující	21	-	-	-	-	-	-	5	3	3	2	4	2	1	1	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	78	-	1	-	2	-	2	10	16	9	14	9	7	7	1	-
																	
D2	Dopravní úrazy motorovými vozidly	557	1	1	3	4	12	44	133	116	78	73	32	34	17	9	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	24	1	-	-	-	-	2	2	8	4	4	2	1	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	165	-	1	2	4	8	25	18	12	14	24	13	24	13	7	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	8	-	-	-	-	-	2	1	1	-	1	1	1	1	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	7	-	-	-	-	-	-	2	3	2	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	39	-	-	-	-	-	1	8	15	9	5	1	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	8	-	-	-	-	-	-	2	4	2	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	19	-	-	1	-	-	1	7	7	2	1	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	4	-	-	-	-	-	1	-	-	-	-	1	1	1	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	41	-	-	-	-	-	1	20	8	6	5	-	-	-	1	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	17	-	-	-	-	1	-	10	2	1	3	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	7	-	-	-	-	-	-	3	1	2	1	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	9	-	-	-	-	-	1	1	1	1	4	-	-	1	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	205	-	-	-	-	3	9	59	54	35	23	13	7	1	1	-
																	
D3	Úrazy motorovými vozidly nedopravní	120	-	2	-	3	3	12	28	26	13	16	7	5	4	-	1
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	12	-	1	-	2	-	2	2	-	-	-	1	3	1	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	12	-	-	-	-	-	-	3	5	3	1	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
