1952	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	4402	93	59	47	43	40	220	574	614	683	762	500	369	317	81	-
																	
D1	Úrazy na železnicích	172	-	2	-	-	1	7	22	16	48	45	20	7	3	1	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	83	-	-	-	-	-	-	4	6	30	30	12	-	-	1	-
E801	Úrazy na železnicích postihující cestující	30	-	-	-	-	1	4	6	6	5	4	2	2	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	59	-	2	-	-	-	3	12	4	13	11	6	5	3	-	-
																	
D2	Dopravní úrazy motorovými vozidly	319	1	1	1	4	8	23	58	59	66	48	26	16	7	1	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	19	-	-	-	-	-	-	3	5	8	2	1	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	100	-	1	1	2	5	17	9	7	12	17	10	13	5	1	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	7	-	-	-	-	-	-	-	1	-	3	3	-	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	7	-	-	-	-	-	-	2	1	3	-	1	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	14	-	-	-	-	-	-	6	3	2	2	1	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	12	-	-	-	-	-	-	3	2	4	2	1	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	10	-	-	-	1	-	1	2	1	4	1	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	13	-	-	-	-	-	-	5	4	3	1	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	6	-	-	-	-	-	-	-	1	4	1	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	3	-	-	-	-	-	-	2	-	-	1	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	11	-	-	-	-	2	1	1	4	2	-	1	-	-	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	113	1	-	-	1	-	4	24	30	24	16	8	3	2	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	109	-	2	-	2	2	9	38	19	20	10	4	1	2	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	14	-	1	-	1	-	3	2	1	3	1	2	-	-	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	2	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	16	-	-	-	-	-	-	6	3	4	2	1	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	8	-	-	-	-	1	2	2	1	2	-	-	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	67	-	1	-	1	1	2	27	14	11	6	1	1	2	-	-
																	
D4	Úrazy jinými silnièními vozidly	28	-	-	-	1	1	2	3	1	7	5	7	1	-	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	12	-	-	-	-	-	1	2	-	4	3	2	-	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	3	-	-	-	1	-	1	-	1	-	-	-	-	-	-	-
E845	Jiný druh úrazu nemotorovými silnièními vozidly 	10	-	-	-	-	1	-	-	-	2	2	4	1	-	-	-
																	
D5	Úrazy pøi vodní dopravì	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E850	Úraz cestujících na malých èlunech zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu pøi vodní dopravì zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
