1930	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH MUÙ	72694	14210	2723	1981	3923	6244	5178	14240	24195	-
											
I	Nemoci epidemické a endemické	2558	609	681	677	128	143	75	129	116	-
1a	Tyf støevní	225	-	7	21	71	71	21	25	9	-
1b	Paratyfy	9	-	1	-	2	3	1	2	-	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	11	-	-	-	-	3	4	4	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	297	122	145	30	-	-	-	-	-	-
8	Spála	154	4	70	70	3	7	-	-	-	-
9	Zajíkavı kašel	338	251	81	5	1	-	-	-	-	-
10	Záškrt	924	51	336	525	5	2	2	2	1	-
11a	Chøipka s plicními komplikacemi	89	10	14	6	4	7	11	14	23	-
11b	Chøipka bez komplikací plic	110	45	9	5	7	6	10	13	15	-
13	Zánìt pøíušnic	3	-	1	1	-	1	-	-	-	-
15	Choleroidní zánìt støev	1	-	-	-	-	-	-	1	-	-
16	Úplavice	4	-	1	1	2	-	-	-	-	-
19	Spirochetosa ikterohaemor	2	-	1	1	-	-	-	-	-	-
21	Rùe	279	106	7	2	8	18	15	58	65	-
22	Prudkı zánìt pøedních rohù míšních	9	2	3	1	1	1	-	1	-	-
23	Lethargùv zánìt støev	59	-	-	5	10	22	10	9	3	-
24	Epidemické ztrnutí šíje	36	12	4	3	14	2	1	-	-	-
25	Ostatní nemoci epidemické	8	6	1	1	-	-	-	-	-	-
											
II	Nemoci infekèní	9477	489	353	334	1556	2537	1484	2023	701	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	1	-	-	-	-	-	-	1	-	-
28	Vzteklina	4	-	2	-	1	-	1	-	-	-
29	Ztrnutí ranné	156	41	10	30	15	17	11	21	11	-
30	Mykosy	8	-	-	-	1	-	2	2	3	-
31	Tuberkulosa ústrojí dıchacího	7807	133	121	112	1379	2360	1342	1781	579	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	495	94	159	122	50	38	19	11	2	-
33	Tuberkulosa støev neb pobøišnice 	133	7	9	13	25	19	19	32	9	-
34	Tuberkulosa obratlù	56	-	8	6	8	7	6	13	8	-
35	Tuberkulosa kloubù	47	-	2	9	5	4	2	10	15	-
36a	Tuberkulosa kùe nebo podkoního vaziva	8	-	2	-	-	1	-	4	1	-
36b	Tuberkulosa kostí	74	-	4	9	17	4	4	19	17	-
36c	Tuberkulosa lymfatického systému	23	5	4	2	3	1	4	-	4	-
36d	Tuberkulosa ústrojí urogenitálního	26	-	2	-	4	9	3	6	2	-
36	Tuberkulosa jinıch orgánù	13	-	3	-	-	1	1	6	2	-
37a	Tuberkulosa prudká	50	9	13	11	16	1	-	-	-	-
37b	Tuberkulosa vleklá	1	-	-	-	-	-	-	1	-	-
37c	Tuberkulosa bez blišího oznaèení	54	-	-	-	-	18	13	14	9	-
38	Pøíjice	210	64	4	1	5	31	35	60	10	-
40	Kapavka	4	3	-	-	1	-	-	-	-	-
41	Otrava krve	307	133	10	19	26	26	22	42	29	-
42	Ostatní nemoci a infekèní	-	-	-	-	-	-	-	-	-	-
											
RA		7001	13	14	26	49	231	552	2784	3332	0
KR		120	5	5	4	9	10	26	44	17	0
EN		844									
DU		197	0	0	2	6	27	30	84	48	0
III	Celkové nemoci vıše nejmenované	8127	150	65	59	97	314	671	3114	3657	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	201	-	1	1	1	5	13	74	106	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	4443	-	-	-	1	88	305	1894	2155	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	899	2	1	1	6	37	62	326	464	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	3	-	-	-	-	-	-	1	2	-
48	Rakovina neb jiné zhoubné nádory kùe	96	-	-	-	-	2	6	25	63	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1061	1	4	6	23	52	130	384	461	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	165	8	3	4	7	22	16	42	63	-
51	Prudkı horeèatı hostec kloubní	19	1	2	8	1	4	1	2	-	-
52	Vleklı hostec, dna	84	-	-	1	4	2	9	19	49	-
53	Kurdìje	1	-	-	-	1	-	-	-	-	-
56	Køivice	113	72	36	3	2	-	-	-	-	-
57	Cukrovka	534	1	2	10	21	38	56	190	216	-
59	Nedokrevnost zhoubná	94	2	4	1	6	8	19	41	13	-
58a	Jiné nedokrevnosti a blednièka	19	3	1	2	1	1	6	2	3	-
58b	Nemoci hypophysy	3	-	-	-	-	2	1	-	-	-
60a	Basedowova nemoc	11	-	-	-	-	3	3	4	1	-
60b	Jiná onemocnìní štítné lázy	16	-	-	-	5	2	2	4	3	-
