1998	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	4569	16	5	1	5	6	32	38	193	360	309	264	289	419	470	432	266	235	264	249	273	179	264
																								
DN	Dopravní nehody	1074	1	2	-	1	2	11	17	101	163	102	86	77	82	95	88	52	42	50	40	34	16	12
																								
	Chodec zraněný při dopravní nehodě     V01-V09	243	-	2	-	-	-	5	9	12	26	14	16	10	19	25	26	14	15	15	12	10	8	5
V01	Chodec zraněný při srážce s jízdním kolem	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	151	-	1	-	-	-	5	8	5	13	6	10	7	10	13	15	10	10	11	9	7	6	5
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	18	-	1	-	-	-	-	-	1	-	3	-	1	2	4	2	2	1	-	-	1	-	-
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	60	-	-	-	-	-	-	1	5	12	4	6	2	6	6	7	1	2	3	2	1	2	-
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	7	-	-	-	-	-	-	-	1	1	1	-	-	-	1	1	1	1	-	-	-	-	-
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	72	-	-	-	-	-	1	-	5	5	4	4	7	7	1	7	5	3	7	6	5	1	4
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	2	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	35	-	-	-	-	-	1	-	2	3	3	2	2	3	-	3	2	1	4	4	3	1	1
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	12	-	-	-	-	-	-	-	2	1	-	1	-	2	-	1	-	1	1	1	-	-	2
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	4	-	-	-	-	-	-	-	-	1	-	-	1	-	-	1	-	1	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	12	-	-	-	-	-	-	-	-	-	1	-	2	1	-	2	3	-	1	1	1	-	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	5	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	1	-	1	-	1
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	54	-	-	-	-	-	-	1	15	15	6	2	2	3	1	-	-	2	4	1	-	2	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	2	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	13	-	-	-	-	-	-	1	-	6	2	1	-	1	-	-	-	-	-	1	-	1	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	2	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-
V26	Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V27	Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	10	-	-	-	-	-	-	-	6	1	-	1	-	1	-	-	-	1	-	-	-	-	-
V28	Jezdec na motocyklu zraněný při dopravní nehodě bez srážky	10	-	-	-	-	-	-	-	3	3	1	-	-	-	1	-	-	1	1	-	-	-	-
V29	Jezdec na motocyklu zraněný při jiných a neurčených dopravních nehodách	14	-	-	-	-	-	-	-	5	4	1	-	1	1	-	-	-	-	2	-	-	-	-
																								
	Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě     V30-V39	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-
