1936	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	68981	7085	1770	1953	2222	3556	3882	5310	9506	33696	1
												
I	Nemoci nakalivé a cizopasné	8834	518	709	1048	1103	1456	1047	808	952	1193	-
1	Tyf bøišní	158	-	1	20	29	29	29	20	20	10	-
2	Paratyfy	8	-	-	2	-	-	2	2	-	2	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	180	60	97	22	-	1	-	-	-	-	-
8	Spála	202	9	73	103	8	6	-	2	-	1	-
9	Kašel zádušnı	152	108	40	4	-	-	-	-	-	-	-
10	Záškrt	862	26	258	537	25	8	2	2	1	3	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	199	31	13	7	5	12	9	15	24	83	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	138	20	7	4	6	9	13	3	15	61	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	3	-	-	-	-	2	-	-	1	-	-
15	Rùe	276	59	4	6	10	15	21	19	44	98	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	24	4	7	6	1	3	1	1	-	1	-
17	Zánìt mozku lethargickı neboli epidemickı	37	-	-	2	1	12	10	5	5	2	-
18	Epidemickı zánìt plen mozkovıch a míšních	15	1	3	5	2	2	1	-	1	-	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	62	17	-	7	1	6	5	8	14	4	-
23(4)	Tuberkulosa ústrojí dıchacího	5266	31	71	168	920	1250	833	611	690	692	-
24	Tuberkulosa plen a ústøední soustavy èivové	298	33	92	104	26	14	9	9	6	5	-
25	Tuberkulosa støev a pobøišnice	97	-	8	5	16	9	11	9	19	20	-
26	Tuberkulosa páteøe	90	-	1	5	8	10	10	8	17	31	-
27	Tuberkulosa kostí a kloubù	210	2	3	9	9	7	15	22	30	113	-
28	Tuberkulosa kùe a podkoního tuku	18	-	-	-	1	3	-	2	4	8	-
29	Tuberkulosa soustavy mízní	15	2	3	-	-	-	2	2	4	2	-
30	Tuberkulosa ústrojí pohlavního a moèového	24	-	-	1	4	5	4	4	4	2	-
31	Tuberkulosa jinıch míst	4	-	-	-	-	1	1	1	1	-	-
32	Tuberkulosa roztroušená	70	2	13	12	11	3	9	8	9	3	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Pøíjice vrozená	58	47	4	6	-	1	-	-	-	-	-
34b	Pøíjice získaná	64	-	-	-	3	7	17	19	15	3	-
34c	Pøíjice nerozlišená	76	-	-	-	5	10	17	20	9	15	-
35	Kapavka a jiné nemoci pohlavní	4	2	-	-	1	-	-	-	-	1	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	187	56	9	11	11	24	19	14	16	27	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	17	4	-	1	-	5	3	-	1	3	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	-	-	-	-	-	-	-	-	-	-	-
38a	Zimnice malarická	1	-	-	-	-	1	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	1	-	-	-	-	-	-	-	-	1	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	2	-	-	-	-	-	1	-	1	-	-
41b	Boubel mìchoilová jinıch míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	5	-	-	-	-	-	2	1	1	1	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	11	4	2	1	-	1	1	1	-	1	-
												
II	Rakoviny a jiné nádory	8787	3	16	38	55	193	708	1406	2321	4047	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	75	-	1	1	-	-	5	8	16	44	-
												
46a	Rakovina a jiné zhoubné nádory: poeráku	157	-	-	-	-	1	6	15	39	96	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2840	-	-	-	3	37	116	313	716	1655	-
46c	Rakovina a jiné zhoubné nádory: koneèníku	315	-	-	-	1	4	20	47	92	151	-
46d	Rakovina a jiné zhoubné nádory: jater a luèovodù	867	-	2	1	-	6	30	90	251	487	-
46	Rakovina a jiné zhoubné nádory: slinivky bøišní	65	-	-	-	-	1	5	12	23	24	-
46f	Rakovina a jiné zhoubné nádory: pobøišnice	117	-	-	-	1	1	7	23	45	40	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zaívací a pobøišnice	495	-	-	-	2	9	18	69	126	271	-
