1940	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	46453	4765	870	888	1227	2058	2449	3632	6268	24294	2
												
I	Nemoci nakalivé a cizopasné	5475	296	302	452	745	943	708	546	621	862	-
1	Tyf bøišní	124	2	4	18	28	23	21	15	7	6	-
2	Paratyfy	3	-	-	-	-	1	-	-	-	2	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	15	3	8	3	1	-	-	-	-	-	-
8	Spála	69	1	27	35	3	2	1	-	-	-	-
9	Kašel zádušnı	60	45	14	1	-	-	-	-	-	-	-
10	Záškrt	363	20	118	197	19	5	2	1	1	-	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	127	36	3	-	3	5	5	8	10	57	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	96	13	3	2	4	2	3	6	11	52	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	4	-	-	-	-	1	1	1	-	1	-
15	Rùe	80	25	1	1	3	3	6	12	10	19	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	21	-	6	7	2	3	1	-	-	2	-
17	Zánìt mozku lethargickı neboli epidemickı	38	-	1	-	2	8	10	6	9	2	-
18	Epidemickı zánìt plen mozkovıch a míšních	61	11	14	14	6	4	3	6	2	1	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	52	11	1	5	2	4	7	8	8	6	-
23(4)	Tuberkulosa ústrojí dıchacího	3546	13	23	83	603	816	581	416	453	558	-
24	Tuberkulosa plen a ústøední soustavy èivové	187	27	60	49	31	6	6	3	4	1	-
25	Tuberkulosa støev a pobøišnice	72	2	2	5	8	19	11	8	12	5	-
26	Tuberkulosa páteøe	67	-	1	2	5	6	4	5	12	32	-
27	Tuberkulosa kostí a kloubù	133	-	-	3	5	12	4	9	32	68	-
28	Tuberkulosa kùe a podkoního tuku	23	-	-	-	2	-	-	3	7	11	-
29	Tuberkulosa soustavy mízní	4	-	-	-	1	2	-	-	1	-	-
30	Tuberkulosa ústrojí pohlavního a moèového	15	-	-	-	2	4	4	1	2	2	-
31	Tuberkulosa jinıch míst	7	-	-	-	-	-	1	2	2	2	-
32	Tuberkulosa roztroušená	48	4	9	14	9	3	1	3	3	2	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Pøíjice vrozená	33	27	1	4	1	-	-	-	-	-	-
34b	Pøíjice získaná	39	-	-	-	-	3	10	10	10	6	-
34c	Pøíjice nerozlišená	66	-	-	1	-	5	18	12	16	14	-
35	Kapavka a jiné nemoci pohlavní	-	-	-	-	-	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	104	51	4	7	4	5	6	10	8	9	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	7	3	-	-	1	1	1	-	-	1	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	-	-	-	-	-	-	-	-	-	-	-
38a	Zimnice malarická	-	-	-	-	-	-	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	-	-	-	-	-	-	-	-	-	-	-
41b	Boubel mìchoilová jinıch míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	5	-	-	1	-	-	1	1	1	1	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	6	2	2	-	-	-	-	-	-	2	-
												
II	Rakoviny a jiné nádory	5710	5	12	21	22	121	429	963	1508	2629	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	50	-	-	-	1	2	6	6	14	21	-
												
46a	Rakovina a jiné zhoubné nádory: poeráku	77	-	-	-	-	1	2	9	12	53	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	1733	-	-	-	-	10	64	172	409	1078	-
46c	Rakovina a jiné zhoubné nádory: koneèníku	198	-	-	-	1	6	7	38	54	92	-
46d	Rakovina a jiné zhoubné nádory: jater a luèovodù	568	-	-	-	-	2	19	57	163	327	-
46	Rakovina a jiné zhoubné nádory: slinivky bøišní	47	-	-	-	-	-	-	9	22	16	-
46f	Rakovina a jiné zhoubné nádory: pobøišnice	64	-	1	-	-	1	6	9	17	30	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zaívací a pobøišnice	304	-	1	-	2	4	12	46	81	158	-
47	Rakovina a jiné zhoubné nádory: ústrojí dıchacího	134	-	-	-	-	3	14	21	48	48	-
48	Rakovina a jiné zhoubné nádory: dìlohy	978	-	1	-	-	28	127	274	290	258	-
49	Rakovina a jiné zhoubné nádory: jinıch pohlavních ústrojù enskıch	216	-	-	1	3	11	28	51	61	61	-
50	Rakovina a jiné zhoubné nádory: prsù	500	-	-	-	-	13	47	143	143	154	-
51	Rakovina a jiné zhoubné nádory: pohlavních a moèovıch ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: kùe	107	-	-	-	1	-	1	4	15	86	-
53	Rakovina a jiné zhoubné nádory: jinıch ústrojù neb ústrojù nerozlišenıch	393	2	4	7	5	14	34	64	106	157	-
												
54a	Nádory nezhoubné: pohlavních ústrojù enskıch	40	-	-	-	-	2	17	15	5	1	-
54b	Nádory nezhoubné: jinıch ústrojù	6	-	-	-	-	-	-	1	-	5	-
												
55a	Nádory, jich zhoubnı ráz není rozlišen: pohlavních ústrojù enskıch	22	-	-	-	1	3	7	1	5	5	-
55b	Nádory, jich zhoubnı ráz není rozlišen: jinıch ústrojù	273	3	5	13	8	21	38	43	63	79	-
												
III	Nemoci rheumatické, nemoci vıivové, nemoci endokrinních láz a jiné nemoci celkové	1097	64	22	27	21	24	63	101	240	535	-
56	Rheumatismus kloubní prudkı, horeènatı	33	-	2	18	6	2	1	1	2	1	-
57	Rheumatismus vleklı, osteoarthritis	174	-	-	-	-	1	9	10	25	129	-
58	Dna	5	-	-	-	-	-	-	-	1	4	-
59	Úplavice cukrová	647	-	-	5	10	8	16	55	181	372	-
	Kurdìje											
60a	Dìtské kurdìje	-	-	-	-	-	-	-	-	-	-	-
60b	Kurdìje	-	-	-	-	-	-	-	-	-	-	-
