1954	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	2079	114	38	34	16	20	88	106	135	153	226	258	329	411	150	1
																	
D1	Úrazy na železnicích	26	-	-	1	-	1	-	4	2	3	4	5	4	2	-	-
E800	Úrazy na železnicích postihující železnièní zamìstnance	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
E801	Úrazy na železnicích postihující cestující	3	-	-	-	-	-	-	2	-	1	-	-	-	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznaèené osoby	21	-	-	1	-	1	-	2	1	1	4	5	4	2	-	-
																	
D2	Dopravní úrazy motorovými vozidly	115	-	1	4	1	6	20	16	11	10	8	16	13	9	-	-
E810	Dopravní úraz motorovými vozidly pøi srážce s vlakem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E811	Dopravní úraz motorovými vozidly pøi srážce s poulièní drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz motorovými vozidly zpùsobený chodcùm	81	-	1	4	1	5	15	8	6	5	6	14	8	8	-	-
E813	Dopravní úraz motorovými vozidly zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E814	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s vozidlem nemotorovým nebo jiným pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly zpùsobený øidièùm nebo spolujezdcùm na motocyklech pøi srážce s jiným motorovým vozidlem 	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E817	Dopravní úraz motorovými vozidly zpùsobený posádce motorového vozidla pøi srážce s chodcem nebo cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly pøi srážce se zvíøaty nebo vozidly taženými zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	3	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	29	-	-	-	-	1	5	8	3	5	2	1	3	1	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	12	-	-	-	-	-	3	3	1	-	2	1	-	1	1	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	3	-	-	-	-	-	2	-	-	-	1	-	-	-	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	7	-	-	-	-	-	-	2	1	-	1	1	-	1	1	-
																	
D4	Úrazy jinými silnièními vozidly	6	-	-	-	-	-	3	-	-	-	-	-	3	-	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	2	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	2	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
