1926	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
											
	CELKEM ZEMØELİCH EN	73813	13023	3099	1558	3899	6347	4612	12184	29081	10
											
I	Nemoci epidemické a endemické	2210	628	563	205	146	189	84	177	218	-
1a	Tyf støevní	267	1	7	23	78	93	26	30	9	-
1b	Paratyfy	10	1	-	1	3	2	-	3	-	-
2	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-
5a	Malarie	2	-	-	-	-	1	1	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-
6	Neštovice	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	330	126	176	27	1	-	-	-	-	-
8	Spála	125	8	58	45	8	6	-	-	-	-
9	Zajíkavı kašel	475	323	148	3	-	1	-	-	-	-
10	Záškrt	217	27	112	67	3	3	1	3	1	-
11a	Chøipka s plicními komplikacemi	258	48	25	8	8	16	13	59	81	-
11b	Chøipka bez komplikací plic	203	32	16	11	16	17	10	29	72	-
13	Zánìt pøíušnic	11	1	-	3	1	-	3	2	1	-
15	Choleroidní zánìt støev	5	4	-	-	-	-	-	1	-	-
16	Úplavice	4	-	-	-	-	2	-	1	1	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-
21	Rùe	172	42	3	6	3	18	16	37	47	-
22	Prudkı zánìt pøedních rohù míšních	13	2	4	3	3	-	-	1	-	-
23	Lethargùv zánìt støev	72	-	2	3	13	25	14	9	6	-
24	Epidemické ztrnutí šíje	33	6	7	4	9	5	-	2	-	-
25	Ostatní nemoci epidemické	13	7	5	1	-	-	-	-	-	-
											
II	Nemoci infekèní	10012	589	510	585	2155	2763	1078	1493	839	-
26	Ozhøivka	-	-	-	-	-	-	-	-	-	-
27	Uhlák a snì slezinná	-	-	-	-	-	-	-	-	-	-
28	Vzteklina	3	-	1	1	-	-	-	-	1	-
29	Ztrnutí ranné	137	44	4	22	12	19	10	15	11	-
30	Mykosy	5	2	1	-	-	-	-	2	-	-
31	Tuberkulosa ústrojí dıchacího	8194	241	221	344	1977	2554	942	1277	638	-
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	543	77	211	139	51	35	12	11	7	-
33	Tuberkulosa støev neb pobøišnice 	168	9	16	20	26	34	18	29	16	-
34	Tuberkulosa obratlù	93	1	6	4	10	15	15	26	16	-
35	Tuberkulosa kloubù	59	1	1	3	5	2	5	12	30	-
36a	Tuberkulosa kùe nebo podkoního vaziva	19	-	-	2	-	2	1	1	13	-
36b	Tuberkulosa kostí	143	1	5	8	11	14	15	40	49	-
36c	Tuberkulosa lymfatického systému	56	15	13	5	2	4	-	6	11	-
36d	Tuberkulosa ústrojí urogenitálního	18	-	1	-	5	4	3	3	2	-
36	Tuberkulosa jinıch orgánù	11	1	-	1	-	1	4	2	2	-
37a	Tuberkulosa prudká	66	9	16	16	21	4	-	-	-	-
37b	Tuberkulosa vleklá	3	-	-	-	2	-	-	-	1	-
37c	Tuberkulosa bez blišího oznaèení	35	-	-	-	-	14	9	9	3	-
38	Pøíjice	152	87	7	-	1	12	20	18	7	-
40	Kapavka	5	4	-	-	-	1	-	-	-	-
41	Otrava krve	301	97	6	20	32	48	24	42	32	-
