1936	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH MUÙ	70112	9210	1991	2129	2502	3604	4507	6499	10779	28890	1
												
I	Nemoci nakalivé a cizopasné	10081	591	721	995	916	1454	1495	1506	1373	1030	-
1	Tyf bøišní	136	1	-	20	27	49	15	10	10	4	-
2	Paratyfy	8	-	-	3	1	-	-	-	3	1	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	168	61	78	26	1	1	-	-	-	1	-
8	Spála	188	8	83	86	6	1	1	2	-	1	-
9	Kašel zádušnı	127	103	23	-	-	-	-	-	-	1	-
10	Záškrt	929	21	321	556	23	3	3	-	2	-	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	203	57	10	4	11	10	11	16	22	62	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	124	30	7	6	6	3	6	11	10	45	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	8	-	-	-	-	2	1	1	3	1	-
15	Rùe	206	59	6	1	2	5	22	27	26	58	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	17	1	1	8	4	1	1	-	1	-	-
17	Zánìt mozku lethargickı neboli epidemickı	52	-	1	4	3	7	12	11	11	3	-
18	Epidemickı zánìt plen mozkovıch a míšních	32	8	6	2	8	2	3	2	-	1	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	1	-	-	-	-	-	1	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	93	20	-	22	7	6	14	12	5	7	-
23(4)	Tuberkulosa ústrojí dıchacího	6443	43	58	90	716	1246	1251	1244	1117	678	-
24	Tuberkulosa plen a ústøední soustavy èivové	303	34	91	105	25	16	13	11	4	4	-
25	Tuberkulosa støev a pobøišnice	93	2	3	10	8	18	15	20	9	8	-
26	Tuberkulosa páteøe	99	-	4	8	13	13	14	12	16	19	-
27	Tuberkulosa kostí a kloubù	151	6	-	13	15	13	10	15	28	51	-
28	Tuberkulosa kùe a podkoního tuku	6	-	-	1	-	-	-	1	1	3	-
29	Tuberkulosa soustavy mízní	20	3	3	3	1	-	2	2	3	3	-
30	Tuberkulosa ústrojí pohlavního a moèového	29	-	-	-	2	5	8	5	4	5	-
31	Tuberkulosa jinıch míst	6	-	-	-	-	3	-	2	-	1	-
32	Tuberkulosa roztroušená	72	8	9	10	9	7	8	5	11	5	-
33	Malomocenství	1	-	-	-	-	-	-	-	1	-	-
34a	Pøíjice vrozená	68	60	2	1	5	-	-	-	-	-	-
34b	Pøíjice získaná	120	-	-	-	2	5	38	32	25	18	-
34c	Pøíjice nerozlišená	117	-	-	-	4	14	21	33	36	9	-
35	Kapavka a jiné nemoci pohlavní	4	3	-	-	-	-	-	1	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	220	61	13	15	14	20	18	22	19	38	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	14	1	1	1	3	1	4	3	-	-	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	1	-	-	-	-	1	-	-	-	-	-
38a	Zimnice malarická	9	-	-	-	-	-	2	3	4	-	-
38b	Kachexie malarická	1	-	-	-	-	-	-	-	1	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	2	-	-	-	-	1	1	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	1	-	-	-	-	-	-	-	1	-	-
41b	Boubel mìchoilová jinıch míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	6	-	-	-	-	1	-	3	-	2	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	3	1	1	-	-	-	-	-	-	1	-
												
II	Rakoviny a jiné nádory	7972	12	17	46	55	143	347	977	2317	4058	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	275	-	1	-	1	2	10	29	64	168	-
												
46a	Rakovina a jiné zhoubné nádory: poeráku	557	-	-	-	-	-	9	41	180	327	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	3609	-	-	-	5	29	115	442	1145	1873	-
46c	Rakovina a jiné zhoubné nádory: koneèníku	498	-	-	-	1	6	16	47	141	287	-
