1980	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1976)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Vnìjší pøíèiny poranìní a otrav	5186	101	25	22	11	26	92	55	203	365	379	383	318	264	323	384	345	200	410	443	369	289	179
																								
D1	Úrazy na železnicích	129	-	-	-	-	-	-	1	5	15	11	17	5	13	9	13	7	1	8	12	6	4	2
E800	Srážka se železnièními vozidly	5	-	-	-	-	-	-	-	-	-	1	2	-	-	1	1	-	-	-	-	-	-	-
E801	Náraz na jiný pøedmìt	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E802	Vykolejení bez pøedchozí srážky nebo nárazu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E803	Výbuch, oheò nebo popálení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E804	Pád ve vlaku nebo z vlaku	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	1	-
E805	Zasažení železnièním vozidlem	110	-	-	-	-	-	-	1	5	13	8	12	5	12	8	12	6	1	5	11	6	3	2
E806	Jiný blíže popsaný úraz  na železnici	4	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	1	-	-	-
E807	Železnièní úraz NS	6	-	-	-	-	-	-	-	-	1	-	2	-	1	-	-	-	-	2	-	-	-	-
																								
D2	Provozní úrazy motorovými vozidly	988	-	4	5	1	8	30	8	81	121	91	76	60	37	74	75	74	38	71	68	35	23	8
E810	Srážka motorového vozidla s vlakem	18	-	-	-	-	-	-	1	4	1	1	2	1	-	1	4	1	-	1	1	-	-	-
E811	Srážka motorového vozidla s jiným motorovým vozidlem pøi návratu do jízdní dráhy	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E812	Jiná srážka motorového vozidla s jiným motorovým vozidel	171	-	1	1	-	-	1	1	9	20	17	22	14	11	20	11	17	7	9	4	4	1	1
E813	Srážka motorového vozidla s jiným vozidlem	42	-	-	-	-	-	1	1	4	2	3	4	1	1	4	-	4	3	1	6	5	2	-
E814	Srážka motorového vozidla s chodcem	322	-	2	4	1	6	16	3	16	21	17	14	13	11	23	31	23	17	30	34	21	15	4
E815	Jiný náraz motorového vozidla na pøedmìt na silnici	44	-	-	-	-	-	1	-	8	11	7	2	2	2	2	3	3	-	2	-	1	-	-
E816	Ztráta vlády nad motorovým vozidlem na silnici, beze srážky	145	-	1	-	-	1	2	-	17	27	23	10	14	5	7	10	9	5	7	6	-	1	-
E817	Úraz pøi nastupování nebo vystupování, bez srážky	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1
E818	Jiný provozní úraz motorovým vozidlem bez srážky	10	-	-	-	-	-	-	1	2	3	1	-	-	1	-	-	-	-	1	1	-	-	-
E819	Jiný provozní úraz motorovým vozidlem, bez srážky	233	-	-	-	-	1	9	1	21	36	22	22	14	6	17	16	17	6	20	16	4	3	2
																								
D3	Neprovozní úrazy motorovými vozidly	11	-	-	-	-	-	-	-	-	-	-	1	2	-	2	1	1	-	1	2	1	-	-
E820	Neprovozní úraz motorovým vozidlem pro jizdu na snìhu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Neprovozní úraz jiným mimosilnièním motorovým vozidlem 	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-
E822	Neprovozní úraz jiným motorovým vozidlem pøi srážce s pohybujícím se pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E823	Neprovozní úraz  jiným motorovým vozidlem pøi nárazu na nepohybující se pøedmìt	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	-	-	-
E824	Neprovozní úraz jiným motorovým vozidlem pøi nastupování nebo vystupování	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E825	Neprovozní úraz jiné nebo NS povahy jiným  motorovým vozidlem	5	-	-	-	-	-	-	-	-	-	-	1	2	-	1	-	-	-	-	1	-	-	-
																								
D4	Úrazy jinými silnièními vozidly	33	-	-	-	-	-	2	2	2	-	1	3	2	1	1	3	3	1	2	8	-	1	1
E826	Úraz zpùsobený jizdním kolem	22	-	-	-	-	-	2	2	2	-	-	1	1	1	1	2	2	-	2	6	-	-	-
E827	Úraz zpùsobený vozidlem taženým zvíøaty	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-
E828	Úraz zpùsobený zvíøetem nesousím èlovìka	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E829	Úrazy zpùsobené jinými silnièními vozidly	8	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	1	-	2	-	1	1
																								
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E830	Nehoda plavidla (srážka, ztroskotání, pøevržení) mající za následek potopení osoby	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E831	Jiný úraz pøi  nehodì plavidla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Jiné náhodné potopení nebo (u)tonutí pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Pád na schodech nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Jiný pád s jedné úrovnì na jinou pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Jiný nebo NS pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E836	Úraz u stroje pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E837	Výbuch, oheò nebo popálení na plavidle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E838	Jiný nebo NS úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
D6	Úrazy pøi dopravì vzduchem a mimovzdušným prostorem	4	-	-	-	-	-	-	-	-	1	-	1	-	1	1	-	-	-	-	-	-	-	-
E840	Nehoda motorového letadla pøi stratu nebo pøistávání	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E841	Jiná nebo NS nehoda motorového letadla	2	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-
E842	Nehoda letadla bez motoru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Pád v letadle nebo z letadla	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
E844	Jiný blíže psaný úraz pøi dopravì vzduchem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E845	Nehoda kosmické lodi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
D7	Úrazy zpùsobené vozidly a nezaøaditelné jinam	5	-	-	-	-	-	-	1	1	1	-	1	-	1	-	-	-	-	-	-	-	-	-
E846	Úrazy zpùsobené vozidly s motorovým pohonem, používanými jen v budovách a na pozemcích výrobního nebo obchodního závodu 	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E847	Úrazy zpùsobené lanovými vozy, nejedoucimi po kolejích 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E848	Úrazy zpùsobené jinými vozidly, nezaøaditelné jinam	3	-	-	-	-	-	-	-	1	-	-	1	-	1	-	-	-	-	-	-	-	-	-
																								
	Náhodné otravy léky, chemickými látkami používanými v lékaøství a biologickými látkami	7	-	-	-	-	-	-	2	-	-	1	1	1	-	-	-	-	-	-	2	-	-	-
E850	Analgetika, antipyretika a antirevmatika	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E851	Barbituráty	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
E852	Jiná sedativa a hypnotika	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Trankvilizéry	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Jiná psychofarmaka	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E855	Jiné látky pùsobící na centrální a  (nebo) autonomní nervovou soustavu	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E856	Antibiotika	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiné prostøedky proti infekcím	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Jiné léky, chemické a biologické látky	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
																								
