1937	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH EN	68835	6805	1439	1757	2025	3340	3959	5389	9548	34572	1
												
I	Nemoci nakalivé a cizopasné	8462	470	563	957	1003	1343	1055	834	963	1274	-
1	Tyf bøišní	137	1	3	21	21	34	18	14	17	8	-
2	Paratyfy	11	-	-	3	2	1	-	1	2	2	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	56	25	22	7	1	-	-	1	-	-	-
8	Spála	148	8	47	83	3	6	1	-	-	-	-
9	Kašel zádušnı	121	75	43	2	-	1	-	-	-	-	-
10	Záškrt	886	21	248	566	27	9	4	4	3	4	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	393	73	18	4	12	18	29	25	48	166	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	281	31	7	8	4	10	14	17	24	166	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	-	-	-	-	-	-	-	-	-	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	4	-	-	1	-	-	1	-	1	1	-
15	Rùe	185	50	2	-	-	11	4	13	35	70	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	14	-	3	5	2	3	1	-	-	-	-
17	Zánìt mozku lethargickı neboli epidemickı	45	1	-	1	2	11	17	8	3	2	-
18	Epidemickı zánìt plen mozkovıch a míšních	15	4	3	2	3	-	-	3	-	-	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	-	-	-	-	-	-	-	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	54	7	1	6	3	8	12	3	8	6	-
23(4)	Tuberkulosa ústrojí dıchacího	4975	42	49	108	840	1141	855	614	671	655	-
24	Tuberkulosa plen a ústøední soustavy èivové	255	22	85	81	31	12	10	7	3	4	-
25	Tuberkulosa støev a pobøišnice	95	4	2	13	8	22	11	18	7	10	-
26	Tuberkulosa páteøe	84	-	2	10	4	5	9	8	22	24	-
27	Tuberkulosa kostí a kloubù	187	-	1	9	5	5	8	20	42	97	-
28	Tuberkulosa kùe a podkoního tuku	19	-	-	5	-	1	-	-	6	7	-
29	Tuberkulosa soustavy mízní	21	1	3	1	2	1	2	2	4	5	-
30	Tuberkulosa ústrojí pohlavního a moèového	14	-	-	-	1	6	4	2	-	1	-
31	Tuberkulosa jinıch míst	5	-	-	-	1	-	1	3	-	-	-
32	Tuberkulosa roztroušená	57	6	11	4	12	7	3	6	4	4	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Pøíjice vrozená	43	38	3	2	-	-	-	-	-	-	-
34b	Pøíjice získaná	99	-	-	-	-	-	16	37	30	16	-
34c	Pøíjice nerozlišená	61	-	-	-	10	12	15	9	10	5	-
35	Kapavka a jiné nemoci pohlavní	3	1	-	-	1	-	1	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	175	53	8	14	7	17	17	15	23	21	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	7	4	-	-	1	2	-	-	-	-	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	-	-	-	-	-	-	-	-	-	-	-
38a	Zimnice malarická	-	-	-	-	-	-	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	1	-	-	-	-	-	-	1	-	-	-
41b	Boubel mìchoilová jinıch míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zavinìné èervy	1	-	-	-	-	-	-	1	-	-	-
43	Mykosy	5	-	-	1	-	-	2	2	-	-	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	5	3	2	-	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	8607	6	16	35	45	210	694	1374	2256	3971	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	79	-	-	-	-	-	9	14	12	44	-
												
46a	Rakovina a jiné zhoubné nádory: poeráku	135	-	-	-	-	-	4	17	35	79	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2756	-	-	-	1	27	81	305	709	1633	-
46c	Rakovina a jiné zhoubné nádory: koneèníku	335	-	-	-	2	11	29	44	97	152	-
46d	Rakovina a jiné zhoubné nádory: jater a luèovodù	793	-	-	-	1	3	22	86	243	438	-
46	Rakovina a jiné zhoubné nádory: slinivky bøišní	84	-	-	-	-	2	4	16	27	35	-
46f	Rakovina a jiné zhoubné nádory: pobøišnice	101	-	-	-	-	4	9	23	29	36	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zaívací a pobøišnice	499	-	-	-	4	10	26	58	110	291	-
47	Rakovina a jiné zhoubné nádory: ústrojí dıchacího	162	-	-	3	1	7	23	23	44	61	-
48	Rakovina a jiné zhoubné nádory: dìlohy	1424	-	-	-	4	53	230	361	411	365	-
49	Rakovina a jiné zhoubné nádory: jinıch pohlavních ústrojù enskıch	342	-	-	1	1	15	50	93	93	89	-
50	Rakovina a jiné zhoubné nádory: prsù	620	-	-	1	-	15	70	149	174	211	-
51	Rakovina a jiné zhoubné nádory: pohlavních a moèovıch ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: kùe	168	-	-	1	1	-	2	8	19	137	-
53	Rakovina a jiné zhoubné nádory: jinıch ústrojù neb ústrojù nerozlišenıch	645	3	10	17	15	24	56	85	155	280	-
												
54a	Nádory nezhoubné: pohlavních ústrojù enskıch	63	-	-	-	-	3	20	23	6	11	-
54b	Nádory nezhoubné: jinıch ústrojù	14	-	1	-	1	-	3	3	5	1	-
												
55a	Nádory, jich zhoubnı ráz není rozlišen: pohlavních ústrojù enskıch	38	-	-	-	2	3	5	10	9	9	-
55b	Nádory, jich zhoubnı ráz není rozlišen: jinıch ústrojù	349	3	5	12	12	33	51	56	78	99	-
												
III	Nemoci rheumatické, nemoci vıivové, nemoci endokrinních láz a jiné nemoci celkové	1522	73	19	44	38	59	72	146	342	729	-
56	Rheumatismus kloubní prudkı, horeènatı	71	-	3	28	14	8	1	3	4	10	-
57	Rheumatismus vleklı, osteoarthritis	182	-	-	1	-	-	5	14	30	132	-
58	Dna	22	-	-	-	-	-	-	2	5	15	-
59	Úplavice cukrová	945	-	1	13	12	22	25	83	260	529	-
	Kurdìje	-	-	-	-	-	-	-	-	-	-	-
60a	Dìtské kurdìje	1	1	-	-	-	-	-	-	-	-	-
60b	Kurdìje	-	-	-	-	-	-	-	-	-	-	-
62	Pellagra	6	-	-	-	1	1	1	1	-	2	-
63	Køivice	51	33	9	1	1	2	1	2	-	2	-
64	Mìknutí kostí	2	-	-	-	-	-	1	-	-	1	-
65	Nemoci podvìsku mozkového	1	-	-	-	-	-	-	-	1	-	-
												
66a	Nemoci lázy štítné a pøídavnıch lázek štítnıch: vole prosté	40	-	-	1	-	5	5	8	9	12	-
66b	Nemoci lázy štítné a pøídavnıch lázek štítnıch: vole exopthalmické	122	-	-	-	8	16	23	28	27	20	-
66c	Nemoci lázy štítné a pøídavnıch lázek štítnıch: myxoedem a kretismus	14	1	-	-	1	3	6	1	1	1	-
66d	Nemoci lázy štítné a pøídavnıch lázek štítnıch: tetanie	37	30	5	-	-	1	-	-	1	-	-
66	Nemoci lázy štítné a pøídavnıch lázek štítnıch: jiné	1	1	-	-	-	-	-	-	-	-	-
67	Nemoci brzlíku	8	6	1	-	1	-	-	-	-	-	-
68	Nemoci nadledvinek (nemoc Addisonova), neoznaèené za tuberkulosní 	11	-	-	-	-	1	3	3	2	2	-
69	Jiné nemoci rheumatické, vıivové, endokrinních láz	8	1	-	-	-	-	1	1	2	3	-
												
IV 	Nemoci krve a ústrojù krvetvornıch	393	12	12	14	18	31	54	70	94	88	-
												
70a	Stavy krvácivé: purpury prvotní	11	1	1	2	2	1	1	1	2	-	-
70b	Stavy krvácivé: vrozená krvácivost	3	1	-	-	-	-	-	-	1	1	-
71a	Postupná zhoubná chudokrevnost	156	1	-	2	4	10	22	25	41	51	-
71b	Jiné chudokrevnosti	19	5	3	1	-	1	2	-	4	3	-
72a	Bìlokrevnost pravá	145	3	3	8	8	14	22	32	33	22	-
72b	Bìlokrevnost nepravá	45	1	5	1	3	5	6	9	8	7	-
73	Nemoci sleziny	9	-	-	-	1	-	-	1	3	4	-
74	Jiné nemoci krve a ústrojù krvetvornıch	5	-	-	-	-	-	1	2	2	-	-
												
V	Otravy vleklé a prudké	14	-	-	-	-	2	1	5	2	4	-
75	Alkoholismus vleklı nebo prudkı	13	-	-	-	-	1	1	5	2	4	-
												
76a	Vleklé otravy látkami anorganickımi: ivnostenské	-	-	-	-	-	-	-	-	-	-	-
76b	Vleklé otravy látkami anorganickımi: jiné	-	-	-	-	-	-	-	-	-	-	-
												
77a	Vleklé otravy látkami organickımi: ivnostenské	1	-	-	-	-	1	-	-	-	-	-
77b	Vleklé otravy látkami organickımi: jiné	-	-	-	-	-	-	-	-	-	-	-
												
DU		107	0	0	0	2	19	18	25	26	17	0
												
VI	Nemoci soustavy nervové a èidel	6750	581	101	102	87	164	314	515	1156	3730	-
												
78a	Zánìt mozku: hlíza mozková	4	-	-	1	2	1	-	-	-	-	-
78b	Zánìt mozku: jiné zánìty mozku	79	11	7	7	5	8	11	11	10	9	-
79	Prostı zánìt plen mozkovıch	248	57	47	46	22	22	18	13	12	11	-
80	Úbyt míchy	89	-	-	-	-	4	10	18	34	23	-
81	Jiné nemoci míchy	173	1	2	4	7	10	34	33	42	40	-
82a	Krvácení mozkové 	4305	-	-	3	4	19	71	274	849	3085	-
82b	Vmetek nebo záha mozková	244	-	-	-	2	6	12	20	37	167	-
82c	Jednostranná obrna tìla a pøíèiny nerozlišené	339	1	3	4	4	1	9	23	60	234	-
83	Postupná obrna povšechná	185	-	-	-	4	12	55	49	32	33	-
84a	Pøedèasná zblbìlost	11	-	-	-	1	1	2	1	4	2	-
84b	Jiné psychosy	83	-	-	-	1	17	15	19	20	11	-
85	Padoucnice	137	1	-	17	26	32	19	15	12	15	-
86	Køeèe u dìtí mladších 6 let	503	479	24	-	-	-	-	-	-	-	-
												
87b	Jiné nemoci soustavy nervové: neuritis	12	-	-	-	-	1	-	1	2	8	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	61	2	5	-	1	5	6	3	9	30	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	130	-	-	5	3	12	31	21	19	39	-
87a,e	Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové	49	3	-	2	-	5	7	7	8	17	-
88	Nemoci oèní	-	-	-	-	-	-	-	-	-	-	-
89a	Zánìt ušní	97	26	13	13	5	7	14	7	6	6	-
89b	Jiné nemoci ucha a dutiny vıènìlku soscovitého	1	-	-	-	-	1	-	-	-	-	-
												
VII	Nemoci ústrojí obìhu krevního	16375	46	37	145	162	325	590	1201	2677	11192	-
90	Zánìt osrdeèníku	17	-	-	1	4	1	2	2	2	5	-
91	Prudkı zánìt nitroblány srdeèní	102	2	4	25	18	21	18	9	2	3	-
92	Vleklı zánìt nitroblány srdeèní, poèítaje v to choroby chlopenní	1824	1	6	44	57	101	170	247	432	766	-
93a	Prudkı zánìt svalu srdeèního	106	4	4	10	7	14	24	6	15	22	-
93b	Vleklı zánìt svalu srdeèního a zvrhlost svalu srdeèního	6609	12	1	12	17	44	105	293	931	5194	-
93c	Nerozlišené nemoci svalu srdeèního	1094	-	-	-	-	-	4	67	185	838	-
94	Nemoci tepen vìnèitıch	445	-	-	-	-	1	11	45	107	281	-
95a	Funkcionální nemoci srdce	5	-	-	-	-	1	-	-	-	4	-
95b	Jiné a nerozlišené nemoci srdeèní	3731	17	19	53	55	128	221	459	774	2005	-
