1983	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1976)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Vnìjší pøíèiny poranìní a otrav	3640	56	16	14	10	8	34	27	70	46	63	71	92	61	70	107	111	137	156	404	625	740	722
																								
D1	Úrazy na železnicích	34	-	1	-	1	-	1	1	4	2	-	1	1	2	-	1	2	1	3	3	6	2	2
E800	Srážka se železnièními vozidly	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E801	Náraz na jiný pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E802	Vykolejení bez pøedchozí srážky nebo nárazu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E803	Výbuch, oheò nebo popálení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E804	Pád ve vlaku nebo z vlaku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E805	Zasažení železnièním vozidlem	26	-	1	-	-	-	1	1	4	2	-	1	-	1	-	1	1	-	3	3	5	1	1
E806	Jiný blíže popsaný úraz  na železnici	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E807	Železnièní úraz NS	6	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	1	1	1
																								
D2	Provozní úrazy motorovými vozidly	339	1	1	-	3	1	13	12	25	14	13	22	21	13	18	13	17	24	18	39	27	29	15
E810	Srážka motorového vozidla s vlakem	4	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	2	-	-	-
E811	Srážka motorového vozidla s jiným motorovým vozidlem pøi návratu do jízdní dráhy	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E812	Jiná srážka motorového vozidla s jiným motorovým vozidel	26	-	-	-	-	1	-	1	3	1	-	5	3	2	1	-	1	6	-	2	-	-	-
E813	Srážka motorového vozidla s jiným vozidlem	12	-	-	-	-	-	-	1	1	-	-	1	-	-	1	1	1	1	2	3	-	-	-
E814	Srážka motorového vozidla s chodcem	138	-	-	-	-	-	10	4	7	6	2	7	4	3	6	6	6	7	13	13	16	17	11
E815	Jiný náraz motorového vozidla na pøedmìt na silnici	8	-	-	-	-	-	-	-	-	-	1	1	1	-	2	1	-	-	-	2	-	-	-
E816	Ztráta vlády nad motorovým vozidlem na silnici, beze srážky	25	-	-	-	-	-	2	1	6	2	2	4	4	-	-	1	-	-	1	1	-	1	-
E817	Úraz pøi nastupování nebo vystupování, bez srážky	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E818	Jiný provozní úraz motorovým vozidlem bez srážky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E819	Jiný provozní úraz motorovým vozidlem, bez srážky	124	1	1	-	3	-	1	5	7	5	8	4	8	8	7	4	9	10	2	15	11	11	4
																								
D3	Neprovozní úrazy motorovými vozidly	3	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	1	-
E820	Neprovozní úraz motorovým vozidlem pro jizdu na snìhu	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
E821	Neprovozní úraz jiným mimosilnièním motorovým vozidlem 	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E822	Neprovozní úraz jiným motorovým vozidlem pøi srážce s pohybujícím se pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E823	Neprovozní úraz  jiným motorovým vozidlem pøi nárazu na nepohybující se pøedmìt	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E824	Neprovozní úraz jiným motorovým vozidlem pøi nastupování nebo vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E825	Neprovozní úraz jiné nebo NS povahy jiným  motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
D4	Úrazy jinými silnièními vozidly	10	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	2	1	-	-	3	1	-
E826	Úraz zpùsobený jizdním kolem	4	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	2	-	-	-	-	-	-
E827	Úraz zpùsobený vozidlem taženým zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E828	Úraz zpùsobený zvíøetem nesousím èlovìka	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E829	Úrazy zpùsobené jinými silnièními vozidly	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	3	1	-
																								
D5	Úrazy pøi vodní dopravì	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
E830	Nehoda plavidla (srážka, ztroskotání, pøevržení) mající za následek potopení osoby	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
