1967;Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
MKN (1955);Název;Celkem;0;1;2;3;4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85+
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";CELKEM ZEMØELİCH EN;51 147;1 263;86;52;35;28;100;109;204;228;158;232;444;683;897;1 378;2 809;4 185;6 364;8 297;8 867;8 092;6 636
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
I;Nemoci pøenosné a cizopasné;509;6;3;2;2;2;3;2;6;7;3;2;9;13;10;12;26;56;103;85;89;39;29
1;Tuberkulosa ústrojí dıchacího (z povolání);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-
2;Tuberkulosa plic;230;-;-;-;-;1;-;-;1;2;2;-;2;4;5;5;12;22;44;39;51;19;21
3;Tuberkuloda pohrudnice;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-
4;Primární tuberkulosní komplex;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;Tuberkulosa prùdušnicovıch a prùduškovıch uzlin;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;3;1
6;Roentgenologickı nález podezøelı z aktivní tuberkulosy dıchacího ústrojí;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
7;Ostatní tuberkulosa dıchacího ústrojí;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
8;Tuberkulosa neoznaèeného umístìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10;Tuberkulosa mozkomíšních plen a centrálního nervstva;8;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;2;1;-;-
11;Tuberkulosa støev, pobøišnice a uzlin okruí;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-
12;Tuberkulosa kostí a kloubù, aktivní nebo blíe neurèená;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;2;1;-
13;Pozdní následky tuberkulosy kostí a kloubù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
14;Tuberkulosa kùe a podkoního vaziva;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
15;Tuberkulosa soustavy mízní;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
16;Tuberkulosa ústrojí moèového a pohlavního;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;1;1;1;1;-
