1995	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																							
MKN (1993)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 +
																								
VN	Vnější příčiny poranění a otrav	5132	24	11	12	12	4	46	35	296	383	309	333	379	454	467	389	289	264	287	340	199	316	283
																								
DN	Dopravní nehody	1191	2	-	5	2	1	21	12	134	156	109	94	82	104	99	79	64	46	56	49	27	32	17
																								
	Chodec zraněný při dopravní nehodě     V01-V09	243	-	-	2	-	1	7	7	13	20	7	12	17	19	24	11	11	8	21	27	12	15	9
V01	Chodec zraněný při srážce s jízdním kolem	4	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	1	-	1	-	-	-	-
V02	Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	1	-	-	-
V03	Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	137	-	-	2	-	1	5	3	5	9	4	6	12	12	11	8	5	5	12	12	9	11	5
V04	Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	18	-	-	-	-	-	-	1	-	-	-	2	1	2	2	2	2	2	1	1	-	-	2
V05	Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem	60	-	-	-	-	-	2	2	6	9	2	4	2	3	8	1	2	1	4	7	2	3	2
V06	Chodec zraněný při srážce s jiným nemotorovým vozidlem	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-
V09	Chodec zraněný při jiných a neurčených dopravních nehodách	19	-	-	-	-	-	-	1	2	1	1	-	1	1	2	-	1	-	2	5	1	1	-
																								
	Cyklista zraněný při dopravní nehodě     V10-V19	84	-	-	-	-	-	5	-	8	8	7	8	4	13	4	4	6	4	5	4	1	2	1
V10	Cyklista zraněný při srážce s chodcem nebo zvířetem	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-
V11	Cyklista zraněný při srážce s jiným jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V12	Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	2	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-
V13	Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním	38	-	-	-	-	-	2	-	4	4	4	4	1	7	2	2	2	1	2	1	-	1	1
V14	Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	12	-	-	-	-	-	1	-	-	-	1	2	-	4	-	-	1	-	2	1	-	-	-
V15	Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem	2	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-
V16	Cyklista zraněný při srážce s jiným nemotorovým vozidlem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
V17	Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V18	Cyklista zraněný při dopravní nehodě bez srážky	18	-	-	-	-	-	1	-	3	1	1	-	3	2	1	-	1	1	1	2	-	1	-
V19	Cyklista zraněný při jiným a neurčených dopravních nehodách	8	-	-	-	-	-	-	-	1	1	1	1	-	-	1	1	1	1	-	-	-	-	-
																								
	Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29	37	-	-	-	-	-	-	-	15	7	6	2	-	2	1	-	1	-	-	1	-	2	-
V20	Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V21	Jezdec na motocyklu zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V22	Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V23	Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním	6	-	-	-	-	-	-	-	3	-	1	-	-	-	1	-	-	-	-	1	-	-	-
V24	Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-
V25	Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
V26	Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V27	Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	8	-	-	-	-	-	-	-	4	3	-	1	-	-	-	-	-	-	-	-	-	-	-
V28	Jezdec na motocyklu zraněný při dopravní nehodě bez srážky	4	-	-	-	-	-	-	-	2	-	-	1	-	-	-	-	-	-	-	-	-	1	-
V29	Jezdec na motocyklu zraněný při jiných a neurčených dopravních nehodách	14	-	-	-	-	-	-	-	3	3	5	-	-	2	-	-	1	-	-	-	-	-	-
																								
	Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě     V30-V39	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	-
V30	Člen osádky tříkolového motorového vozidla zraněný při srážce s chodcem nebo zvířetem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V31	Člen osádky tříkolového motorového vozidla zraněný při srážce s jízdním kolem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V32	Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným 2 nebo 3 kolovým motorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V33	Člen osádky tříkolového motorového vozidla zraněný při srážce s automobilem osobním, dodávkovým  nebo lehkým nákladním	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
V34	Člen osádky tříkolového motorového vozidla zraněný při srážce s těžkým nákladním vozidlem nebo autobusem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V35	Člen osádky tříkolového motorového vozidla zraněný při srážce s železničním vlakem nebo železničním vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V36	Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným nemotorovým vozidlem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V37	Člen osádky tříkolového motorového vozidla zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem]	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
V38	Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě bez srážky	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
V39	Člen osádky tříkolového motorového vozidla zraněný při jiných a neurčených dopravních nehodách	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																								
	Člen osádky osobního automobilu zraněný při dopravní nehodě     V40-V49	295	2	-	-	-	-	2	-	45	46	41	30	24	24	23	20	10	8	9	5	5	1	-
