1922	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	81258	16953	3429	910	1105	1851	4988	4682	12454	27369	7492	25
													
I	Nemoci epidemické a endemické	2504	684	541	95	72	94	178	149	285	359	46	1
1a	Tyf støevní	267	1	4	7	18	38	67	59	59	13	1	-
1b	Paratyfy	4	-	-	-	-	1	1	-	2	-	-	-
2	Tyf skvrnitı	2	-	-	-	-	-	-	1	1	-	-	-
3	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
5a	Malarie	1	-	-	-	-	-	-	-	1	-	-	-
5b	Malarická sešlost	-	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice	3	1	2	-	-	-	-	-	-	-	-	-
7	Spalnièky	199	79	106	8	2	2	1	-	1	-	-	-
8	Spála	195	22	94	40	16	6	12	2	3	-	-	-
9	Zajíkavı kašel	553	374	173	3	1	-	1	-	-	-	1	-
10	Záškrt	134	31	78	15	4	-	2	2	2	-	-	-
11a	Chøipka s plicními komplikacemi	320	33	30	3	5	13	34	26	62	101	13	-
11b	Chøipka bez komplikací plic	541	74	39	13	16	23	39	38	90	184	25	-
13	Zánìt pøíušnic	5	-	-	-	2	-	-	-	2	1	-	-
15	Choleroidní zánìt støev	2	-	-	-	-	-	-	-	-	2	-	-
16	Úplavice	37	3	7	1	1	3	4	3	5	9	1	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-	-	-
21	Rùe	154	61	2	-	2	3	10	10	24	37	5	-
22	Prudkı zánìt pøedních rohù míšních	-	-	-	-	-	-	-	-	-	-	-	-
23	Lethargùv zánìt støev	70	3	2	2	3	5	7	7	29	11	-	1
24	Epidemické ztrnutí šíje	17	2	4	3	2	-	-	1	4	1	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Nemoci infekèní	11639	706	485	291	516	1051	2752	1947	2613	1228	49	1
26	Ozhøivka	1	-	-	-	-	-	-	-	1	-	-	-
27	Uhlák a snì slezinná	-	-	-	-	-	-	-	-	-	-	-	-
28	Vzteklina	13	-	-	2	-	1	1	1	4	4	-	-
29	Ztrnutí ranné	124	59	4	7	12	5	7	13	10	7	-	-
30	Mykosy	-	-	-	-	-	-	-	-	-	-	-	-
31	Tuberkulosa ústrojí dıchacího	9475	269	261	162	372	943	2511	1716	2236	968	36	1
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	495	81	156	68	51	23	39	28	43	6	-	-
33	Tuberkulosa støev neb pobøišnice 	233	6	12	12	10	17	38	36	75	27	-	-
34	Tuberkulosa obratlù	66	1	-	4	1	5	5	5	25	20	-	-
35	Tuberkulosa kloubù	38	1	-	1	3	3	4	3	8	15	-	-
36a	Tuberkulosa kùe nebo podkoního vaziva	54	16	5	2	3	2	7	1	6	11	1	-
36b	Tuberkulosa kostí	274	10	3	14	23	18	19	18	72	89	8	-
36c	Tuberkulosa lymfatického systému	26	8	2	4	4	-	3	1	3	1	-	-
36d	Tuberkulosa ústrojí urogenitálního	11	-	1	-	-	-	4	2	4	-	-	-
36	Tuberkulosa jinıch orgánù	20	2	1	-	-	1	1	4	7	4	-	-
37a	Tuberkulosa prudká	49	5	6	4	9	13	12	-	-	-	-	-
37b	Tuberkulosa vleklá	1	-	-	-	1	-	-	-	-	-	-	-
37c	Tuberkulosa bez blišího oznaèení	56	-	-	-	1	2	4	26	15	8	-	-
38	Pøíjice	144	92	10	-	-	1	8	10	16	7	-	-
40	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
41	Otrava krve	557	155	24	11	26	17	89	82	88	61	4	-
42	Ostatní nemoci a infekèní	2	1	-	-	-	-	-	1	-	-	-	-
													
RA		5761	8	9	6	9	14	62	286	2280	2916	171	0
KR		185	15	10	3	4	5	27	33	65	22	1	0
EN		826	119	90	14	20	16	47	49	199	264	8	0
