1946	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
														
	CELKEM ZEMØELİCH EN	50367	7760	1130	654	1633	1546	2523	3871	6379	10766	10833	3231	41
														
I	Nemoci nakalivé a cizopasné	5806	620	515	272	895	683	633	589	654	656	248	33	8
1	Tyf bøišní	157	-	6	13	34	24	27	25	18	9	1	-	-
2	Paratyf	12	1	-	2	1	1	3	-	2	2	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	13	4	3	1	2	-	1	1	-	1	-	-	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	33	4	15	9	4	-	-	1	-	-	-	-	-
9	Kašel zádušnı	225	161	61	3	-	-	-	-	-	-	-	-	-
10	Záškrt	430	68	233	64	33	14	5	6	3	2	-	-	2
11	Rùe	88	23	-	-	-	2	4	6	13	24	12	4	-
12	Ztrnutí (tetanus)	90	22	1	10	3	7	11	16	8	9	2	1	-
13	Tuberkulosa ústrojí dıchacího	3393	45	50	77	707	574	486	392	465	449	133	10	5
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	223	18	73	62	37	10	8	7	6	2	-	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	5	1	1	-	-	-	2	-	1	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	31	1	2	2	4	4	2	6	4	3	2	1	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	36	-	1	2	10	3	8	6	3	3	-	-	-
16	Tuberkulosa páteøe	59	-	-	-	7	7	3	11	12	17	2	-	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	121	1	1	2	4	5	5	11	21	36	30	5	-
18	Tuberkulosa kùe a podkoního vaziva	11	-	-	-	-	-	-	1	1	3	6	-	-
19	Tuberkulosa soustavy mízní	4	2	-	-	-	-	-	-	2	-	-	-	-
20	Tuberkulosa ústrojí moèového a pohlavního	13	-	-	-	4	2	1	2	3	1	-	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	-	-	-	-	-	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	3	-	-	-	-	-	1	-	-	1	1	-	-
22	Tuberkulosa miliární	63	7	10	9	12	5	3	4	4	9	-	-	-
24a	Otrava krve	143	76	7	4	5	9	9	7	7	12	7	-	-
24b	Snì plynová	-	-	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	3	1	-	-	2	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	9	1	-	-	-	-	2	2	2	1	1	-	-
28	Støídavka (malarie)	-	-	-	-	-	-	-	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	15	-	-	-	-	-	1	3	4	6	1	-	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	64	-	-	-	-	1	14	25	20	3	1	-	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	55	-	-	-	-	-	4	4	17	18	8	3	1
30d	Pøíjice: pøíjice vrozená	33	32	1	-	-	-	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	84	-	-	-	4	7	19	28	16	7	3	-	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	2	-	-	-	-	-	-	1	-	1	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	107	54	5	-	1	-	2	7	5	14	17	2	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	102	50	4	2	3	1	2	2	3	11	17	7	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	82	38	38	5	-	-	-	-	1	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	16	1	1	2	9	1	-	1	1	-	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	24	-	-	-	2	1	8	3	5	3	2	-	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	5	-	-	1	1	1	-	-	-	2	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	7	5	2	-	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	1	-	-	-	-	1	-	-	-	-	-	-	-
43b	Jiné mykosy	4	3	-	-	1	-	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-	-
